state,trigger_id,cron_utc,script,cadence,logging_since,old_trigger_id,old_logging_since
AK,trig_015xk6QMPZNSY7GhC6muGdpN,0 14 * * 1,R/03h_ak_year1_awardees.R,weekly,2026-09-24T19:13:23Z,trig_018fYZk2Dd9sui3WqmDMefwS,2026-09-23T14:18:00Z
MO,trig_01QvXR8kAx4FRY9bNnWKMb6w,0 15 * * 3,R/03w_mo_year1_awardees.R,weekly,2026-09-24T19:13:12Z,trig_01KM9QKdZGyMxXVy2QChoiTo,2026-09-23T14:18:00Z
WI,trig_01WLEDpkd4wKJpXL6azg74j9,"0 14 * * 2,5",R/03y_wi_year1_probe.R,twice-weekly,2026-09-24T19:13:01Z,trig_016FwVyquES97oASjAkBue5p,2026-09-23T14:18:00Z
ME,trig_01Ao3gxS4mCtir8TT6qdg5gb,"20 16 * * 2,5",R/03aa_me_year1_awardees.R,twice-weekly,2026-09-24T19:12:39Z,trig_01MDYSXPBrciJX2QSYJ5MYiZ,2026-09-23T14:18:00Z
CA,trig_01MtUic5Z5qWj1JwNtRunGmx,"0 17 * * 3,6",R/03ab_ca_year1_probe.R,twice-weekly,2026-09-24T19:12:50Z,trig_01XHdPsHkNQFsQET1NnWQ3oX,2026-09-23T14:18:00Z
CT,trig_0171T7tTFEKZw3fLGMHSfv4E,"40 15 * * 1,4",R/03ac_ct_year1_probe.R,twice-weekly,2026-09-24T19:12:13Z,trig_01KNe6jSqT8GaDctKbJyQogf,2026-09-23T14:18:00Z
NM,trig_01Awj1kUB48bgv2JUojjfR5i,40 18 * * 2,R/03ad_nm_year1_probe.R,weekly,2026-09-24T19:12:02Z,trig_01RBJqBvQfcXoaWddH21KHiy,2026-09-23T14:18:00Z
LA,trig_01ESvi8uWwisEUnQsbVEPmFL,"50 12 * * 3,6",R/03ae_la_year1_probe.R,twice-weekly,2026-09-24T19:11:52Z,trig_01UbBmCSzhsgGJphE33iiPE1,2026-09-23T14:18:00Z
KY,trig_015jnDJLCsWAX2CCCamBb1tu,"30 19 * * 1,4",R/03af_ky_year1_probe.R,twice-weekly,2026-09-24T19:11:41Z,trig_014B5Ar8LpfkrY1uwpuNXrLt,2026-09-23T14:18:00Z
NY,trig_017TPNwpHAr9reTXfrjkYQ1n,"10 11 * * 0,3",R/03ag_ny_year1_probe.R,twice-weekly,2026-09-24T19:13:44Z,trig_01S6HM3Uv5u7WNP1sYgeCvPy,2026-09-23T14:18:00Z
NC,trig_01GdKxaJQETeLNHaEcfVMTZr,50 10 * * 6,R/03ah_nc_year1_sources.R,weekly,2026-09-24T19:11:18Z,trig_01XZRVb97pTVAyGqBG4jm4GU,2026-09-23T14:18:00Z
AR,trig_01UjocQhFRgFwNZioQ6JHyvj,"20 20 * * 0,4",R/03ai_ar_year1_awardees.R,twice-weekly,2026-09-24T19:10:30Z,trig_019NE7hHB7A2q7JYuVS43JLW,2026-09-23T14:18:00Z
WY,trig_014PPiuttxWPAHprrKZNnqCw,"10 21 * * 2,5",R/03aj_wy_year1_awardees.R,twice-weekly,2026-09-24T19:11:07Z,trig_01B1bUdL6DXmH62vYjbFKwTh,2026-09-23T14:18:00Z
MS,trig_01G2dEsXvNssYCVgPYmqVmHz,"40 9 * * 2,5",R/03ak_ms_year1_awardees.R,twice-weekly,2026-09-24T19:10:56Z,trig_01UDobCSd7hE3ACTRgrLNr7Q,2026-09-23T14:18:00Z
SC,trig_01HU6a2YD8baUL3Pq5zSuDHh,30 8 * * 4,R/03ao_sc_year1_awardees.R,weekly,2026-09-24T19:13:34Z,trig_017j3hddVSkzAAKn8esPawmR,2026-09-23T14:18:00Z
KS,trig_01MbeqBABRpzxgnqvYXmvLth,10 8 * * 1,R/03o_ks_year1_awardees.R,weekly,2026-09-24T19:10:45Z,trig_01YaPKjhaGKGBBpmcC9X7NSJ,2026-09-23T14:18:00Z
WV,trig_01T4vyNa2KZbrXVm7GmKKy3Q,30 11 * * 5,R/03av_wv_year1_awardees.R,weekly,2026-09-24T19:10:00Z,trig_016jUYvhEgJEvMpEoZChp8AK,2026-09-23T15:10:00Z
VT,trig_01DhV9i7bCBrDtAxc2HGzjMi,30 11 * * 2,R/03at_vt_year1_awardees.R,weekly,2026-09-24T19:09:49Z,trig_011gjpEvcXAi5XnXgzo6STJy,2026-09-23T15:10:00Z
CMS,trig_011pUVRNkSnjCNvZfQ89kPbM,"0 13 * * 1,4",R/00_cms_press_monitor.R,twice-weekly,2026-09-24T19:09:38Z,trig_0174R4VLbhacyCKCKds8qYxM,2026-09-23T15:10:00Z
CO,trig_01SfTU9d4p6UqmNbXsTsajWJ,"10 9 * * 1,4",R/03az_co_year1_probe.R,twice-weekly,2026-09-24T19:09:26Z,trig_01P9oihsxYj8Ksv5hSmKy6a4,2026-09-23T19:45:14Z
VA,trig_01Jq8aqg9JLC3X5PHpc64NZe,"20 10 * * 2,5",R/03bb_va_year1_probe.R,twice-weekly,2026-09-24T19:08:59Z,trig_01QU6u3VFCJY1xWCrjmFeLcp,2026-09-23T19:45:14Z
