EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
392261406,TRANSFORMATION OF HOPE INC,,2740 W MOUNTAIN CREEK RD,FLORENCE,MS,39073-8544,0000,03,3,1000,202507,1,16,000000000,1,01,,0,0,02,0,05,,,,P40,
414102446,GRACEFULLY HEALING FOUNDATION,% JANET MCCOY,5013 5TH PL,MERIDIAN,MS,39305-1920,0000,03,3,1200,202603,1,16,000000000,1,01,,0,0,02,0,12,,,,P46,
422314343,GRACEFUL MINDS INITIATIVE,% DEIDRA THOMPSON,1006 TOP ST STE A,FLOWOOD,MS,39232-7642,0000,03,3,1200,202605,1,15,000000000,1,01,,0,0,02,0,12,,,,F01,
454032224,COMMUNITY OPEN ARMS TRANSFORMATION,% GRETA BROWN-BULLY,PO BOX 11871,JACKSON,MS,39283-1871,0000,03,3,1000,201203,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,,COAT
462178740,MISSISSIPPI HEALTH SAFENET,% DELTA HEALTH CENTER INC,6400 LAKEOVER RD STE A,JACKSON,MS,39213-8020,0000,03,3,1000,201402,1,15,000000000,1,01,202507,4,5,01,0,07,241896,665817,665817,E70,
465062435,AGING GRACEFULLY COMMUNITY CENTER,% CAROL NEWTON,16163 HIGHWAY 51,HAZLEHURST,MS,39083-2002,0000,03,3,1200,201407,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,N31,
470915576,DELTA HEALTH ALLIANCE INC,,435 STONEVILLE ROAD,STONEVILLE,MS,38776-0000,0000,03,3,1000,200402,1,15,000000000,1,01,202506,8,8,01,0,06,33610856,41800985,41800985,H12,
640443928,DELTA HEALTH CENTER INC,,702 MARTIN LUTHER KING ST,MOUND BAYOU,MS,38762-9314,0000,03,3,1000,196801,1,12,150000000,1,01,202502,8,8,01,0,02,11957443,19113709,19113709,,
640586958,DELTA HEALTH SYSTEM,,1400 E UNION ST,GREENVILLE,MS,38703-3246,0000,03,3,1000,196911,1,12,150000000,1,01,,0,0,14,0,09,,,,E22,DELTA HEALTH THE MEDICAL CENTER
831116776,GRACEFULLY AGING SENIOR SERVICES INC,% YVONNE RICHARD,PO BOX 8128,COLUMBUS,MS,39705-0008,0000,03,3,1000,201904,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,P44,
874012332,TRANSFORMATION MINISTRY,,503 FORREST ST,INDIANOLA,MS,38751-2719,0000,03,3,1000,202203,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,I43,
900880444,JC & LIZ YOUTH ENRICHMENT TRANSFORMATION CENTER,% WILLIAM SPANN,208 CULLEY DR,JACKSON,MS,39206-3611,0000,03,3,1000,201408,1,03,000000000,1,01,202512,1,4,00,1,12,1,171471,,A99,
922967808,WORLD TRANSFORMATION CORP,% ROSHELL JONES,1900 COUNTY ROAD 245 LOT 36,GREENWOOD,MS,38930-5034,0000,03,3,1200,202303,1,16,000000000,1,01,202503,0,0,02,0,03,0,0,0,X20,
932269284,GRACEFULLY BROKEN,% CASEY BARRENTINE,1327 COUNTY ROAD 220,GREENWOOD,MS,38930-6789,0000,03,3,7000,202307,1,16,000000000,1,01,202512,1,3,01,0,12,9287,52233,52233,I40,
