# DERIVED_grow_regional_recipients.csv: parsed by session 61 from grow_regional_grants_page.html (the 'Grant Recipient Organizations' table under each region). NOT a state file. 186 rows / 178 distinct names; NO per-organisation amount is published anywhere. classifier_type is the shared §8 name rule's answer and is NOT a determination (it misses Franciscan, IU Health, Parkview Huntington, Union Health, Ascension St. Vincent Jennings, St. Elizabeth Dearborn, and wrongly reaches Cummins Behavioral Health Systems).
region,org,classifier_type
1,Affiliated Service Providers of Indiana,NONPROFIT_CBO
1,enFocus Inc.,NONPROFIT_CBO
1,Maple City Health Care Center,NONPROFIT_CBO
1,"NWI Food Council, Inc.",NONPROFIT_CBO
1,University of Notre Dame,UNIVERSITY_OR_AHC
1,Community Hospital of Bremen,HOSPITAL_OR_SYSTEM
1,Franciscan Health Rensselaer,NONPROFIT_CBO
1,Marshall County Community Foundation,NONPROFIT_CBO
1,Pulaski Memorial Hospital,HOSPITAL_OR_SYSTEM
1,Woodlawn Hospital,HOSPITAL_OR_SYSTEM
1,CoAction,NONPROFIT_CBO
1,Goshen Health System,HOSPITAL_OR_SYSTEM
1,"Marshall County HOPE, Inc.",NONPROFIT_CBO
1,"REAL Services, Inc.",NONPROFIT_CBO
1,Community Foundation of Elkhart County,NONPROFIT_CBO
1,HealthLinc,NONPROFIT_CBO
1,Michiana Behavioral Health,NONPROFIT_CBO
1,Saint Joseph Regional Medical Center Plymouth Campus Inc.,HOSPITAL_OR_SYSTEM
1,Cultivate Food Rescue,NONPROFIT_CBO
1,Indiana Immunization Coalition,NONPROFIT_CBO
1,NorthShore Health Centers,NONPROFIT_CBO
1,Saint Joseph's College,UNIVERSITY_OR_AHC
1,Elkhart General Hospital,HOSPITAL_OR_SYSTEM
1,Jasper Newton Foundation Inc.,NONPROFIT_CBO
1,Northwest Health Starke Hospital,HOSPITAL_OR_SYSTEM
1,Starke County EMS,EMS_OR_PSAP
2,Adams County Memorial Hospital,HOSPITAL_OR_SYSTEM
2,Cole Center Young Men's Christian Association Inc.,NONPROFIT_CBO
2,Kosciusko Community YMCA,NONPROFIT_CBO
2,Parkview Hospital,HOSPITAL_OR_SYSTEM
2,Well County Council on Aging,NONPROFIT_CBO
2,Ball State University,UNIVERSITY_OR_AHC
2,Kosciusko County Clubhouse,NONPROFIT_CBO
2,LaGrange County Health Department,LOCAL_GOVT_OR_PUBLIC_HEALTH
2,Parkview Huntington Family Young Men's Christian Association,NONPROFIT_CBO
2,YMCA of Dekalb County Inc,NONPROFIT_CBO
2,Bluffton Health System LLC,HOSPITAL_OR_SYSTEM
2,Dukes Health System LLC,HOSPITAL_OR_SYSTEM
2,"Living Well in Wabash County CoA, Inc",NONPROFIT_CBO
2,Steuben County Council on Aging,NONPROFIT_CBO
