row,section,applicant_name,site_in_brackets,award_amount
1,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",Atlantic Ambulance Corporation,,614190
2,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",AtlantiCare Regional Medical Center,,2045763
3,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",Cooper Health System,,1373265
4,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",Gloucester County,,1053650
5,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey","Inspira Medical Centers, Inc.",,2033362
6,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",Virtua Health Inc.,,1126384
7,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",Warren County,,4180
8,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Acenda, Inc.",,510112
9,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Allamuchy-Green First Aid Squad,,281939
10,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","AtlantiCare Health Services, Inc.",,1800000
11,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Bridgeway Behavioral Health Services A NJ Nonprofit Corporation,,208537
12,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Burlington County,,100956
13,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Camden Coalition, Inc.",,179058
14,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Cape May County Council on Alcoholism/Drug,,159194
15,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Center for Health Equity a Public Health Institute Inc.,,21748500
16,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Center for Prevention & Counseling Inc.,,196796
17,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Cherry Hill Free Clinic Inc.,,447906
18,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Child Mind Institute Inc.,,504429
19,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",CompleteCare Health Network,,464538
20,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Crossroads4Hope,,329734
21,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Cumberland County,,273396
22,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Deborah Heart and Lung Center,,1246393
23,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",FamCare Incorporated,,419072
24,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Fond of You, Inc.",,499498
25,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Health Center Network of New York, Inc. aka Health Efficient",,727658
26,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Health Research and Educational Trust of NJ/NJHA,,898854
27,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",HMH Hospitals Corporation,,1550815
28,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Hunterdon County,,401359
29,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Hunterdon Medical Center,,1088184
30,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Impactiv, Inc.",,157737
31,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Inspira Medical Centers, Inc.",,578248
32,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Kennedy University Hospital Inc.,,584514
33,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Legacy Treatment Services,,662335
34,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",LilyLink Inc.,,440370
35,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Maryville Inc.,,821012
36,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Mercer County,,409538
37,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Montclair State University,,335731
38,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","New Jersey Chapter, American Academy of Pediatrics",,515257
39,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",NJ Prevention Network,,291079
40,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",NORWESCAP,,52236
41,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Oaks Integrated Care Inc.,,149810
42,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Ocean County,,713310
43,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Ocean Mental Health Services,,849327
44,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Parker Family Health Center Inc.,,438215
45,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",RH Health Inc.,,269612
46,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Rowan University,,786938
47,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Rutgers Biomedical and Health Sciences,,518443
48,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Rutgers, The State University of New Jersey, Camden",,239785
49,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Rutgers, The State University of NJ",,1216604
50,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Rutgers, The State University of NJ",,115921
51,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Salem County,,230344
52,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Salem Inter Agency Council of Human Services,,242010
53,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Southern Jersey Family Medical Centers, Inc.",,697114
54,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Southern NJ Perinatal Cooperative,,278102
55,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",St. Luke's Warren Hospital,,657452
56,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Sussex County,,206539
57,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",The Food Bank of South Jersey,,272199
58,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Virtua Health Inc.,,1196187
59,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Visiting Nurse Association of Central Jersey, Community Health Center, Inc.",,169550
60,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey","Visiting Nurse Association of Central Jersey, Inc.",,271617
61,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",Zufall Health Center,,600162
62,Building Rural Hospital Capacity,AHS Hospital Corp.,Hackettstown Medical Center,1460000
63,Building Rural Hospital Capacity,AHS Hospital Corp.,Newton Medical Center,1460000
64,Building Rural Hospital Capacity,AtlantiCare Regional Medical Center,City Campus,1460000
65,Building Rural Hospital Capacity,AtlantiCare Regional Medical Center,Mainland Campus,1460000
66,Building Rural Hospital Capacity,"Capital Health System, Inc.",,1388795
67,Building Rural Hospital Capacity,Cooper Health System,,1460000
68,Building Rural Hospital Capacity,Deborah Heart and Lung Center,,1393982
69,Building Rural Hospital Capacity,Hunterdon Medical Center,,1446828
70,Building Rural Hospital Capacity,"Inspira Medical Centers, Inc.",Elmer,1460000
71,Building Rural Hospital Capacity,"Inspira Medical Centers, Inc.",Mannington,1209202
72,Building Rural Hospital Capacity,"Inspira Medical Centers, Inc.",Vineland,1460000
73,Building Rural Hospital Capacity,Shore Memorial Hospital,,1458227
74,Building Rural Hospital Capacity,St. Luke's Warren Hospital,,1460000
75,Community Health Workers in Rural New Jersey,"Community Health Care, Inc. DBA CompleteCare Health Network",,240589
76,Community Health Workers in Rural New Jersey,Cooper Health System,,169861
77,Community Health Workers in Rural New Jersey,Healthy People Worldwide DBA Mowana Care,,300000
78,Community Health Workers in Rural New Jersey,Kennedy University Hospital Inc.,,123603
79,Community Health Workers in Rural New Jersey,NORWESCAP,,106258
80,Community Health Workers in Rural New Jersey,Statewide Parent Advocacy Network,,186517
81,Community Health Workers in Rural New Jersey,"Trenton Health Team, Inc.",,249382
82,Community Health Workers in Rural New Jersey,Virtua Health Inc.,,107451
83,Doula Integration in Rural New Jersey,AtlantiCare Regional Medical Center,,790478
84,Doula Integration in Rural New Jersey,Cooper Health System,,185000
85,Doula Integration in Rural New Jersey,HMH Hospitals Corporation,,750000
86,Doula Integration in Rural New Jersey,Virtua Health Inc.,,292524
87,Doula Integration in Rural New Jersey,"Visiting Nurse Association of Central Jersey, Community Health Center, Inc.",,85484
88,Improving Chronic Disease Outcomes,Atlantic Prevention Resources Inc.,,130392
89,Improving Chronic Disease Outcomes,"AtlantiCare Health Services, Inc.",,146655
90,Improving Chronic Disease Outcomes,"Community Health Care, Inc. DBA CompleteCare Health Network",,322104
91,Improving Chronic Disease Outcomes,Cooper Health System,,178711
92,Improving Chronic Disease Outcomes,Healthy People Worldwide DBA Mowana Care,,89268
93,Improving Chronic Disease Outcomes,Hunterdon Medical Center,,147117
94,Improving Chronic Disease Outcomes,Legacy Treatment Services,,133296
95,Improving Chronic Disease Outcomes,National Kidney Foundation,,177757
96,Improving Chronic Disease Outcomes,"New Jersey Innovation Institute, Inc.",,197004
97,Improving Chronic Disease Outcomes,Rowan University School of Osteopathic Medicine,,437838
98,Improving Chronic Disease Outcomes,"Rutgers, The State University of NJ",,277462
99,Improving Chronic Disease Outcomes,Salem County,,67167
100,Improving Chronic Disease Outcomes,Shore Memorial Hospital,,45021
101,Improving Chronic Disease Outcomes,Statewide Parent Advocacy Network,,710000
102,Improving Chronic Disease Outcomes,Virtua Health Inc.,,427709
103,Improving Chronic Disease Outcomes,Zufall Health Center,,154135
