state,state_name,fy2026_allotment,n_initiatives,initiative_grain,captured_total,hospital_directed_total,unclear_total,narrative_stated_total,reconciliation_pct,stated_total_matches_award,reconciliation_structure,reconciliation_status,unreconciled_remainder,hospital_directed_pct,unclear_pct,publishable,reconciliation_note
OK,Oklahoma,223476949,29,FUND_USE,204900000,99800000,35100000,,0.9168730865392296,FALSE,ALLOCATED_ONLY,RECONCILED,18576949,0.4870668618838458,0.17130307467057102,TRUE,"Fund-use lines fall short of the award, remainder attributable to administration and indirect held outside them."
DE,Delaware,157394964,14,INITIATIVE,133082267.48,20910000,32598772.48,157394963.86,0.8455306580202909,TRUE,TOTAL_INCLUSIVE,VARIANCE,24312696.519999996,0.15712085761645456,0.24495203679107017,FALSE,Captured lines fall below 85% of the allotment. Goes to review before being called a bad parse (§7A.4) — but not published while VARIANCE.
AK,Alaska,272174856,0,,0,,,,0,FALSE,,NO_NARRATIVE,272174856,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
AL,Alabama,203404327,0,,0,,,,0,FALSE,,NO_NARRATIVE,203404327,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
AR,Arkansas,208779396,0,,0,,,,0,FALSE,,NO_NARRATIVE,208779396,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
AZ,Arizona,166988956,0,,0,,,,0,FALSE,,NO_NARRATIVE,166988956,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
CA,California,233639308,0,,0,,,,0,FALSE,,NO_NARRATIVE,233639308,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
CO,Colorado,200105604,0,,0,,,,0,FALSE,,NO_NARRATIVE,200105604,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
CT,Connecticut,154249106,0,,0,,,,0,FALSE,,NO_NARRATIVE,154249106,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
FL,Florida,209938195,0,,0,,,,0,FALSE,,NO_NARRATIVE,209938195,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
GA,Georgia,218862170,0,,0,,,,0,FALSE,,NO_NARRATIVE,218862170,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
HI,Hawaii,188892440,0,,0,,,,0,FALSE,,NO_NARRATIVE,188892440,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
IA,Iowa,209040064,0,,0,,,,0,FALSE,,NO_NARRATIVE,209040064,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
ID,Idaho,185974368,0,,0,,,,0,FALSE,,NO_NARRATIVE,185974368,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
IL,Illinois,193418216,0,,0,,,,0,FALSE,,NO_NARRATIVE,193418216,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
IN,Indiana,206927897,0,,0,,,,0,FALSE,,NO_NARRATIVE,206927897,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
KS,Kansas,221898008,0,,0,,,,0,FALSE,,NO_NARRATIVE,221898008,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
KY,Kentucky,212905591,0,,0,,,,0,FALSE,,NO_NARRATIVE,212905591,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
LA,Louisiana,208374448,0,,0,,,,0,FALSE,,NO_NARRATIVE,208374448,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
MA,Massachusetts,162005238,0,,0,,,,0,FALSE,,NO_NARRATIVE,162005238,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
MD,Maryland,168180838,0,,0,,,,0,FALSE,,NO_NARRATIVE,168180838,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
ME,Maine,190008051,0,,0,,,,0,FALSE,,NO_NARRATIVE,190008051,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
MI,Michigan,173128201,0,,0,,,,0,FALSE,,NO_NARRATIVE,173128201,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
MN,Minnesota,193090618,0,,0,,,,0,FALSE,,NO_NARRATIVE,193090618,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
MO,Missouri,216276818,0,,0,,,,0,FALSE,,NO_NARRATIVE,216276818,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
MS,Mississippi,205907220,0,,0,,,,0,FALSE,,NO_NARRATIVE,205907220,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
MT,Montana,233509359,0,,0,,,,0,FALSE,,NO_NARRATIVE,233509359,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
NC,North Carolina,213008356,0,,0,,,,0,FALSE,,NO_NARRATIVE,213008356,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
ND,North Dakota,198936970,0,,0,,,,0,FALSE,,NO_NARRATIVE,198936970,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
NE,Nebraska,218529075,0,,0,,,,0,FALSE,,NO_NARRATIVE,218529075,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
NH,New Hampshire,204016550,0,,0,,,,0,FALSE,,NO_NARRATIVE,204016550,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
NJ,New Jersey,147250806,0,,0,,,,0,FALSE,,NO_NARRATIVE,147250806,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
NM,New Mexico,211484741,0,,0,,,,0,FALSE,,NO_NARRATIVE,211484741,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
NV,Nevada,179931608,0,,0,,,,0,FALSE,,NO_NARRATIVE,179931608,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
NY,New York,212058208,0,,0,,,,0,FALSE,,NO_NARRATIVE,212058208,,,FALSE,"No budget narrative extracted. A reportable gap (§7A.2), not an absence of spending."
