state,n_awards_parsed,n_tier3_clean,n_mined_candidates,coverage_status
NH,26,11,6,PARSED_PLUS_CANDIDATES
GA,120,102,4,PARSED_PLUS_CANDIDATES
CO,12,6,3,PARSED_PLUS_CANDIDATES
CA,5,0,2,PARSED_PLUS_CANDIDATES
HI,2,2,2,PARSED_PLUS_CANDIDATES
OK,52,35,2,PARSED_PLUS_CANDIDATES
WA,6,5,2,PARSED_PLUS_CANDIDATES
AK,250,238,1,PARSED_PLUS_CANDIDATES
FL,81,68,1,PARSED_PLUS_CANDIDATES
IA,15,0,1,PARSED_PLUS_CANDIDATES
IL,0,0,1,UNPARSED_DATA_EXISTS
MI,158,123,1,PARSED_PLUS_CANDIDATES
MN,10,10,1,PARSED_PLUS_CANDIDATES
MO,31,3,1,PARSED_PLUS_CANDIDATES
MS,173,162,1,PARSED_PLUS_CANDIDATES
NC,1,1,1,PARSED_PLUS_CANDIDATES
ND,1,0,1,PARSED_PLUS_CANDIDATES
NE,52,46,1,PARSED_PLUS_CANDIDATES
NJ,11,10,1,PARSED_PLUS_CANDIDATES
OR,396,380,1,PARSED_PLUS_CANDIDATES
TN,1,0,1,PARSED_PLUS_CANDIDATES
VA,1,1,1,PARSED_PLUS_CANDIDATES
WV,12,7,1,PARSED_PLUS_CANDIDATES
AL,146,138,0,PARSED
AR,33,31,0,PARSED
AZ,6,0,0,PARSED
CT,9,5,0,PARSED
DE,18,1,0,PARSED
ID,1,0,0,PARSED
IN,217,5,0,PARSED
KS,95,93,0,PARSED
KY,0,0,0,NO_RCJ_DATA
LA,13,11,0,PARSED
MA,1,0,0,PARSED
MD,42,42,0,PARSED
ME,17,6,0,PARSED
MT,5,1,0,PARSED
NM,11,4,0,PARSED
NV,54,15,0,PARSED
NY,0,0,0,NO_RCJ_DATA
OH,1,1,0,PARSED
PA,66,66,0,PARSED
RI,1,1,0,PARSED
SC,228,227,0,PARSED
SD,29,28,0,PARSED
TX,89,9,0,PARSED
UT,2,2,0,PARSED
VT,13,7,0,PARSED
WI,21,16,0,PARSED
WY,0,0,0,NO_RCJ_DATA
