record_id,state,state_name,award_tier,awardee_name_raw,delimiter,n_recipients,recipient_index,recipient_name,passes_legal_entity_test,amount_announced_field_total,amount_note,source_doc_title,rcj_document_url,state_source_url,split_basis
0aeaef87-c362-4bc7-99e7-562ef3ffb5b5,AK,Alaska,SUBAWARD,"Division of Public Health, Department of Health",COMMA,2,1,Division of Public Health,FALSE,1374000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
0aeaef87-c362-4bc7-99e7-562ef3ffb5b5,AK,Alaska,SUBAWARD,"Division of Public Health, Department of Health",COMMA,2,2,Department of Health,FALSE,1374000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
4b85203e-89b0-4b70-ad40-aafe86942b60,AK,Alaska,SUBAWARD,"Alaska Psychiatric Institute, Department of Family & Community Services",COMMA,2,1,Alaska Psychiatric Institute,FALSE,300000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
4b85203e-89b0-4b70-ad40-aafe86942b60,AK,Alaska,SUBAWARD,"Alaska Psychiatric Institute, Department of Family & Community Services",COMMA,2,2,Department of Family & Community Services,FALSE,300000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
61d1f2cd-0097-45cf-bf1c-7f6cbc94af30,AK,Alaska,SUBAWARD,"Division of Juvenile Justice, Department of Family & Community Services",COMMA,2,1,Division of Juvenile Justice,FALSE,180000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
61d1f2cd-0097-45cf-bf1c-7f6cbc94af30,AK,Alaska,SUBAWARD,"Division of Juvenile Justice, Department of Family & Community Services",COMMA,2,2,Department of Family & Community Services,FALSE,180000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
6bce0ecc-cb75-488d-8859-9a9af3971c22,AK,Alaska,SUBAWARD,"Division of Public Health, Department of Health",COMMA,2,1,Division of Public Health,FALSE,618916.24,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
6bce0ecc-cb75-488d-8859-9a9af3971c22,AK,Alaska,SUBAWARD,"Division of Public Health, Department of Health",COMMA,2,2,Department of Health,FALSE,618916.24,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
85573774-728e-4d79-b2dc-1813bc8596f6,AK,Alaska,SUBAWARD,"Office of Children's Services, Department of Family & Community Services",COMMA,2,1,Office of Children's Services,FALSE,2985000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
85573774-728e-4d79-b2dc-1813bc8596f6,AK,Alaska,SUBAWARD,"Office of Children's Services, Department of Family & Community Services",COMMA,2,2,Department of Family & Community Services,FALSE,2985000,"RCJ published one amount for a field naming 2 recipients. This is the FIELD total, NOT this recipient's award. Never divide it (§6.2) - no source states how it splits.",AK - 2026 - Year 1 Funding Announcements,https://www.ruralcarejourney.com/api/documents/127ddbb3-c6f5-4524-b95d-56c6cdc2c16c/file,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,"§6.2: comma-delimited awardeeName naming 2 recipients, 0 of which pass the §6.1 legal-entity test. One candidate per fragment, routed to review -- the split is a guess about the state's formatting, not a fact. The amount is the FIELD total and is never divided."
