state,n_tier1_records,n_exact,n_rounded,n_disagrees,n_no_amount,max_abs_delta,rcj_tier1_status
AK,12,1,11,0,0,174856,CMS_FIGURE_RESTATED
AZ,5,2,3,0,0,11044,CMS_FIGURE_RESTATED
CA,12,4,8,0,0,360692,CMS_FIGURE_RESTATED
CO,12,4,8,0,0,105604,CMS_FIGURE_RESTATED
FL,6,1,5,0,0,938195,CMS_FIGURE_RESTATED
GA,9,2,7,0,0,862170,CMS_FIGURE_RESTATED
ID,4,1,3,0,0,670302,CMS_FIGURE_RESTATED
IL,2,1,1,0,0,418216,CMS_FIGURE_RESTATED
LA,4,1,3,0,0,374448,CMS_FIGURE_RESTATED
ME,3,1,2,0,0,8051,CMS_FIGURE_RESTATED
MI,7,2,5,0,0,222499.97999998927,CMS_FIGURE_RESTATED
NE,3,1,2,0,0,529075,CMS_FIGURE_RESTATED
NH,16,5,11,0,0,16550,CMS_FIGURE_RESTATED
NV,15,5,10,0,0,68392,CMS_FIGURE_RESTATED
SC,4,1,3,0,0,30252,CMS_FIGURE_RESTATED
UT,4,2,2,0,0,256434,CMS_FIGURE_RESTATED
VT,2,1,1,0,0,53740,CMS_FIGURE_RESTATED
AL,4,0,4,0,0,404327,ROUNDED_ONLY
AR,3,0,3,0,0,220604,ROUNDED_ONLY
CT,6,0,6,0,0,49106,ROUNDED_ONLY
DE,3,0,3,0,0,394964,ROUNDED_ONLY
HI,2,0,2,0,0,107560,ROUNDED_ONLY
IA,2,0,2,0,0,40064,ROUNDED_ONLY
IN,5,0,5,0,0,72103,ROUNDED_ONLY
KS,5,0,5,0,0,898008,ROUNDED_ONLY
KY,5,0,5,0,0,94409,ROUNDED_ONLY
MA,1,0,1,0,0,5238,ROUNDED_ONLY
MD,5,0,5,0,0,180838,ROUNDED_ONLY
MN,8,0,8,0,0,90618,ROUNDED_ONLY
MO,9,0,9,0,0,276818,ROUNDED_ONLY
MS,3,0,3,0,0,907220,ROUNDED_ONLY
MT,14,0,14,0,0,509359,ROUNDED_ONLY
NC,9,0,9,0,0,8356,ROUNDED_ONLY
ND,6,0,6,0,0,63030,ROUNDED_ONLY
NJ,1,0,1,0,0,250806,ROUNDED_ONLY
NM,2,0,2,0,0,484741,ROUNDED_ONLY
NY,4,0,4,0,0,58208,ROUNDED_ONLY
OH,1,0,1,0,0,30262,ROUNDED_ONLY
OK,12,0,12,0,0,476949,ROUNDED_ONLY
OR,7,0,7,0,0,271578,ROUNDED_ONLY
PA,3,0,3,0,0,294054,ROUNDED_ONLY
RI,2,0,2,0,0,169931,ROUNDED_ONLY
SD,5,0,5,0,0,477607,ROUNDED_ONLY
TN,1,0,1,0,0,111118,ROUNDED_ONLY
TX,2,0,2,0,0,0.32999998331069946,ROUNDED_ONLY
VA,2,0,2,0,0,455112,ROUNDED_ONLY
WA,6,0,6,0,0,257515,ROUNDED_ONLY
WI,3,0,3,0,0,329995,ROUNDED_ONLY
WV,10,0,10,0,0,523901,ROUNDED_ONLY
WY,3,0,3,0,0,4743,ROUNDED_ONLY
