state,named_organization,org_type,context,source,status,confirmed_recipient,confirmation_source,reviewed_by
CT,Aging and Disability Services,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Connecticut Office of Rural Health,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Dept of Agriculture,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Dept of Energy and Environmental Protection,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Dept of Mental Health and Addiction Services,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Dept of Public Health,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Office of Early Childhood,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Office of Health Strategy,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,Office of Policy and Management,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
CT,State Dept of Education,STATE_AGENCY,Named subrecipient/sub-awardee,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Bayhealth,HOSPITAL_OR_SYSTEM,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Beebe Healthcare,HOSPITAL_OR_SYSTEM,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,ChristianaCare,HOSPITAL_OR_SYSTEM,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Delaware Council on Farm & Food Policy,STATE_AGENCY,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Delaware Division of Libraries,STATE_AGENCY,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Delaware Health Care Commission,STATE_AGENCY,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Delaware Health Information Network (DHIN),VENDOR_OR_CONTRACTOR,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Delaware State Housing Authority,LOCAL_GOVT_OR_PUBLIC_HEALTH,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Delaware State University,UNIVERSITY_OR_AHC,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Delaware Technical Community College,UNIVERSITY_OR_AHC,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Highmark Health Options,VENDOR_OR_CONTRACTOR,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,La Red Health Center,FQHC_OR_RHC,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Nemours Children's Health,HOSPITAL_OR_SYSTEM,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Smart Health Network,VENDOR_OR_CONTRACTOR,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Tidal Health,HOSPITAL_OR_SYSTEM,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,University of Delaware,UNIVERSITY_OR_AHC,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
DE,Westside Family Healthcare,FQHC_OR_RHC,Listed as Known Partner Organization,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,Deloitte,VENDOR_OR_CONTRACTOR,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,Department of Human Services,STATE_AGENCY,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,Department of Public Health,STATE_AGENCY,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,Dept of Behavioral Health and Developmental Disabilities,STATE_AGENCY,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,Georgia Board of Health Care Workforce,STATE_AGENCY,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,Georgia EMS Assoc / Georgia Ambulance Providers Assoc,EMS_OR_PSAP,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,RSM,VENDOR_OR_CONTRACTOR,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,ShareCare,VENDOR_OR_CONTRACTOR,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,Side by Side,NONPROFIT_CBO,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,State Office of Rural Health,STATE_AGENCY,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
GA,University System of Georgia,UNIVERSITY_OR_AHC,Named sub-recipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
HI,State Department of Health,STATE_AGENCY,Named subawardee for initiative leads,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
HI,State Department of Human Services,STATE_AGENCY,Named subawardee for initiative leads,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
HI,State Health Planning and Development Agency,STATE_AGENCY,Named subawardee for initiative leads,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
HI,UH John A. Burns School of Medicine,UNIVERSITY_OR_AHC,Named subawardee for initiative leads,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
HI,Univ of Hawaii Telecommunication and Social Informatics Program,UNIVERSITY_OR_AHC,Named subawardee for initiative leads,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,Community Behavioral Health Association,NONPROFIT_CBO,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,Hospitals (unnamed),HOSPITAL_OR_SYSTEM,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,Illinois Community College Board,UNIVERSITY_OR_AHC,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,Illinois Critical Access Hospital Network (ICAHN),NONPROFIT_CBO,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,Illinois Department of Public Health,STATE_AGENCY,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,Illinois Primary Health Care Association,NONPROFIT_CBO,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,Illinois State University System,UNIVERSITY_OR_AHC,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
IL,University of Illinois Chicago,UNIVERSITY_OR_AHC,Expected subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,Chesapeake Regional Information System for our Patients (CRISP),VENDOR_OR_CONTRACTOR,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,Local Emergency Medical Services,EMS_OR_PSAP,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,Local Health Departments,LOCAL_GOVT_OR_PUBLIC_HEALTH,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,MD Dept of Agriculture,STATE_AGENCY,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,MD Dept of Emergency Management,STATE_AGENCY,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,MD Dept of Housing and Community Development,STATE_AGENCY,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,MD Dept of Labor,STATE_AGENCY,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,Maryland Area Health Education Center,AHEC,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
MD,Rural Maryland Council,NONPROFIT_CBO,Known subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NC,Duke-Margolis Health Policy Center,UNIVERSITY_OR_AHC,Key subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NC,UNC Cecil G. Sheps Center for Health Services Research,UNIVERSITY_OR_AHC,Key subrecipient,CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
NE,Community colleges / private colleges,UNIVERSITY_OR_AHC,"Named subrecipient, by initiative",CMS_ABSTRACT_PREAWARD,CANDIDATE_ONLY,,,
