state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,flow_type,hospital_benefiting,determination_basis,source_archive_path,recipient_names_source_url,amount_basis,amount_precision,disbursement_status,classification_rule,activity_type_raw,app_id,project_type,initiative_raw,project_title,project_summary,service_area,organization_type_raw,notification_date
AK,1,Alaska Academy of Family Physicians,919975,NONPROFIT_CBO,No,Implementation | Strengthen Workforce | Bethel Census Area; Dillingham Census Area; Lake and Peninsula Borough; Yukon-Koyukuk Census Area,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,"Family medicine or primary care; Non-Profit, Social Service, or Community Based Organization",HIGH,AMOUNT_PRELIMINARY,NON_HOSPITAL,No,"The state's own Organization Type field states 'Non-Profit, Social Service, or Community Based Organization'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-002, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Strengthen Workforce,BP1-IA-002,Implementation,Strengthen Workforce,Rural and Frontier point-of-are ultrasound Initiative,"Alaska Academy of Family Physicians proposes to expand point-of-care ultrasound training and equipment access for healthcare professionals in rural and remote Alaska. The project addresses limited local access to diagnostic imaging, long distances to specialty care, and insufficient opportunities for hands-on ultrasound training in underserved communities by providing hands-on education and point-of-care ultrasound equipment to physicians, advanced practice clinicians, nurses, paramedics, Community Health Aides, and other front line healthcare workers serving rural Alaska communities.",Bethel Census Area; Dillingham Census Area; Lake and Peninsula Borough; Yukon-Koyukuk Census Area,"Family medicine or primary care; Non-Profit, Social Service, or Community Based Organization",2026-08-21
AK,2,Alaska Addiction Rehabilitation Services,100253.18,NONPROFIT_CBO,No,Implementation | Spark Technology and Innovation | Matanuska-Susitna Borough,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,"Behavioral health/substance use disorder treatment; Non-Profit, Social Service, or Community Based Organization",HIGH,AMOUNT_PRELIMINARY,NON_HOSPITAL,No,"The state's own Organization Type field states 'Non-Profit, Social Service, or Community Based Organization'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-003, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Spark Technology and Innovation,BP1-IA-003,Implementation,Spark Technology and Innovation,Electronic Medical Record Implementation,"Alaska Addiction Rehabilitation Services, Inc. proposes implementing an electronic health record system to improve clinical documentation, care coordination, and data management, addressing the lack of a centralized patient record system for adults receiving substance use disorder treatment from communities across Alaska, including rural and remote areas.",Matanuska-Susitna Borough,"Behavioral health/substance use disorder treatment; Non-Profit, Social Service, or Community Based Organization",2026-08-21
AK,3,Alaska Association on Developmental Disabilities,2129485,NONPROFIT_CBO,No,Implementation | Strengthen Workforce | Statewide,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,Association,MEDIUM,AMOUNT_PRELIMINARY,NON_HOSPITAL,No,"The state's own Organization Type field states 'Association'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-004, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Strengthen Workforce,BP1-IA-004,Implementation,Strengthen Workforce,Strengthening Alaska's Rural Disability Workforce and Support System,"Alaska Association on Developmental Disabilities proposes expanding GoodLife Innovation’s evidence-based workforce stabilization, technology advancements, remote support, and education surrounding innovating housing models, including host homes, to strengthen access to consistent services, increase workforce stability, and improve continuity of care for individuals with disabilities and aging adults in rural and remote Alaska.",Statewide,Association,2026-08-21
AK,4,Alaska Association on Developmental Disabilities,1570650,NONPROFIT_CBO,No,Implementation | Health Care Access | Statewide,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,Association,MEDIUM,AMOUNT_PRELIMINARY,NON_HOSPITAL,No,"The state's own Organization Type field states 'Association'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-005, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Health Care Access,BP1-IA-005,Implementation,Health Care Access,The Road Home: Intensive Care and Community Integration for Alaskans with Complex Needs,The Alaska Association on Developmental Disabilities proposes to expand Alaska's capacity to support individuals with intensive needs by establishing a new level of care option for Alaskans with intellectual and/or developmental disabilities and other mental health disabilities whose behavior support needs cannot be met in standard community settings. This addresses a long-identified gap in Alaska's continuum of care by creating time-limited step-down settings with dedicated clinical oversight designed to stabilize behavior and support planned transition back to community-based living.,Statewide,Association,2026-08-21
AK,5,Alaska Behavioral Health,1000000,EMS_OR_PSAP,No,Implementation | Health Care Access | Denali Borough; Fairbanks North Star Borough; Southeast Fairbanks Census Area,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,"Behavioral health/substance use disorder treatment; Emergency Medical Services; Non-Profit, Social Service, or Community Based Organization",HIGH,RECIPIENT_TYPE_VARIES_IN_SOURCE,NON_HOSPITAL,No,"The state's own Organization Type field states 'Emergency Medical Services'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-008, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award. NOTE: Alaska's Organization Type field gives this recipient a different organisational form on another of its own projects (EMS_OR_PSAP / NONPROFIT_CBO). The per-row value is kept as the state published it and is not harmonised; a reviewer resolves which form the entity has.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Health Care Access,BP1-IA-008,Implementation,Health Care Access,Fairbanks Crisis Stabilization Center Development and Implementation,"Alaska Behavioral Health will develop and launch a crisis stabilization center in Fairbanks, providing a safe alternative to emergency departments and law enforcement response for behavioral health crises. The project improves access, reduces high-cost utilization, and strengthens coordination across Interior Alaska. All implementation activities will be completed within the performance period ending June 30, 2027.",Denali Borough; Fairbanks North Star Borough; Southeast Fairbanks Census Area,"Behavioral health/substance use disorder treatment; Emergency Medical Services; Non-Profit, Social Service, or Community Based Organization",2026-08-21
AK,6,Alaska Behavioral Health,422500,EMS_OR_PSAP,No,Implementation | Strengthen Workforce | Statewide,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,"Behavioral health/substance use disorder treatment; Emergency Medical Services; Family medicine or primary care; Non-Profit, Social Service, or Community Based Organization",HIGH,RECIPIENT_TYPE_VARIES_IN_SOURCE,NON_HOSPITAL,No,"The state's own Organization Type field states 'Emergency Medical Services'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-007, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award. NOTE: Alaska's Organization Type field gives this recipient a different organisational form on another of its own projects (EMS_OR_PSAP / NONPROFIT_CBO). The per-row value is kept as the state published it and is not harmonised; a reviewer resolves which form the entity has.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Strengthen Workforce,BP1-IA-007,Implementation,Strengthen Workforce,"Behavioral Health Workforce Development, Clinical Internship Program","Alaska Behavioral Health proposes expanding a statewide clinical internship program to train master’s-level behavioral health students, addressing Alaska’s shortage of culturally responsive providers across rural, remote, and frontier communities.",Statewide,"Behavioral health/substance use disorder treatment; Emergency Medical Services; Family medicine or primary care; Non-Profit, Social Service, or Community Based Organization",2026-08-21
AK,7,Alaska Behavioral Health,219343,NONPROFIT_CBO,No,Implementation | Spark Technology and Innovation | Statewide,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,"Behavioral health/substance use disorder treatment; Family medicine or primary care; Non-Profit, Social Service, or Community Based Organization",HIGH,RECIPIENT_TYPE_VARIES_IN_SOURCE,NON_HOSPITAL,No,"The state's own Organization Type field states 'Non-Profit, Social Service, or Community Based Organization'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-010, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award. NOTE: Alaska's Organization Type field gives this recipient a different organisational form on another of its own projects (EMS_OR_PSAP / NONPROFIT_CBO). The per-row value is kept as the state published it and is not harmonised; a reviewer resolves which form the entity has.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Spark Technology and Innovation,BP1-IA-010,Implementation,Spark Technology and Innovation,Patient Portal and HIE Integration,Alaska Behavioral Health proposes to integrate its electronic health record with Alaska’s Health Information Exchange and implement a patient portal to improve care coordination and patient access. This project addresses fragmented health systems and limited patient access across rural Alaska by enabling real-time data sharing and empowering patients to manage their care statewide.,Statewide,"Behavioral health/substance use disorder treatment; Family medicine or primary care; Non-Profit, Social Service, or Community Based Organization",2026-08-21
AK,8,Alaska Behavioral Health Association,510307.3,NONPROFIT_CBO,No,Implementation | Spark Technology and Innovation | Statewide,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,Association,MEDIUM,AMOUNT_PRELIMINARY,NON_HOSPITAL,No,"The state's own Organization Type field states 'Association'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-011, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Spark Technology and Innovation,BP1-IA-011,Implementation,Spark Technology and Innovation,Alaska Rural Routine Outcome Monitoring & Measurement-Informed Care Initiative,"The Alaska Behavioral Health Association proposes implementing routine outcome monitoring and measurement-informed care infrastructure with behavioral health providers, addressing the lack of consistent outcome measurement and treatment feedback systems across Alaska’s rural and frontier behavioral health organizations.",Statewide,Association,2026-08-21
AK,9,Alaska Behavioral Health Association,296179.86,NONPROFIT_CBO,No,Implementation | Strengthen Workforce | Statewide,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,Association,MEDIUM,AMOUNT_PRELIMINARY,NON_HOSPITAL,No,"The state's own Organization Type field states 'Association'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-013, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Strengthen Workforce,BP1-IA-013,Implementation,Strengthen Workforce,Behavioral Health Supervisor Academy Implementation Initiative,"The Alaska Behavioral Health Association proposes implementing a statewide behavioral health supervisor academy, addressing limited access to structured supervision training and leadership development opportunities for supervisors serving behavioral health organizations across Alaska.",Statewide,Association,2026-08-21
AK,10,Alaska Center for Children and Adults,507909.94,NONPROFIT_CBO,No,Implementation | Health Care Access | Bethel Census Area; Copper River Census Area; Denali Borough; Fairbanks North Star Borough; Hoonah-Angoon Census Area; Nome Census Area; North Slope Borough; Northwest Arctic Borough; Southeast Fairbanks Census Area,Yes,No,FY2026 (Year 1),Alaska RHTP Awards Notice 2026 - Notice of Intent to Award,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,"Non-Profit, Social Service, or Community Based Organization",HIGH,AMOUNT_PRELIMINARY,NON_HOSPITAL,No,"The state's own Organization Type field states 'Non-Profit, Social Service, or Community Based Organization'. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Source: Alaska DOH's rolling RHTP award notice (sheet 'Notice of Intent to Award'), project BP1-IA-015, notified 2026-08-21. The amount is published as preliminary and the document is a notice of intent to award, not a notice of award.",data/evidence/AK/2026-08-28_ak_rhtp_awardsnotice_2026.xlsx,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,PER_PROJECT,PRELIMINARY_AS_PUBLISHED,INTENT_TO_AWARD,STATE_ORG_TYPE,Health Care Access,BP1-IA-015,Implementation,Health Care Access,Community Pathways,"The Alaska Center for Children and Adults (ACCA) proposes to expand screening, care navigation, and partnerships to reach families in its service regions who face barriers to accessing services due to location or ineligibility for existing programs. This will address gaps in access to early developmental, behavioral health, and family support services. The project includes community partnerships and a work-based training program to develop qualified staff.",Bethel Census Area; Copper River Census Area; Denali Borough; Fairbanks North Star Borough; Hoonah-Angoon Census Area; Nome Census Area; North Slope Borough; Northwest Arctic Borough; Southeast Fairbanks Census Area,"Non-Profit, Social Service, or Community Based Organization",2026-08-21
