state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,flow_type,hospital_benefiting,determination_basis,source_archive_path,recipient_names_source_url,amount_basis,amount_precision,disbursement_status,classification_rule,activity_type_raw,initiative_raw,award_sequence,counties_served,project_description
AL,1,Alabama Primary Health Care Association,867102,NONPROFIT_CBO,No,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,IN_KIND_BENEFIT,Yes,"Curated override: statewide FQHC membership association, not itself a health center. §10.2 IN_KIND_BENEFIT: the recipient is not a hospital and keeps the funds; hospitals use or are served by what the funds build. These dollars must never enter a 'funds distributed to hospitals' total. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,OVERRIDE,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,"Baldwin, Barbour, Bibb, Blount, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, DeKalb, Escambia, Greene, Henry, Jackson, Jefferson, Lamar, Lowndes, Macon, Madison, Marengo, Marshall, Mobile, Monroe, Perry, Pickens, Pike, Randolph, Sumter, Talladega, Walker, Washington, Wilcox, Winston","Alabama Primary Health Care Association – $867,102 to establish a shared rural health technology and care coordination framework to strengthen collaboration among participating health centers, rural clinics, hospitals and community mental health providers in 43 counties (Baldwin, Barbour, Bibb, Blount, Chambers, Cherokee, Chilton, Choctaw, Clarke, Clay, Cleburne, Coffee, Conecuh, Coosa, Covington, Crenshaw, Cullman, Dale, Dallas, DeKalb, Escambia, Greene, Henry, Jackson, Jefferson, Lamar, Lowndes, Macon, Madison, Marengo, Marshall, Mobile, Monroe, Perry, Pickens, Pike, Randolph, Sumter, Talladega, Walker, Washington, Wilcox, Winston)."
AL,2,AltaPointe Health Systems Inc.,457073,NONPROFIT_CBO,No,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,LOW,,NON_HOSPITAL,No,"Curated override: community mental health provider; it operates psychiatric hospitals, but the release does not state which entity received the grant -- confirm before coding as a hospital. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,OVERRIDE,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,"Baldwin, Clay, Coosa, Mobile, Randolph, Talladega, Washington","AltaPointe Health Systems Inc. – $457,073 to enhance cybersecurity protections across its rural behavioral health network to protect patient information and maintain reliable access to care in seven counties (Baldwin, Clay, Coosa, Mobile, Randolph, Talladega, Washington)."
AL,3,Auburn University,6380000,UNIVERSITY_OR_AHC,No,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,AMOUNT_ROUNDED_IN_SOURCE,IN_KIND_BENEFIT,Yes,"Recipient name rule: name states a university or college. §10.2 IN_KIND_BENEFIT: the recipient is not a hospital and keeps the funds; hospitals use or are served by what the funds build. These dollars must never enter a 'funds distributed to hospitals' total. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,"Barbour, Bullock, Chambers, Covington, Dale, Geneva, Henry, Macon, Monroe, Pike, Tallapoosa, Washington","Auburn University – $6.38 million to establish a shared digital health and cybersecurity network to improve access to care, information sharing and technology support for rural healthcare providers in 12 counties (Barbour, Bullock, Chambers, Covington, Dale, Geneva, Henry, Macon, Monroe, Pike, Tallapoosa, Washington)."
AL,4,Birmingham Obstetrics Gynecology PC,17500,PHYSICIAN_PRACTICE,No,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,NON_HOSPITAL,No,"Recipient name rule: professional corporation suffix. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,,"Birmingham Obstetrics Gynecology PC – $17,500 to connect its electronic health record system to Alabama’s statewide health information exchange to improve continuity and coordination of maternity care for rural patients statewide."
AL,5,Cahaba Medical Care Foundation,212180,FQHC_OR_RHC,No,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: federally qualified health center; one of its own awards establishes a further FQHC site. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,OVERRIDE,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,"Bibb, Chilton, Dallas, Marengo, Perry, Wilcox","Cahaba Medical Care Foundation – $212,180 to strengthen cybersecurity protections across its rural health center network to protect patient information and maintain reliable access to care in six counties (Bibb, Chilton, Dallas, Marengo, Perry, Wilcox)."
AL,6,The City of York Health Care Authority DBA Hill Hospital of Sumter County,344269,HOSPITAL_OR_SYSTEM,Yes,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,"Choctaw, Pickens, Sumter","The City of York Health Care Authority DBA Hill Hospital of Sumter County – $344,269 to strengthen its health information technology, cybersecurity and electronic health record systems to improve care coordination and protect patient information in three counties (Choctaw, Pickens, Sumter)."
AL,7,Clay County Healthcare Authority,814941,HOSPITAL_OR_SYSTEM,Yes,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,DIRECT,Yes,"Recipient name rule: Alabama hospital authority. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,,"Clay County Healthcare Authority – $814,941 to upgrade its clinical, operational and cybersecurity technology infrastructure to improve connectivity, information sharing and reliable access to care in Clay County."
AL,8,Gadsden Regional Medical Center LLC,1400000,HOSPITAL_OR_SYSTEM,Yes,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,AMOUNT_ROUNDED_IN_SOURCE,DIRECT,Yes,"Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties. The release publishes this amount rounded to millions; it is recorded as published and is not exact to the dollar.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,ROUNDED_TO_MILLIONS,AWARDED,PATTERN,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,,"Gadsden Regional Medical Center LLC – $1.4 million to modernize hospital security and emergency communication systems to strengthen patient safety, protect sensitive information and maintain reliable operations during disruptions in Etowah County."
AL,9,Haynes Ambulance of Alabama Inc.,283314,EMS_OR_PSAP,No,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,NON_HOSPITAL,No,"Recipient name rule: name states an EMS entity. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,"Bullock, Covington, Crenshaw, Elmore, Lowndes, Macon, Pike, Tallapoosa","Haynes Ambulance of Alabama Inc. – $283,314 to strengthen cybersecurity and information technology systems across its rural emergency medical service stations to protect patient information and improve operational reliability in eight counties (Bullock, Covington, Crenshaw, Elmore, Lowndes, Macon, Pike, Tallapoosa)."
AL,10,HH Health System – Athens Limestone LLC,886464,HOSPITAL_OR_SYSTEM,Yes,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",Yes,Yes,FY2026 (Year 1),Governor Ivey Announces First Grants in Major New Rural Healthcare Program Totaling More than $144 Million,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,GOVERNOR_PRESS_RELEASE,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,DIRECT,Yes,"Recipient name rule: name states a health system. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: Governor Ivey's 2026-08-24 release, which states the awarding of 138 grants and names this recipient, amount, initiative and counties.",data/evidence/AL/2026-08-24_governor_ivey_first_arhtp_grants.html,https://governor.alabama.gov/newsroom/2026/08/governor-ivey-announces-first-grants-in-major-new-rural-healthcare-program-totaling-more-than-144-million/,PER_AWARD_ACTION,EXACT_AS_PUBLISHED,AWARDED,PATTERN,"Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative","Collaborative Electronic Health Record (EHR), IT and Cybersecurity Initiative",FIRST,,"HH Health System – Athens Limestone LLC – $886,464 to expand its shared electronic health record system to Athens-Limestone Hospital to improve care coordination, information sharing and cybersecurity in Limestone County."
