state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,organisation_award_total,round_name,announcement_date,source_archive_path
AR,1,ARCARE,2571095,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $2,571,095.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",2571095,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,2,Arkansas Ambulance Association,10000000,EMS_OR_PSAP,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $10,000,000.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states an EMS entity.,HIGH,AMOUNT_PRELIMINARY,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient name rule: name states an EMS entity. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",10000000,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,3,Arkansas Baptist Childrens Homes and Family Ministries,423761.29,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $423,761.29 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",423761.29,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,4,Arkansas Children's Hospital,301400,HOSPITAL_OR_SYSTEM,Yes,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $301,400.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_PRELIMINARY,THRIVE,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",301400,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,5,Arkansas Rural Health Partnership,7896955,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $18,833,521.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it. ARKANSAS RURAL HEALTH PARTNERSHIP IS A HOSPITAL CONSORTIUM ON THIS PIPELINE'S OWN KNOWLEDGE AND THE AWARD LIST SAYS NOTHING ABOUT IT. §10.2's association row turns on what the document says the money DOES -- administered to member hospitals (PASS_THROUGH_DESIGNATED, Yes) or spent on goods and services for them (IN_KIND_BENEFIT, No) -- and the award list says neither. Nothing was promoted (§0.4); queued as AR_ARHP_CONSORTIUM_FLOW.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED;FLOW_UNRESOLVED_HOSPITAL_AFFILIATED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",18833521,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,6,Arkansas Rural Health Partnership,10936566,NONPROFIT_CBO,No,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $18,833,521.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it. ARKANSAS RURAL HEALTH PARTNERSHIP IS A HOSPITAL CONSORTIUM ON THIS PIPELINE'S OWN KNOWLEDGE AND THE AWARD LIST SAYS NOTHING ABOUT IT. §10.2's association row turns on what the document says the money DOES -- administered to member hospitals (PASS_THROUGH_DESIGNATED, Yes) or spent on goods and services for them (IN_KIND_BENEFIT, No) -- and the award list says neither. Nothing was promoted (§0.4); queued as AR_ARHP_CONSORTIUM_FLOW.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED;FLOW_UNRESOLVED_HOSPITAL_AFFILIATED,PACT,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",18833521,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,7,Baptist Health,1926432,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $16,926,432.00 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",16926432,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,8,Baptist Health,15000000,NONPROFIT_CBO,No,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $16,926,432.00 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,PACT,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",16926432,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,9,Baxter Health,7738729.91,NONPROFIT_CBO,No,"Initiative: Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE). Arkansas published $19,738,729.91 to this organisation across both initiatives; this row is its THRIVE figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,THRIVE,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",19738729.91,"Telehealth, Health-monitoring, and Response Innovation for Vital Expansion (THRIVE)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
AR,10,Baxter Health,12000000,NONPROFIT_CBO,No,"Initiative: Promoting Access, Coordination, and Transformation (PACT). Arkansas published $19,738,729.91 to this organisation across both initiatives; this row is its PACT figure alone and the two must not be added to that total. Published by the Arkansas Department of Finance and Administration (DF&A) in its Year 1 THRIVE/PACT award list, linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE AWARD LIST STATES NO ORGANISATIONAL FORM AND CARRIES NO PROJECT DESCRIPTION, so `recipient_type` is derived from the recipient's own name (§8) and nothing in the primary source can move a row off it.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 THRIVE and PACT Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/08/ada_RHTP.YR1_.THRIVE.PACT_.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,PACT,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read from the award list's own column with session 32's run model. Its three amount columns are painted at one y, so the line model welds them into one string; the runs separate them at the producer's own boundaries. The 31 rows reconcile to Arkansas's own `Total:` row on ALL THREE columns to the cent, and the Governor's 50 priced projects reconcile to the same three figures independently.",19738729.91,"Promoting Access, Coordination, and Transformation (PACT)",2026-08-27,data/evidence/AR/2026-08-27_ar_dfa_year1_thrive_pact_award_list.pdf
