state,row_no,awardee,awardee_as_published,spelling_differs,award_pool,amount,project_title,project_description,recipient_type,recipient_type_from_release_spelling,flow_type,distributed_to_hospital,hospital_benefiting,determination_basis,validation_source_type,state_source_url,source_archive_path,note
AR,1,ARCARE,ARcare,TRUE,THRIVE,2571095,ARcare Rural Transformation Program,"ARcare Rural Transformation Program (Woodruff, Izard, Baxter, Jackson, Franklin, White, Cross, Benton, Independence, Miller, Faulkner, and Jefferson counties) will upgrade remote patient monitoring, telehealth micro-clinics, EHR interoperability, cybersecurity, network infrastructure, and patient engagement tools through HOME, VIRTUAL, and TECH Fund activities.",NONPROFIT_CBO,NONPROFIT_CBO,NON_HOSPITAL,No,No,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,2,Arkansas Ambulance Association,Arkansas Ambulance Association,FALSE,THRIVE,10000000,"EMS Coordinated Network for Emergency Navigation, Community Care and Telehealth (EMS-Connect)","EMS Coordinated Network for Emergency Navigation, Community Care and Telehealth (EMS-Connect) (statewide) will replace ambulances and add telehealth communications, connectivity and patient-monitoring equipment, data sharing, training, and a Patient Navigation Hub.",EMS_OR_PSAP,EMS_OR_PSAP,NON_HOSPITAL,No,No,"Recipient name rule: name states an EMS entity. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,3,Arkansas Baptist Childrens Homes and Family Ministries,Arkansas Baptist Children’s Homes and Family Ministries,TRUE,THRIVE,423761.29,Living Well Rural Connect Initiative,"Living Well Rural Connect Initiative (Crittenden, Lee, Union, Jefferson, Ouachita, and Hempstead counties) will expand rural behavioral health access through telebehavioral health services, community access points, secure counselor technology, cloud-based systems, cybersecurity improvements, and startup support.",NONPROFIT_CBO,NONPROFIT_CBO,NON_HOSPITAL,No,No,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,4,Arkansas Children's Hospital,Arkansas Children’s,TRUE,THRIVE,210000,Rural Health Management Network for Children with Chronic Disease,"Rural Health Management Network for Children with Chronic Disease (statewide) will provide remote monitoring and virtual care coordination for rural children with asthma, diabetes, cystic fibrosis, inflammatory bowel disease, and single-ventricle heart disease.",HOSPITAL_OR_SYSTEM,NONPROFIT_CBO,DIRECT,Yes,Yes,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,5,Arkansas Children's Hospital,Arkansas Children’s,TRUE,THRIVE,91400,Rural Newborn Alliance,"Rural Newborn Alliance (Jefferson County and the 11 Southeast Arkansas counties served by Jefferson Regional in Year 1) will provide prenatal diagnostics, TeleNICU access, neonatal education, standardized care pathways, bridge-to-home services, and rural newborn care coordination.",HOSPITAL_OR_SYSTEM,NONPROFIT_CBO,DIRECT,Yes,Yes,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,6,Arkansas Rural Health Partnership,Arkansas Rural Health Partnership,FALSE,THRIVE,2245031,Arkansas Rural Emergency Tele-Consultation and EMS Tele-Triage Network (,"Arkansas Rural Emergency Tele-Consultation and EMS Tele-Triage Network ( Woodruff, White, Independence, Saline, Monroe, Lonoke, Cross, Prairie, St. Francis, Garland, Miller, Jefferson, Crittenden, Arkansas, Lincoln, Bradley, Grant, Chicot, Ashley, Lee, Phillips, Sebastian, Pulaski, Clay, Randolph, Lawrence, Greene, Fulton, Sevier, Hot Spring, and Howard counties) will equip rural hospitals and EMS providers for emergency teleconsultation and triage, including platform onboarding, workflow development, training, implementation, and evaluation.",NONPROFIT_CBO,NONPROFIT_CBO,IN_KIND_BENEFIT,No,Yes,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 IN_KIND_BENEFIT: the recipient is not a hospital and keeps the funds, and the source names hospitals among the parties the funded work serves. These dollars must never enter a 'funds distributed to hospitals' total; they are kept visible rather than discarded.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,7,Arkansas Rural Health Partnership,Arkansas Rural Health Partnership,FALSE,THRIVE,5651924,ARHP TECH: Rural Chronic Care Initiative,"ARHP TECH: Rural Chronic Care Initiative (Polk, Independence, Desha, Dallas, Bradley, Howard, Ashley, Jefferson, Chicot, Hempstead, Union, Phillips, Arkansas, Sevier, Ouachita, Little River, and St. Francis counties) will support technology-enabled chronic disease management through remote patient-monitoring devices, site readiness, patient onboarding, staff training, care coordination, and ZOLL heart-failure monitoring for high-risk patients.",NONPROFIT_CBO,NONPROFIT_CBO,NON_HOSPITAL,No,No,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,8,Baptist Health,Baptist Health,FALSE,THRIVE,1139512,Expanding & Enhancing Specialty Care Across Rural Arkansas: A Cardiology Pilot Initiative,"Expanding & Enhancing Specialty Care Across Rural Arkansas: A Cardiology Pilot Initiative (Hot Spring, Clark, Cleburne, Union, Drew, Arkansas, and Columbia counties) will launch virtual cardiology rounds and post-discharge follow-up at rural hospitals without reliable on-site cardiology access, with capacity for expansion beyond the pilot.",NONPROFIT_CBO,NONPROFIT_CBO,IN_KIND_BENEFIT,No,Yes,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 IN_KIND_BENEFIT: the recipient is not a hospital and keeps the funds, and the source names hospitals among the parties the funded work serves. These dollars must never enter a 'funds distributed to hospitals' total; they are kept visible rather than discarded.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,9,Baptist Health,Baptist Health,FALSE,THRIVE,197542,Magnolia Regional Medical Center Information Technology & Virtual Care Transition to Baptist Health,"Magnolia Regional Medical Center Information Technology & Virtual Care Transition to Baptist Health (Columbia County) will add Caregility virtual care, telemetry, licensing, endpoint technology, cabling, and cybersecurity infrastructure as Magnolia Regional Medical Center joins the Baptist Health system.",NONPROFIT_CBO,NONPROFIT_CBO,NON_HOSPITAL,No,No,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
AR,10,Baptist Health,Baptist Health,FALSE,THRIVE,589378,South Arkansas Regional Hospital Information Technology & Virtual Care Transition to Baptist Health,"South Arkansas Regional Hospital Information Technology & Virtual Care Transition to Baptist Health (Union County) will add virtual care, telemetry, licensing, endpoint technology, cabling, and cybersecurity infrastructure as South Arkansas Regional Hospital transitions to Baptist Health Medical Center-El Dorado.",NONPROFIT_CBO,NONPROFIT_CBO,IN_KIND_BENEFIT,No,Yes,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 IN_KIND_BENEFIT: the recipient is not a hospital and keeps the funds, and the source names hospitals among the parties the funded work serves. These dollars must never enter a 'funds distributed to hospitals' total; they are kept visible rather than discarded.",GOVERNOR_PRESS_RELEASE,https://governor.arkansas.gov/news_post/sanders-announces-nearly-150-million-awarded-in-rural-health-transformation-funds/,data/evidence/AR/2026-08-27_governor_sanders_nearly_150_million_awarded.html,"THE SAME MONEY AS `ar_year1_awardees.csv`, AT A FINER GRAIN. NEVER ADD THE TWO FILES: the 50 rows here and the 37 there are one $149,177,618.45, read from two publishers. This file exists for the project DESCRIPTION, which the award list does not carry, and for the Governor's own count of 50, which is neither 31 organisations nor 37 award actions. `recipient_type` is derived from the AWARD LIST's spelling of the name (the primary source, §8); `recipient_type_from_release_spelling` records what the release's own spelling would give, which differs for Arkansas Children's and is worth $301,400."
