state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,organisation_award_total,round_name,announcement_date,source_archive_path,basis_type,verified_by,verified_basis,recipient_subtype,cms_enrolment_match,cms_enrolment_record
AR,1,AFMC,461201,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $461,201.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,HEART,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",461201,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,2,ARFuture Foundation,805375,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $805,375.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,HEART,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",805375,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,3,"Alliance of Boys & Girls Clubs, Inc.",930000,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $930,000.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,HEART,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",930000,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,4,Arkansas Baptist Children and Family Ministries,394343,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $394,343.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,HEART,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",394343,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,5,Arkansas Cancer Coalition,205905,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $205,905.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,HEART,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",205905,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,6,"Arkansas Chapter, American Academy of Pediatrics",228525,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $228,525.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise. TYPE OVERRIDE (session 69): §8's name rule reads 'Pediatrics' and returns PHYSICIAN_PRACTICE; a state CHAPTER of a professional society is not a practice and the release spells it '... Pediatrics Foundation'. The form is not stated, so §8's standing fallback. $0 either way.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient name rule: name states a clinical practice.,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,HEART,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient name rule: name states a clinical practice. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",228525,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,7,"Arkansas Doulas, LLC",850000,NONPROFIT_CBO,No,"Initiative: Recruitment, Innovation, Skills, and Education for Arkansas Healthcare (RISE). ROUND 2 of Arkansas's Year 1. Arkansas published $850,000.00 to this organisation across RISE AR and HEART; this row is its RISE AR figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,RISE AR,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",850000,"Recruitment, Innovation, Skills, and Education for Arkansas Healthcare (RISE)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,8,Arkansas Foodbank,1382100,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $1,382,100.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise.",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_PRELIMINARY;RECIPIENT_TYPE_INFERRED,HEART,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",1382100,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,,,,,,
AR,9,Arkansas Rural Health Partnership,1598008,NONPROFIT_CBO,No,"Initiative: Recruitment, Innovation, Skills, and Education for Arkansas Healthcare (RISE). ROUND 2 of Arkansas's Year 1. Arkansas published $2,048,665.00 to this organisation across RISE AR and HEART; this row is its RISE AR figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise. TYPE CARRIED FROM ROUND 1 (session 69): the award list spells this organisation character-for-character as round 1 did, and session 49 verified its form there (ORG_WEBSITE; IN).",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,MEDIUM,AMOUNT_PRELIMINARY,RISE AR,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"FLOW RESOLVED (session 69, AR_ARHP_CONSORTIUM_FLOW option (c)): NON_HOSPITAL. The Governor's description of this award's project(s) has ARHP as the subject that buys or delivers -- 'will establish the Arkansas Rural Healthcare Leadership Institute as a permanent statewide platform' -- and no source says funds are administered, re-granted or reimbursed to a hospital (§10.2's positive test). ARHP's own site gives its members as '19 rural hospitals, 4 FQHCs, over 120 member-owned and affiliated clinics, and three medical schools', hospitals among others. distributed_to_hospital = No; no hospital is named as where this project lands. PRIOR BASIS: RECIPIENT TYPE CARRIED FROM ROUND 1'S VERIFICATION (session 49 -> 69): NONPROFIT_CBO. Basis (ORG_WEBSITE, IN): Verified on website: https://arruralhealth.org/ §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",2048665,"Recruitment, Innovation, Skills, and Education for Arkansas Healthcare (RISE)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,ORG_WEBSITE,IN,Verified on website: https://arruralhealth.org/,,,
AR,10,Arkansas Rural Health Partnership,450657,NONPROFIT_CBO,No,"Initiative: Healthy Eating, Active Recreation, & Transformation (HEART). ROUND 2 of Arkansas's Year 1. Arkansas published $2,048,665.00 to this organisation across RISE AR and HEART; this row is its HEART figure alone. Published by DF&A in its Year 1 RISE AR / HEART award list (posted 2026-09-24), linked from arkansasrhtp.com under Arkansas's own words ""Download the List of Organization and Award amounts"". THE AMOUNT IS NOT FINAL AND ARKANSAS SAYS SO: ""Project specifics are based off recipient organizations' applications and the details of each grant will not be finalized until DFA signs an official agreement with each grantee."" THE LIST STATES NO ORGANISATIONAL FORM, so `recipient_type` is derived from the recipient's own name (§8) unless the row says otherwise. TYPE CARRIED FROM ROUND 1 (session 69): the award list spells this organisation character-for-character as round 1 did, and session 49 verified its form there (ORG_WEBSITE; IN).",Yes,No,2026,"Arkansas DF&A, RHTP Year 1 RISE AR and HEART Awards -- List of Organization and Award amounts",https://arkansasrhtp.com/wp-content/uploads/2026/09/ada_Year-1-Award-totals.pdf,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03ai_ar_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,MEDIUM,AMOUNT_PRELIMINARY,HEART,BP1 (12/29/2025 - 10/30/2026),IN_KIND_BENEFIT,Yes,NOT_HOSPITAL,,"FLOW RESOLVED (session 69, AR_ARHP_CONSORTIUM_FLOW option (c)): IN_KIND_BENEFIT. The Governor's description of this award's project(s) has ARHP as the subject that buys or delivers -- 'will open a Food Pharmacy at DeWitt Hospital and prepare implementation roadmaps for six additional rural hospitals'; 'will use Youth Mental Health First Aid to train trusted rural adults' -- and no source says funds are administered, re-granted or reimbursed to a hospital (§10.2's positive test). ARHP's own site gives its members as '19 rural hospitals, 4 FQHCs, over 120 member-owned and affiliated clinics, and three medical schools', hospitals among others. distributed_to_hospital = No; hospital_benefiting = Yes, because goods or services land in hospitals. PRIOR BASIS: RECIPIENT TYPE CARRIED FROM ROUND 1'S VERIFICATION (session 49 -> 69): NONPROFIT_CBO. Basis (ORG_WEBSITE, IN): Verified on website: https://arruralhealth.org/ §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","The figure DF&A publishes for this organisation under this initiative, read with session 32's run model (the three amount columns weld under the line model). The 38 rows reconcile to the list's own `Total:` row on all three columns to the cent, and the Governor's 54 priced projects reconcile to the same figures once Conway Regional's mis-printed '$203, 520.00' is read as $203,520.00.",2048665,"Healthy Eating, Active Recreation, & Transformation (HEART)",2026-09-24,data/evidence/recheck/2026-09-25/AR/2026-09-24_ar_dfa_year1_rise_heart_award_list.pdf,ORG_WEBSITE,IN,Verified on website: https://arruralhealth.org/,,,
