state,state_name,fy2026_allotment,fy2026_allotment_published,source_url,source_fetched
AK,Alaska,272174856,"$272,174,856",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
AL,Alabama,203404327,"$203,404,327",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
AR,Arkansas,208779396,"$208,779,396",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
AZ,Arizona,166988956,"$166,988,956",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
CA,California,233639308,"$233,639,308",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
CO,Colorado,200105604,"$200,105,604",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
CT,Connecticut,154249106,"$154,249,106",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
DE,Delaware,157394964,"$157,394,964",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
FL,Florida,209938195,"$209,938,195",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
GA,Georgia,218862170,"$218,862,170",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
HI,Hawaii,188892440,"$188,892,440",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
IA,Iowa,209040064,"$209,040,064",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
ID,Idaho,185974368,"$185,974,368",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
IL,Illinois,193418216,"$193,418,216",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
IN,Indiana,206927897,"$206,927,897",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
KS,Kansas,221898008,"$221,898,008",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
KY,Kentucky,212905591,"$212,905,591",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
LA,Louisiana,208374448,"$208,374,448",https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,2026-08-27
