state,state_name,noa_date,noa_date_basis,statute_date,statute_citation,source_url,source_archive_path,source_sha256,notes
AL,Alabama,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
AK,Alaska,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
AZ,Arizona,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
AR,Arkansas,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
CA,California,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
CO,Colorado,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
CT,Connecticut,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
DE,Delaware,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
FL,Florida,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
GA,Georgia,2025-12-29,"schema.org datePublished on the CMS release announcing awards to all 50 states, parsed from the committed stage 00 archive. One announcement, fifty states. Corroborated by HHSC, which states CMS issued Texas its RHTP Notice of Award on 2025-12-29.",2025-07-04,Public Law 119-21,https://www.cms.gov/newsroom/press-releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states,data/raw/cms/2026-08-28/newsroom/releases/cms-announces-50-billion-awards-strengthen-rural-health-all-50-states.html,894d697cfd660a3003dd1abc6127990e03e3e5da8b2f3a1bb5c93d4f1f599729,"statute_date is the floor beneath noa_date: Public Law 119-21 created RHTP, so nothing dated before it can be RHTP in any state. The operative §6.2 test is noa_date, which is later and therefore strictly stronger."
