file,row,awardee,recipient_type,grade,ccn,cms_org,verdict
ga_great_health_awards.csv,126,Emory University,HOSPITAL_OR_SYSTEM,LEGAL,110010,EMORY UNIVERSITY,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,2,AltaPointe Health Systems Inc.,HOSPITAL_OR_SYSTEM,LEGAL,014014,ALTAPOINTE HEALTH SYSTEMS INC,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,26,University of South Alabama,HOSPITAL_OR_SYSTEM,LEGAL,013301,UNIVERSITY OF SOUTH ALABAMA,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,108,The University of Alabama at Birmingham,HOSPITAL_OR_SYSTEM,LEGAL,010033,UNIVERSITY OF ALABAMA AT BIRMINGHAM,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,109,The University of Alabama at Birmingham,HOSPITAL_OR_SYSTEM,LEGAL,010033,UNIVERSITY OF ALABAMA AT BIRMINGHAM,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,111,The University of South Alabama,HOSPITAL_OR_SYSTEM,LEGAL,013301,UNIVERSITY OF SOUTH ALABAMA,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,112,AltaPointe Health Systems,HOSPITAL_OR_SYSTEM,LEGAL,014014,ALTAPOINTE HEALTH SYSTEMS INC,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,124,The University of Alabama at Birmingham,HOSPITAL_OR_SYSTEM,LEGAL,010033,UNIVERSITY OF ALABAMA AT BIRMINGHAM,APPLIED: EXACT_LEGAL_NAME
al_year1_awardees.csv,126,AltaPointe Health Systems,HOSPITAL_OR_SYSTEM,LEGAL,014014,ALTAPOINTE HEALTH SYSTEMS INC,APPLIED: EXACT_LEGAL_NAME
ak_year1_awardees.csv,35,Bristol Bay Area Health Corporation,TRIBAL_ORG,LEGAL,021309,BRISTOL BAY AREA HEALTH CORPORATION,"HELD: Alaska's own Organization Type on this project states 'Tribe and/or Tribal Health Organization'; two other BBAHC projects are typed HOSPITAL_OR_SYSTEM on Alaska's 'Hospital' token. Session 12 kept Alaska's per-project value and harmonised in neither direction (RECIPIENT_TYPE_VARIES_IN_SOURCE). CMS: CCN 021309, Kanakanak Hospital (CAH)."
ak_year1_awardees.csv,99,Alaska Native Tribal Health Consortium,TRIBAL_ORG,LEGAL,020026,ALASKA NATIVE TRIBAL HEALTH CONSORTIUM,"HELD: Alaska's own Organization Type on this project states 'Tribal Health Organization'; three other ANTHC projects are HOSPITAL_OR_SYSTEM on Alaska's 'Hospital (all types)'. Session 12's per-project rule. CMS: CCN 020026, Alaska Native Medical Center."
