state,component,usd,basis,source,note
FL,GAP: FY2026 award minus the 81 published awards,21736938.39,ARITHMETIC,data/evidence/recheck/2026-09-23/FL/fl_ahca_revised_budget_narrative_2026-02-10.pdf,"Year 1 budget $209,938,194.50 (the narrative's own total, = CMS's award to the dollar) minus $188,201,256.11."
FL,State PMO direct (A Personnel + B Fringe + C Travel + E Supplies),1974557.5,PLAN,data/evidence/recheck/2026-09-23/FL/fl_ahca_revised_budget_narrative_2026-02-10.pdf,AHCA's own staff costs; never a subaward.
FL,"State indirect (J, per NICRA)",501930,PLAN,data/evidence/recheck/2026-09-23/FL/fl_ahca_revised_budget_narrative_2026-02-10.pdf,
FL,"Admin contracts (F.16 Admin-A + Admin-B), AS ATTESTED",18517332,PLAN,data/evidence/recheck/2026-09-23/FL/fl_ahca_revised_budget_narrative_2026-02-10.pdf,"The line items are Admin-A $13,350,931 (State PMO contracts incl. a Grant Management System) + Admin-B $5,668,331 (3% to each super-region's awardees) = $19,019,262, which is $501,930 MORE than the attestation -- exactly the indirect line. The narrative is internally inconsistent by that amount; the attested figure is the one that closes to its own $209,938,194.50 total. The release's 'procurements earlier this year to ... monitor program outcomes, track expenditures and deliverables, and provide support to subawardees' is the award-side statement of Admin-A; it publishes no recipient or amount."
FL,UNEXPLAINED REMAINDER,743118.89,UNEXPLAINED,data/evidence/recheck/2026-09-23/FL/fl_ahca_revised_budget_narrative_2026-02-10.pdf,"= the plan's 15 initiatives ($188,944,375) minus the published awards. No source says whether this is unawarded, rescaled, or sits inside Admin-B (the narrative says Admin-B is paid 'upon award' to each applicant, and the published awards may or may not include it). Reported, not closed."
GA,GAP: FY2026 award minus the 12 published award pools,21713842.63,ARITHMETIC,data/evidence/recheck/2026-09-23/GA/ga_cms_noa_revision_budget_2026-02-10.pdf,"CMS NOA total $218,862,169.63 minus $197,148,327 (distinct phase x initiative pools)."
GA,State personnel (a Salaries + b Fringe),2456318,NOA_APPROVED_BUDGET,data/evidence/recheck/2026-09-23/GA/ga_cms_noa_revision_budget_2026-02-10.pdf,DCH/SORH/GBHCW staff; the application's governance page names 14 DCH hires plus SORH and GBHCW positions.
GA,State supplies (e),102940,NOA_APPROVED_BUDGET,data/evidence/recheck/2026-09-23/GA/ga_cms_noa_revision_budget_2026-02-10.pdf,
GA,State travel (f),46215.8,NOA_APPROVED_BUDGET,data/evidence/recheck/2026-09-23/GA/ga_cms_noa_revision_budget_2026-02-10.pdf,
GA,Indirect (k),0,NOA_APPROVED_BUDGET,data/evidence/recheck/2026-09-23/GA/ga_cms_noa_revision_budget_2026-02-10.pdf,Georgia claims no indirect cost.
GA,UNEXPLAINED REMAINDER: contractual budget in no published pool,19108368.83,UNEXPLAINED,data/evidence/recheck/2026-09-23/GA/ga_cms_noa_revision_budget_2026-02-10.pdf,"Contractual $216,256,695.83 minus the $197,148,327 of published pools. DCH says 'less than 10% of Year 1's funding is dedicated to administrative costs' (Phase 4 release) and names RSM as its 'grants management vendor' (funding page), and the application's Initiative 5 page puts one assessment 'through administrative contract' -- but no source publishes an amount or a recipient list for any of it. Consistent with administration; its composition is not sourced."
