state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason
FL,1,CommunityHealth IT,18512061.76,VENDOR_OR_CONTRACTOR,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,VENDOR_OR_CONTRACTOR,,
FL,2,Complete Care Management Services ACO,3870214.9,NONPROFIT_CBO,No,ACO,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,NONPROFIT_CBO,,
FL,3,Mayo Clinic Jacksonville,3655556.55,HOSPITAL_OR_SYSTEM,Yes,URBAN hospital serving rural areas,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,4,Medlink Management Services (Lake Butler Hospital),5670158.72,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,5,St. Vincent's Medical Center (Riverside),4393360.65,HOSPITAL_OR_SYSTEM,Yes,URBAN hospital serving rural areas,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,6,North Florida Pediatrics Associates (Lake City),3801047.26,PHYSICIAN_PRACTICE,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,PHYSICIAN_PRACTICE,,
FL,7,Medlink Management Services (Lake Butler Hospital),1319326.2,HOSPITAL_OR_SYSTEM,Yes,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,HOSPITAL_OR_SYSTEM,,
FL,8,North Florida Pediatrics Associates,2198877,PHYSICIAN_PRACTICE,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,PHYSICIAN_PRACTICE,,
FL,9,Nuvita Health,439775.4,NONPROFIT_CBO,Unclear,Entity type not determinable from name,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,UNCLASSIFIED,LOW,RECIPIENT_TYPE_INFERRED
FL,10,Trenton Medical Center (Palms Medical Group),439775.4,FQHC_OR_RHC,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,FQHC_OR_RHC,,
FL,11,Murthy Holdings (Well&You),2600000,VENDOR_OR_CONTRACTOR,No,,Yes,Yes,FY2026 (Year 1),Florida Rural Health Transformation Program | Year 1 Awardees,https://flgov.com/eog/sites/default/files/shared/2026/08/RHTP%20-%20PDF.pdf,AGENCY_PRESS_RELEASE,MANUAL,AI-assisted - CONFIRM,,,,,VENDOR_OR_CONTRACTOR,,
