state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,county,provider_type,round_name,notice_date,source_archive_path,row_in_pool
IA,1,Adair County Memorial Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Provider type: MD/DO. County: Adair. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_MISSING,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Adair,MD/DO,Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,1
IA,2,Avera Holy Family Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Provider type: Family Practice Physician (MD/DO). County: Emmet. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_MISSING,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Emmet,Family Practice Physician (MD/DO),Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,2
IA,3,Avera Merrill Pioneer Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Provider type: Family Practice Physician (MD/DO). County: Lyon. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_MISSING,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Lyon,Family Practice Physician (MD/DO),Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,3
IA,4,Boone County Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Provider type: Physician Assistant (PA). County: Boone. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_MISSING,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Boone,Physician Assistant (PA),Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,4
IA,5,Boone County Hospital,,HOSPITAL_OR_SYSTEM,Yes,"Provider type: Primary Care Physician. County: Boone. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_MISSING,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Boone,Primary Care Physician,Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,5
IA,6,Cass County Memorial Hospital DBA Cass Health,,HOSPITAL_OR_SYSTEM,Yes,"Provider type: Physician (MD or DO) or an Advanced Registered Nurse Practitioner (ARNP). County: Cass. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient name rule: name states a hospital.,MEDIUM,AMOUNT_MISSING,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),DIRECT,Yes,NAMED_HOSPITAL,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,"Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Cass,Physician (MD or DO) or an Advanced Registered Nurse Practitioner (ARNP),Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,6
IA,7,CHI Health Mercy Corning,,NONPROFIT_CBO,No,"Provider type: Internal Medicine Physician (MD/DO). County: Adams. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_MISSING;RECIPIENT_TYPE_INFERRED,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Adams,Internal Medicine Physician (MD/DO),Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,7
IA,8,CHI Health Mercy Corning,,NONPROFIT_CBO,No,"Provider type: RN. County: Adams. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_MISSING;RECIPIENT_TYPE_INFERRED,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Adams,RN,Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,8
IA,9,CHI Health Mercy Corning,,NONPROFIT_CBO,No,"Provider type: Registered Nurse (RN). County: Taylor. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_MISSING;RECIPIENT_TYPE_INFERRED,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Taylor,Registered Nurse (RN),Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,9
IA,10,CHI Health Missouri Valley,,NONPROFIT_CBO,No,"Provider type: Behavioral Health Nurse Practitioner (NP). County: Harrison. Published by Iowa HHS as a Notice of Intent to Award, linked from the ""Where to Find Funding Awardees"" section of its Healthy Hometowns page. THE NOTICE PUBLISHES NO AMOUNT FOR ANY RECIPIENT: the only dollar figure it carries is in its CMS financial-assistance footer, whose tier changes between Iowa's February and June notices (§0.2), so no figure is attributed to this row and none is divided (§6.2). It is an INTENT, in the notice's own words: ""this Notice does NOT constitute the formation of a contract ... The bidder shall not acquire any legal or equitable rights relative to the contract services until a contract is executed.""",Yes,No,2026,"Iowa HHS Notice of Intent to Award, RFP #PHTHORC26010 Best and Brightest - Rural Healthcare Workforce Recruitment",https://hhs.iowa.gov/media/18094/download?inline,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03z_ia_year1_awardees.R,,,,,Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,AMOUNT_MISSING;RECIPIENT_TYPE_INFERRED,PHTHORC26010,BP1 (12/29/2025 - 10/30/2026),NON_HOSPITAL,No,NOT_HOSPITAL,,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","Iowa publishes NO per-recipient amount. The notice's only dollar figure is its CMS footer, and that footer carries the RFP's pool in Iowa's Jan/Feb notices and the STATE ALLOTMENT in its June ones, so it is recorded per document in ia_notice_footers.csv and never attached to a recipient (§0.2, §6.2).",Harrison,Behavioral Health Nurse Practitioner (NP),Best and Brightest - Rural Healthcare Workforce Recruitment,2026-01-30,data/evidence/IA/2026-01-30_ia_noia_phthorc26010_best_and_brightest_rural_healthcare_workforc.pdf,10
