state,channel,stage,publishes_roster,region_figure_as_published,region_figure_dollars,recipient_rows,distinct_names,named_hospital_rows,note
IN,GROW Regional Grants -- Region 1 (release title: 'Northwest Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$12.6 million,12600000,26,26,9,"IDOH release of 2026-09-03 (idoh_region_1_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2)."
IN,GROW Regional Grants -- Region 2 (release title: 'Northeast Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$20.7 million,20700000,29,29,6,"IDOH release of 2026-09-03 (idoh_region_2_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2)."
IN,GROW Regional Grants -- Region 3 (release title: 'West-Central Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$9.7 million,9700000,23,23,3,"IDOH release of 2026-09-03 (idoh_region_3_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2). OBSERVATION: the release reads 'Gov. Mike Braum'; kept as published. OBSERVATION: Regions 3 and 5 are BOTH titled 'West-Central'."
IN,GROW Regional Grants -- Region 4 (release title: 'East-Central Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$15.2 million,15200000,24,24,4,"IDOH release of 2026-09-03 (idoh_region_4_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2)."
IN,GROW Regional Grants -- Region 5 (release title: 'West-Central Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$16.7 million,16700000,16,16,8,"IDOH release of 2026-09-03 (idoh_region_5_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2). OBSERVATION: Regions 3 and 5 are BOTH titled 'West-Central'."
IN,GROW Regional Grants -- Region 6 (release title: 'Southeast Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$13 million,13000000,32,32,6,"IDOH release of 2026-09-03 (idoh_region_6_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2)."
IN,GROW Regional Grants -- Region 7 (release title: 'South-Central Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$13.1 million,13100000,22,22,5,"IDOH release of 2026-09-03 (idoh_region_7_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2)."
IN,GROW Regional Grants -- Region 8 (release title: 'Southwest Indiana Region'),AWARDED_ROSTER_PUBLISHED,"Yes -- names only, no per-organisation amount",$11.4 million,11400000,14,14,3,"IDOH release of 2026-09-03 (idoh_region_8_press_release.pdf). Figure rounded in source. Its CMS footer prints $206,927,896.80, the ALLOTMENT (Tier 1, §0.2)."
IN,Surplus Award Summary -- Regional Surplus,AWARDED_NO_RECIPIENT_NAMED,No,"$8,724,000",8724000,,,,Awarded after the initial regional round and attached to no recipient on the page. Never in round_amount.
IN,Surplus Award Summary -- Statewide Surplus,AWARDED_NO_RECIPIENT_NAMED,No,"$7,525,593.22",7525593.22,,,,"Statewide projects; no recipient named. With the regional surplus it is the page's 'Total Surplus Funds Awarded: $16,249,593.22'."
