state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,amount_basis,round_amount,initiative,activity_type_raw,determination_basis,recipient_type_rule,source_archive_path,basis_type,verified_by,verified_basis
MI,1,Access Health,600000,NONPROFIT_CBO,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Data Integration and Infrastructure Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,LOW,,Rural Data Integration and Infrastructure Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Data Integration and Infrastructure Fund,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Muskegon-based nonprofit community health access / coverage program. [Org type from general knowledge; URL is the award source.] flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,GENERAL_KNOWLEDGE,"Claude, run by IN",Muskegon-based nonprofit community health access / coverage program. [Org type from general knowledge; URL is the award source.]
MI,2,Bay-Saginaw County Partnership,300000,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Data Integration and Infrastructure Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,LOW,,Rural Data Integration and Infrastructure Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Data Integration and Infrastructure Fund,"RECIPIENT TYPE VERIFIED (session 49): LOCAL_GOVT_OR_PUBLIC_HEALTH. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Could not identify an organization by this name. Likely a Bay/Saginaw county collaborative (both counties run SDOH hub pilots through their health department and United Way), but the lead entity is not confirmed. https://www.michigan.gov/mdhhs/inside-mdhhs/legislationpolicy/2022-2024-social-determinants-of-health-strategy/michigan-hubs/sdoh-hub-pilots---c3 flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,GENERAL_KNOWLEDGE,"Claude, run by IN","Could not identify an organization by this name. Likely a Bay/Saginaw county collaborative (both counties run SDOH hub pilots through their health department and United Way), but the lead entity is not confirmed. https://www.michigan.gov/mdhhs/inside-mdhhs/legislationpolicy/2022-2024-social-determinants-of-health-strategy/michigan-hubs/sdoh-hub-pilots---c3"
MI,3,Center for Health & Research Transformation (CHRT),600000,NONPROFIT_CBO,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Data Integration and Infrastructure Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,LOW,,Rural Data Integration and Infrastructure Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Data Integration and Infrastructure Fund,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Ann Arbor nonprofit health policy and research center (CHRT). [Org type from general knowledge; URL is the award source.] flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,GENERAL_KNOWLEDGE,"Claude, run by IN",Ann Arbor nonprofit health policy and research center (CHRT). [Org type from general knowledge; URL is the award source.]
MI,4,Central Michigan Health Department,300000,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Data Integration and Infrastructure Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,LOCAL_GOVT_OR_PUBLIC_HEALTH,HIGH,,Rural Data Integration and Infrastructure Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Data Integration and Infrastructure Fund,"Recipient name rule: a health department, or a body named Public Health <place>: a local public health body. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,,,
MI,5,Community Mental Health Association of Michigan,1000000,NONPROFIT_CBO,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Data Integration and Infrastructure Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,MEDIUM,,Rural Data Integration and Infrastructure Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Data Integration and Infrastructure Fund,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (ORG_WEBSITE, MPB): Verified on website: https://cmham.org/ flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,ORG_WEBSITE,MPB,Verified on website: https://cmham.org/
MI,6,District Health Department #10,1663636,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Access and Connectivity Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,LOCAL_GOVT_OR_PUBLIC_HEALTH,HIGH,,Rural Access and Connectivity Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Access and Connectivity Fund,"Recipient name rule: a health department, or a body named Public Health <place>: a local public health body. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,,,
MI,7,Michigan 2-1-1,1500000,NONPROFIT_CBO,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Access and Connectivity Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,LOW,,Rural Access and Connectivity Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Access and Connectivity Fund,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, IN): 501(c)(3), EIN 05-0609172, operating under the Michigan Association of United Ways. It coordinates and funds the statewide 2-1-1 health and human services referral network through seven regional contact centers. flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,GENERAL_KNOWLEDGE,IN,"501(c)(3), EIN 05-0609172, operating under the Michigan Association of United Ways. It coordinates and funds the statewide 2-1-1 health and human services referral network through seven regional contact centers."
MI,8,Michigan Association of Local Public Health (MALPH),250000,NONPROFIT_CBO,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Access and Connectivity Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,LOW,,Rural Access and Connectivity Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Access and Connectivity Fund,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Michigan Association for Local Public Health, the membership association of the state's local health departments. An association, not itself a health department. [Org type from general knowledge; URL is the award source.] flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,GENERAL_KNOWLEDGE,"Claude, run by IN","Michigan Association for Local Public Health, the membership association of the state's local health departments. An association, not itself a health department. [Org type from general knowledge; URL is the award source.]"
MI,9,Michigan Center for Rural Health (MCRH),3000000,NONPROFIT_CBO,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Data Integration and Infrastructure Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,LOW,,Rural Data Integration and Infrastructure Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Data Integration and Infrastructure Fund,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, IN): Non-profit state office of rural health, located at MSU but not an university entity flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,GENERAL_KNOWLEDGE,IN,"Non-profit state office of rural health, located at MSU but not an university entity"
MI,10,Michigan Center for Rural Health (MCRH),400000,NONPROFIT_CBO,No,"MDHHS RHTP subrecipient, Interoperability in Action Initiative -- Rural Interoperability and Governance Fund. On the roster as of 2026-07-10 and 2026-08-31; MDHHS states the amount is contingent on CMS approval.",Yes,No,FY2026,RHTP Subrecipients -- Michigan Department of Health and Human Services,https://www.michigan.gov/mdhhs/assistance-programs/medicaid/rural-health-transformation-program/rhtp-subrecipients,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,NONPROFIT_CBO,LOW,,Rural Interoperability and Governance Fund,BP1,NON_HOSPITAL,,NOT_HOSPITAL,,STATED_PER_RECIPIENT,,Interoperability in Action Initiative,Rural Interoperability and Governance Fund,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, IN): Non-profit state office of rural health, located at MSU but not an university entity flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/MI/2026-09-24_mi_rhtp_subrecipients.html,GENERAL_KNOWLEDGE,IN,"Non-profit state office of rural health, located at MSU but not an university entity"
