state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,award_pool,award_date,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_confidence,determination_basis,classification_rule,flag_reason,amount_basis,source_archive_path
MO,1,Missouri Doula Association,732660.43,NONPROFIT_CBO,No,"Missouri RHTP MATERNAL_WORKFORCE partnership. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 IN_KIND_BENEFIT: the recipient is not a hospital and keeps the funds, and the source names hospitals among the parties the funded work serves. These dollars must never enter a 'funds distributed to hospitals' total; they are kept visible rather than discarded.",Yes,Yes,FY2026,Rural Health Transformation Program Announces Partnership to Expand Rural Maternal Healthcare,https://dss.mo.gov/mhd/rural-health,AGENCY_PRESS_RELEASE,DIRECT_TEXT,AUTO,,,,,MATERNAL_WORKFORCE,2026-07-20,IN_KIND_BENEFIT,Yes,NOT_HOSPITAL,Missouri Doula Association,LOW,"Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 IN_KIND_BENEFIT: the recipient is not a hospital and keeps the funds, and the source names hospitals among the parties the funded work serves. These dollars must never enter a 'funds distributed to hospitals' total; they are kept visible rather than discarded.",FALLBACK,,,data/evidence/MO/2026-07-20_dss_maternal_partnership_release.html
MO,2,Missouri Emergency Medical Services Association,6500000,EMS_OR_PSAP,No,"Missouri RHTP MIH_CP partnership. Recipient name rule: name states an EMS entity. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",Yes,No,FY2026,Bringing Healthcare Home: State Initiative Aims to Significantly Expand Mobile Medical Services in Rural Missouri,https://dss.mo.gov/mhd/rural-health,AGENCY_PRESS_RELEASE,DIRECT_TEXT,AUTO,,,,,MIH_CP,2026-07-24,NON_HOSPITAL,No,NOT_HOSPITAL,Missouri Emergency Medical Services Association,HIGH,"Recipient name rule: name states an EMS entity. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,AMOUNT_ROUNDED_IN_SOURCE;AMOUNT_IS_MULTI_YEAR_TOTAL,"approximate; runs through 2027-07-31, past Budget Period 1",data/evidence/MO/2026-07-24_dss_mih_cp_release.html
MO,3,Citizens Memorial Hospital,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,HIGH,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, CITIZENS MEMORIAL HOSPITAL DISTRICT, Bolivar, CCN 260195. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
MO,4,Golden Valley Memorial Hospital,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,HIGH,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, GOLDEN VALLEY MEMORIAL HOSPITAL DISTRICT, Clinton, CCN 260175. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
MO,5,John Fitzgibbon Memorial Hospital,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,HIGH,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, JOHN FITZGIBBON MEMORIAL HOSPITAL INC, Marshall, CCN 260142. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
MO,6,Lake Regional Health System,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,MEDIUM,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, LAKE REGIONAL HEALTH SYSTEM, Osage Beach, CCN 260186. Classifier said HOSPITAL_OR_SYSTEM/MEDIUM.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
MO,7,Northeast Regional Medical Center,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,HIGH,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, KIRKSVILLE MISSOURI HOSPITAL COMPANY LLC dba NORTHEAST REGIONAL MEDICAL CENTER, Kirksville, CCN 260022. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
MO,8,Poplar Bluff Regional Medical Center,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,HIGH,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, POPLAR BLUFF REGIONAL MEDICAL CENTER LLC, Poplar Bluff, CCN 260119. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
MO,9,Scotland County Hospital,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,HIGH,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, SCOTLAND COUNTY MEMORIAL HOSPITAL dba SCOTLAND COUNTY HOSPITAL, Memphis, CCN 261310. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
MO,10,Texas County Memorial Hospital,,HOSPITAL_OR_SYSTEM,Yes,"RHTP Strategic Minor Renovations Program award (DSS, page Last-Modified 2026-09-22): minor facility improvements, equipment upgrades and infrastructure at a rural hospital. One of 20 awards making up 'approximately $35 million'; DSS publishes NO per-recipient amount.",Yes,No,FY2026,RHTP Strategic Minor Renovations Program,https://dss.mo.gov/rhtp-strategic-minor-renovations-program,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,STRATEGIC_MINOR_RENOVATIONS,2026-09-22,DIRECT,Yes,NAMED_HOSPITAL,,HIGH,"§10.2 DIRECT: DSS names this hospital among the 20 SMRP awardees ('has awarded ... A full list of awardees is below') and the programme 'helps rural hospitals'. Form: CMS Hospital Enrollment, TEXAS COUNTY MEMORIAL HOSPITAL, Houston, CCN 260024. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",FEDERAL_RECORD_CMS_HOSPITAL_ENROLLMENT,AMOUNT_MISSING,"NOT PUBLISHED. DSS gives only the programme total, 'approximately $35 million' for 20 projects; $1.75M each is nobody's figure (§6.2). A congressman's $1.7M for Salem Memorial, quoted on CMS's page, is NOT a state figure and is not used.",data/evidence/MO/2026-09-23_dss_smrp_awardees.html
