state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,nhvn_member_of,city,determination_basis,classification_rule,source_archive_path,basis_type,verified_by,verified_basis
NE,1,United Way of Western Nebraska,199999.99,NONPROFIT_CBO,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): United Way chapter; Initiative 3.3 workforce award. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,GENERAL_KNOWLEDGE,"Claude, run by IN",United Way chapter; Initiative 3.3 workforce award. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf
NE,2,Waterfield Health LLC,200000,PHYSICIAN_PRACTICE,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,MEDIUM,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"RECIPIENT TYPE VERIFIED (session 49): PHYSICIAN_PRACTICE. Basis (ORG_WEBSITE, Claude, run by IN): Waterfield Health LLC, a Kearney APRN-owned clinical practice (psychiatric care, chronic pain, memory care). Clinician-owned practice; APRN rather than physician. https://www.tebra.com/care/practice/waterfield-health-llc-446914 flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,ORG_WEBSITE,"Claude, run by IN","Waterfield Health LLC, a Kearney APRN-owned clinical practice (psychiatric care, chronic pain, memory care). Clinician-owned practice; APRN rather than physician. https://www.tebra.com/care/practice/waterfield-health-llc-446914"
NE,3,York County Health Coalition,172635.16,NONPROFIT_CBO,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): County health coalition (York County); Initiative 3.3 workforce award. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,GENERAL_KNOWLEDGE,"Claude, run by IN",County health coalition (York County); Initiative 3.3 workforce award. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf
NE,4,Lutheran Family Services,200000,NONPROFIT_CBO,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"RECIPIENT TYPE VERIFIED (session 49): NONPROFIT_CBO. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Lutheran Family Services of Nebraska, nonprofit behavioral health and social services agency; Initiative 3.3 workforce award. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,GENERAL_KNOWLEDGE,"Claude, run by IN","Lutheran Family Services of Nebraska, nonprofit behavioral health and social services agency; Initiative 3.3 workforce award. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf"
NE,5,The Well,199999.42,OTHER,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"RECIPIENT TYPE VERIFIED (session 49): OTHER. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Certified Community Behavioral Health Center flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,GENERAL_KNOWLEDGE,"Claude, run by IN",Certified Community Behavioral Health Center
NE,6,Metro Community College,250000,UNIVERSITY_OR_AHC,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"Recipient name rule: name states a university or college. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,,,
NE,7,Mid-Plains Community College,129468.3,UNIVERSITY_OR_AHC,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"Recipient name rule: name states a university or college. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,,,
NE,8,Northeast Community College,256841.21,UNIVERSITY_OR_AHC,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"Recipient name rule: name states a university or college. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,,,
NE,9,Southeast Community College,243432.65,UNIVERSITY_OR_AHC,No,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,Yes,Yes,FY2026,RHTP Initiative 3.3 Awards -- Rural Health Care Workforce Incentive and Sustainability Model,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-3.3.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,Initiative 3.3 Rural Health Care Workforce Incentive and Sustainability Model,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"Recipient name rule: name states a university or college. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",PATTERN,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_3.3.pdf,,,
NE,10,ELVPHD - Elkhorn Logan Valley Public Health District,256696.55,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,Initiative 4.4a Chronic Disease Navigation and Education,Yes,Yes,FY2026,RHTP Initiative 4.4a Awards -- Chronic Disease Navigation and Education,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4a.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,,Initiative 4.4a Chronic Disease Navigation and Education,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"RECIPIENT TYPE VERIFIED (session 49): LOCAL_GOVT_OR_PUBLIC_HEALTH. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Elkhorn Logan Valley Public Health District, multi-county local health department. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4a.pdf flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_4.4a.pdf,GENERAL_KNOWLEDGE,"Claude, run by IN","Elkhorn Logan Valley Public Health District, multi-county local health department. https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4a.pdf"
NE,11,Saline Medical Specialties,279545.5,PHYSICIAN_PRACTICE,No,Initiative 4.4a Chronic Disease Navigation and Education,Yes,Yes,FY2026,RHTP Initiative 4.4a Awards -- Chronic Disease Navigation and Education,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4a.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,LOW,,Initiative 4.4a Chronic Disease Navigation and Education,BP1,NON_HOSPITAL,No,NOT_HOSPITAL,,,,"RECIPIENT TYPE VERIFIED (session 49): PHYSICIAN_PRACTICE. Basis (GENERAL_KNOWLEDGE, Claude, run by IN): Physician specialty clinic in Saline County (Crete area); ownership (independent vs. hospital-owned) not confirmed. [Org type from general knowledge; URL is the award source.] https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4a.pdf flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because the flow half of it may still hold and §2.1 says a correction shows what moved: Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10). §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.",FALLBACK,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_4.4a.pdf,GENERAL_KNOWLEDGE,"Claude, run by IN",Physician specialty clinic in Saline County (Crete area); ownership (independent vs. hospital-owned) not confirmed. [Org type from general knowledge; URL is the award source.] https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4a.pdf
NE,12,Beatrice Community Hospital (BFIM),303632.96,HOSPITAL_OR_SYSTEM,Yes,Initiative 4.4a Chronic Disease Navigation and Education,Yes,Yes,FY2026,RHTP Initiative 4.4a Awards -- Chronic Disease Navigation and Education,https://dhhs.ne.gov/Documents/RHTP-Public-Notice-of-Award-4.4a.pdf,NOTICE_OF_AWARD,DIRECT_TEXT,AUTO,,,,,DERIVED_FROM_NAME,HIGH,,Initiative 4.4a Chronic Disease Navigation and Education,BP1,DIRECT,Yes,NAMED_HOSPITAL,,,,Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.,PATTERN,data/evidence/NE/2026-08-31_ne_dhhs_public_notice_of_award_4.4a.pdf,,,
