state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,award_pool,site,activity_raw,recipient_type_source,determination_confidence,flag_reason,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,basis_type,round_amount,announcement_date,source_archive_path
NJ,1,Atlantic Ambulance Corporation,614190,EMS_OR_PSAP,No,"NJRHT first-round award, 2026-07-31. Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",,"Expand access to comprehensive healthcare by expanding Mobile Integrated Health services and pre-hospital whole blood administration to improve access to coordinated care, reduce treatment delays and avoidable emergency utilization, and improve patient outcomes for underserved communities.","TYPED (session 61, CLASSIFIER): The form is in the state's own string, and the shared classifier's name rule reads it. Classifier said EMS_OR_PSAP/HIGH.",HIGH,,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: The form is in the state's own string, and the shared classifier's name rule reads it.","Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",STATE_SOURCE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,2,AtlantiCare Regional Medical Center,2045763,HOSPITAL_OR_SYSTEM,Yes,"NJRHT first-round award, 2026-07-31. Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,310064,,,,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",,"Establish a Mobile Integrated Health program to expand access to follow-up and preventive healthcare, improve continuity of care, reduce preventable rehospitalizations, and decrease unnecessary EMS utilization. Expand the prehospital blood program to increase access to lifesaving blood products in rural communities, improving early treatment for patients experiencing acute hemorrhage, and enhancing survival outcomes.","TYPED (session 61, FEDERAL RECORD): EXACT federal record: CMS NJ Hospital Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCN 310064. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",MEDIUM,,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: EXACT federal record: CMS NJ Hospital Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCN 310064. §0.3a: the recipient is a hospital whatever the activity.","Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",ORG_WEBSITE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,3,Cooper Health System,1373265,HOSPITAL_OR_SYSTEM,Yes,"NJRHT first-round award, 2026-07-31. Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,310014,,,,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",,"Establish a sustainable Mobile Integrated Health program that expands access to preventive, coordinated, and patient-centered healthcare. Improve care continuity through follow-up services, chronic disease management, and connections to primary care, behavioral health, and community resources in order to reduce preventable hospitalizations, unnecessary EMS utilization, and healthcare disparities.","TYPED (session 61, FEDERAL RECORD): EXACT federal record: CMS NJ Hospital Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCN 310014. Classifier said HOSPITAL_OR_SYSTEM/MEDIUM.",MEDIUM,,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: EXACT federal record: CMS NJ Hospital Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCN 310014. §0.3a: the recipient is a hospital whatever the activity.","Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",ORG_WEBSITE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,4,Gloucester County,1053650,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"NJRHT first-round award, 2026-07-31. Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",,"Improve the efficiency and effectiveness of the emergency medical response system by integrating clinician-led triage into the 9-1-1 call process, ensuring patients are directed to the most appropriate level of care based on their clinical needs. Enhance patient outcomes by reducing unnecessary emergency department visits and EMS transports, improving resource allocation, decreasing response times for high-acuity emergencies, and connecting patients with alternative care options.","TYPED (session 61, HAND-READ): A New Jersey county government; the form is in the state's own string. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: A New Jersey county government; the form is in the state's own string.,"Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",STATE_SOURCE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,5,"Inspira Medical Centers, Inc.",2033362,HOSPITAL_OR_SYSTEM,Yes,"NJRHT first-round award, 2026-07-31. Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",,"Establish a sustainable Mobile Integrated Health program to expand access to preventive, coordinated, and patient-centered care in rural designated counties while implementing a safe, standardized prehospital whole blood administration program to improve trauma survival, strengthen emergency response capabilities, and enhance overall rural health outcomes.","TYPED (session 61, FEDERAL RECORD): EXACT federal record: CMS NJ Hospital Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCNs 310032/310032A/310069/310069A/31S032/31S032A/31S069A. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: EXACT federal record: CMS NJ Hospital Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCNs 310032/310032A/310069/310069A/31S032/31S032A/31S069A. §0.3a: the recipient is a hospital whatever the activity.","Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",ORG_WEBSITE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,6,Virtua Health Inc.,1126384,HOSPITAL_OR_SYSTEM,Yes,"NJRHT first-round award, 2026-07-31. Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",,"Improve rural health outcomes by expanding the Mobile Integrated Health program to expand access to coordinated, preventive, and patient-centered care for uninsured and underserved residents while reducing avoidable emergency care utilization and strengthening trauma response through expanded prehospital whole blood administration and enhanced field- based hemorrhage resuscitation.","TYPED (session 61, HAND-READ): HAND-READ BRIDGE: CMS NJ Hospital Enrollment carries no record under 'Virtua Health Inc.'; it enrols Virtua's hospitals under four subsidiaries, every one named VIRTUA ... (Willingboro 310061, Our Lady of Lourdes 310029, West Jersey Health System 310022, Memorial Hospital Burlington County 310057). The parent of an enrolled hospital system is §8's HOSPITAL_OR_SYSTEM; the tie is a reading, so LOW and subtractable. Classifier said NONPROFIT_CBO/LOW.",LOW,,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: HAND-READ BRIDGE: CMS NJ Hospital Enrollment carries no record under 'Virtua Health Inc.'; it enrols Virtua's hospitals under four subsidiaries, every one named VIRTUA ... (Willingboro 310061, Our Lady of Lourdes 310029, West Jersey Health System 310022, Memorial Hospital Burlington County 310057). The parent of an enrolled hospital system is §8's HOSPITAL_OR_SYSTEM; the tie is a reading, so LOW and subtractable. §0.3a: the recipient is a hospital whatever the activity.","Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",GENERAL_KNOWLEDGE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,7,Warren County,4180,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"NJRHT first-round award, 2026-07-31. Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Access to Care, EMS, and Dispatch Capability in Rural New Jersey",,"Establish and implement a comprehensive Quality Assurance/Quality Improvement (QA/QI) program that improves EMS dispatch performance, protocol compliance, workforce competency, and operational accountability through standardized call evaluation and continuous quality improvement.","TYPED (session 61, HAND-READ): A New Jersey county government; the form is in the state's own string. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: A New Jersey county government; the form is in the state's own string.,"Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",STATE_SOURCE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,8,"Acenda, Inc.",510112,NONPROFIT_CBO,No,"NJRHT first-round award, 2026-07-31. Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",,"Expand access to preventive services and improve care navigation for residents in rural Atlantic, Cape May, Cumberland, and Salem Counties through Rural Health Connect - South Jersey using a standardized, Community Health Worker and Care Partner-led model.","TYPED (session 61, FALLBACK): The source states no form (§8's standing fallback, RECIPIENT_TYPE_INFERRED); queued as NJ_RECIPIENT_FORM_NOT_STATED. Classifier said NONPROFIT_CBO/LOW.",LOW,RECIPIENT_TYPE_INFERRED,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: The source states no form (§8's standing fallback, RECIPIENT_TYPE_INFERRED); queued as NJ_RECIPIENT_FORM_NOT_STATED.","Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,9,Allamuchy-Green First Aid Squad,281939,EMS_OR_PSAP,No,"NJRHT first-round award, 2026-07-31. Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",,"Reduce barriers to emergency and preventive healthcare access by modernizing patient transport capabilities, preventing transport- related complications, and ensuring timely delivery of medical care in rural Warren County.","TYPED (session 61, HAND-READ): A volunteer first aid (EMS) squad; the form is in the state's own string. The classifier's EMS rule does not reach 'First Aid Squad'. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: A volunteer first aid (EMS) squad; the form is in the state's own string. The classifier's EMS rule does not reach 'First Aid Squad'.,"Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",STATE_SOURCE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
NJ,10,"AtlantiCare Health Services, Inc.",1800000,FQHC_OR_RHC,No,"NJRHT first-round award, 2026-07-31. Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey.",Yes,Yes,FY2026 (Year 1),"Rural Health Transformation Program Funding Allocations – July 31, 2026 (NJ DOH/DHS)",https://nj.gov/rural-health-transformation/documents/njrht-funding-allocations-2026.pdf,GOVERNOR_PRESS_RELEASE,DIRECT_TEXT,R/03bf_nj_year1_awardees.R,,,,,"Advancing Technology, Prevention, and Workforce Capacity in Rural New Jersey",,"Improve health outcomes in Atlantic and Cape May Counties by integrating a population health tool and dashboard to identify care gaps, support social determinants of health screening, and enable coordinated, closed-loop care and by implementing a patient portal that enables access to health information, supports communication across care teams, and facilitates timely follow-up and care coordination.","TYPED (session 61, FEDERAL RECORD): EXACT federal record: CMS NJ FQHC Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCNs 311008/311009/311012/311014/311015/311017/311872/311949. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: EXACT federal record: CMS NJ FQHC Enrollment carries this string as an ORGANIZATION NAME or DBA (normalised for case, punctuation, a leading THE and a trailing INC) at CCNs 311008/311009/311012/311014/311015/311017/311872/311949.","Award Amount column of the state's allocations PDF, exact to the dollar. The PDF prints no total; the 103 rows sum to $83,060,837 against the Governor's '$83 million' and '103 projects'.",ORG_WEBSITE,,2026-07-31,data/evidence/recheck/2026-09-24/NJ/njrht_funding_allocations_2026-07-31.pdf
