state,program_id,program_name,match_scope,match_regex,disposition,program_date,program_date_basis,disqualifying_fact,state_source_url,source_archive_path,verified_by,verified_date
TX,TX-HHS0015180,Texas Rural Hospital Debt Reduction Grant (HHSC RFA HHS0015180),source,HHS0015180,NOT_RHTP_STATE_APPROPRIATION,2025-03-24,"RFA released 2025-03-24 (closed 2025-04-24), per HHSC's Rural Hospital Financial Assistance page","HHSC: 'The 88th Texas Legislature appropriated $50 million to HHSC for the 2024-2025 biennium to establish grant programs for rural hospitals ... House Bill 1 ... Article II Rider 88 appropriated the grant funding.' STATE money, not RHTP. The dates close it independently: the RFA was released and closed in spring 2025, before OBBBA created RHTP and nine months before CMS issued Texas its RHTP Notice of Award on 2025-12-29. 21 RCJ Tier 3 candidates at $250,000 each.",https://www.hhs.texas.gov/providers/medicaid-business-resources/medicaid-supplemental-payment-directed-payment-programs/rural-hospital-finance/rural-hospital-financial-assistance,data/evidence/TX/2026-08-29_hhsc_rural_hospital_financial_assistance.html,session 19,2026-08-29
TX,TX-HHS0015677,Texas Rural Hospital Improvement Grant (HHSC RFA HHS0015677),source,HHS0015677,NOT_RHTP_STATE_APPROPRIATION,2025-03-11,"RFA released 2025-03-11 (closed 2025-04-09), per HHSC's Rural Hospital Financial Assistance page","The same appropriation and the same HHSC page as HHS0015180: 33 rural Texas hospitals at $350,000 each, funded by the 88th Texas Legislature's Rider 88 appropriation. RFA released 2025-03-11 and closed 2025-04-09, before RHTP existed. RCJ captured 32 of the 33 rows, which is a second, smaller §0.1 defect inside the first.",https://www.hhs.texas.gov/providers/medicaid-business-resources/medicaid-supplemental-payment-directed-payment-programs/rural-hospital-finance/rural-hospital-financial-assistance,data/evidence/TX/2026-08-29_hhsc_rural_hospital_financial_assistance.html,session 19,2026-08-29
TX,TX-ATLIS-MCO,Texas ATLIS incentive payments to Medicaid managed care organizations,source,ATLIS,NOT_RHTP_MEDICAID,,,"Medicaid managed care incentive payments to Molina, Superior Health Plan, UnitedHealthcare Community Plan, Community First and Wellpoint. Not RHTP, not an award action in any tier, and not to hospitals. 5 RCJ Tier 3 candidates.",,,session 19,2026-08-29
TX,TX-IGT,Texas suggested intergovernmental transfer (IGT) amounts,source,Intergovernmental Transfer|\bIGT\b,NOT_RHTP_MEDICAID,,,"Medicaid IGT figures for the third payment of state fiscal year 2025. Not an RHTP award action in any tier. 4 RCJ Tier 3 candidates. The SFY 2025 designation is NOT used as the date -- a fiscal year is a period, not a date (see rhtp_resolve_action_date, REFUSED_FISCAL_YEAR); the disposition stands on what the document is.",,,session 19,2026-08-29
IL,IL-MYOWNDOCTOR-MEDICAID,"Illinois HFS contract with MyOwnDoctor, LLC for Medicaid preventive care and education services",source,Myowndoctor|MyOwnDoctor,NOT_RHTP_MEDICAID,,,"A State of Illinois contract between the Department of Healthcare and Family Services and MyOwnDoctor, LLC for Illinois Medicaid Preventive Care and Education Organization Services, 2025-2026. Session 16 read it as 'a $1 2025 Medicaid contract that is not RHTP at all' -- and it is Illinois's ONLY RCJ Tier 3 candidate, which is why the survey ranked the state that awarded $50,008,264 near the bottom.",,,session 16,2026-08-29
NE,NE-RFA4533,Nebraska Homeless Assistance Program (NHAP) Legal Services (DHHS RFA 4533),source,NHAP|RFA 4533,NOT_RHTP_STATE_PROGRAM,2025-04-22,"RFA released 2025-04-22 and applications closed 2025-05-21, both printed in the RFA itself","Nebraska DHHS RFA 4533 says the department is ""awarding state funds to an eligible and qualified agency to provide legal services"" for the Nebraska Homeless Assistance Program, a HUD/ESG-linked homelessness programme ($15,000 over three years). STATE money, not RHTP. The dates close it independently: applications closed 2025-05-21, seven months before CMS issued Nebraska its RHTP Notice of Award on 2025-12-29. This is the programme behind RCJ's single Nebraska Lawyers Foundation Tier 3 candidate. THIS ROW MATCHES NO CANDIDATE TODAY AND THAT IS THE POINT OF IT. The sweep's provenance text is the source-document title plus the solicitation number, and RCJ's title for that row is the bare string ""Intent to Award"" with no programme identifier and no solicitation number at all -- so no source-scoped registry entry can reach it, and the date test cannot run either because RCJ carries no date for it (15 of Nebraska's 39 candidates are undatable). The automated sweep therefore caught ZERO Nebraska rows while a non-RHTP row was sitting in the candidate set; it was found by hand, by checking the name against the state's three notices of award. Nebraska's clean sweep line was a statement about the registry's coverage, not about Nebraska. The row is disposed of in ne_rcj_candidate_disposition.csv; this entry is kept so that the NEXT Nebraska candidate whose title does name NHAP or RFA 4533 is caught by machine rather than by luck.",https://dhhs.ne.gov/Grants%20and%20Contract%20Opportunity%20Docs/RFA%204533%20%20NHAP%20Legal%20Services%20RFA%20FINAL.pdf,data/evidence/NE/2025-04-22_ne_dhhs_rfa_4533_nhap_legal_services.pdf,session 23,2026-08-31
NV,NV-GME-ROUNDVIII,"Nevada Graduate Medical Education (GME) Grant Program, Round VIII (NVHA)",source,GME Grant Program|GME Grant Round|Grant Round VIII|Train the Next Generation of Physicians,NOT_RHTP_STATE_PROGRAM,2026-07-22,"announcement dated 2026-07-22, printed on the release itself","Nevada's Graduate Medical Education Grant Program is STATE GENERAL FUND money. NVHA's own April 2026 workforce publication prints GME, WRRAP and SHARP side by side under a column headed ""Funding"" and gives each one's source: GME is ""Source: State General Fund"" governed by NRS 223.631-639 and SB262 & SB494 (2025); WRRAP is ""Source: Centers for Medicare & Medicaid Services (CMS) Rural Health Transformation (RHT) Grant #RHTCMS332074-01-02""; SHARP is ""Source: SB5 one-time bill appropriation"". ONLY WRRAP IS RHTP. The 2026-07-22 release announcing Round VIII's $15,755,068.00 to nine residency and fellowship programmes calls them ""these new state investments"" and mentions neither CMS nor RHTP anywhere. SEVENTEEN of RCJ's 34 Nevada Tier 3 candidates are those nine awards, carried twice under two RHTP-titled documents. THE LESSON IS THAT THE CMS FINANCIAL-ASSISTANCE FOOTER IS NOT A PROVENANCE TEST ON ITS OWN: the workforce publication carries that footer on EVERY PAGE -- ""$179,931,608.42 with 100% funded by CMS/HHS"" -- because NVHA produced the publication with RHTP money, while two of the three programmes it describes are state-funded. Oklahoma's footer sat on a ROSTER and covered what was on it; Nevada's sits on a COMPARISON DOCUMENT and covers only the publishing. A check keyed on the footer passes all seventeen of these rows. What disqualifies them is the funding-source line, and the date test does not reach them either -- Round VIII is a 2026 award, well after the 2025-12-29 Notice of Award, so it is NOT PROVENANCE_PREDATES_NOA. This is Texas's Rider 88 in a state whose documents are otherwise impeccable. WHAT THIS ROW ACTUALLY CATCHES IS MEASURED, NOT ASSUMED: keyed on the GME release's own title it reaches 9 of the 17 rows, with ZERO false positives inside Nevada and none possible outside it (rhtp_match_state_program() filters the registry by state first). The other 8 are filed by RCJ under ""Nevada Home Working Together RHTP 2026 Award Announcement"" -- the workforce publication, which IS a genuine RHTP document -- so no source-title-keyed rule can honestly reach them and they are disposed of by hand in nv_rcj_candidate_disposition.csv. The regex is deliberately NOT the bare phrase ""Graduate Medical Education"": that matches three real GEORGIA rural hospital awards of $500,000 each whose Dual Track grant titles contain it, and -- more to the point inside Nevada -- it would match NVHA's own RHTP release, which funds ""a new statewide Rural Graduate Medical Education Consortium"" with WRRAP money.",https://www.nvha.nv.gov/siteassets/content/home/grant-round-viii-announcement.pdf,data/evidence/NV/2026-07-22_nv_press_release_gme_grant_round_viii.pdf,session 26,2026-08-31
MI,MI-SUD-PREVENTION-2026,Michigan MDHHS youth substance-use prevention grants (opioid settlement funded),source,prevent substance use among Michigan youth|opioid settlement,NOT_RHTP_STATE_PROGRAM,2026-06-24,"MDHHS newsroom release date, read out of the archived page rather than typed.","MDHHS's own sub-headline states the funding source: ""New opioid settlement-funded grants support 12 organizations"". The release awards nearly $3.75 million to 12 organizations for youth substance-use prevention and the words ""Rural Health Transformation"", ""RHTP"" and ""rural"" appear ZERO times in it. RCJ files eight of the twelve as Michigan RHTP Tier 3 candidates. THE FIRST ALTERNATIVE IS WHAT DOES THE WORK AND IT CATCHES ALL EIGHT: RCJ carries the release HEADLINE (""MDHHS awards nearly $3.75 million to help prevent substance use among Michigan youth"") as its source-document title, so the sweep reaches these rows on the headline even though the funding source is in the SUB-headline, which RCJ does not carry. The ""opioid settlement"" alternative matches nothing today and is registered anyway, on Nebraska's RFA 4533 precedent: an alternative that matches nothing now is what catches the next candidate whose title does name the funding stream.",https://www.michigan.gov/mdhhs/inside-mdhhs/newsroom/2026/06/24/prevention-grants,data/evidence/MI/2026-06-24_mi_mdhhs_prevention_grants.html,session-27,2026-09-01
CA,CA-SRHRP-SEISMIC,California Small and Rural Hospital Relief Program (SRHRP) seismic compliance grants (HCAI),source,Small and Rural Hospital Relief Program|SRHRP,NOT_RHTP_STATE_PROGRAM,2025-02-19,"HCAI's own SRHRP webinar slide deck is dated 2.19.2025 and is linked from the programme page, so the SRHRP was soliciting ten months BEFORE California's 2025-12-29 CMS Notice of Award. RCJ carries no date for any of the eleven candidates, so the date test cannot run on them; this is the programme's date, read off the state's own page.","HCAI states the SRHRP's own funding source and statute: ""Ten percent of the funds from the California Electronic Cigarette Excise Tax will be allocated to the Department of Health Care Access and Information (HCAI) to operate the SRHRP (HSC Section 130075)"", for ""funding seismic safety compliance projects"" required by ""The Alfred E. Alquist Hospital Facilities Seismic Safety Act (Health and Safety Code (HSC) Section 129675)"". The page mentions ""RHTP"" ZERO times, ""Rural Health Transformation"" ZERO times and ""federal"" ZERO times. ALL ELEVEN of RCJ's California Tier 3 candidates come from this one programme and every one is a named California hospital with a real amount -- Texas's defect with Maine's ratio.",https://hcai.ca.gov/facilities/health-facility-financing/srhrp/,data/evidence/CA/2026-09-02_ca_hcai_srhrp_BOTH_CONTROLS.html,session-34,2026-09-02
CA,CA-DISTRESSED-HOSPITAL-SMALL-GRANT,"California Distressed Hospital Small Grant Program (HCAI; Budget Act of 2025, AB 108)",source,Distressed Hospital Small Grant,NOT_RHTP_STATE_PROGRAM,,No programme date is printed on the archived page beyond the application criteria date (2026-04-15); the date test is not the disqualifier here and none is typed.,"HCAI: 'The Distressed Hospital Small Grant Program was established through the Budget Act of 2025 (Assembly Bill 108)', 'The legislation authorizes up to $25 million in one-time grant funding', and 'Any unencumbered funds pursuant to this grant program will revert to the General Fund on June 30, 2026.' CALIFORNIA STATE GENERAL FUND money, from the agency that also administers CalRHT. The page names four awardees (Southern Inyo Healthcare District $400,000; Palo Verde Hospital $3,000,000; Watsonville Community Hospital $10,600,000; El Centro Regional Medical Center $11,000,000; $25,000,000) and mentions RHTP / 'Rural Health Transformation' zero times. RCJ carries all four as California RHTP Tier 3 candidates. The date test cannot catch them: the awards follow the 2025-12-29 NOA.",https://hcai.ca.gov/facilities/health-facility-financing/distressed-hospital-loan-program/,data/evidence/recheck/2026-09-24/CA/2026-09-24_ca_hcai_distressed_hospital_funding_programs_STATE_GENERAL_FUND.html,session 64,2026-09-24
TX,TX-HHS0016568,Texas Nurse-Family Partnership (TNFP) grants (HHSC RFA HHS0016568),source,HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.","RFA s1.3: 'State funds for this Grant Project are authorized under the Texas General Appropriations Act, Article II', with federal funds under Assistance Listing 93.558, Temporary Assistance for Needy Families (TANF) -- not RHTP's 93.798. 'Rural Health Transformation' occurs zero times in the RFA. 14 grantees, five of them hospital districts or hospitals (Bexar, Dallas and El Paso County Hospital Districts, Doctors Hospital at Renaissance, Hillcrest Baptist). The RFA post-dates the NOA, so only this row catches it.",https://resources.hhs.texas.gov/rfa/hhs0016568,data/evidence/recheck/2026-09-24/TX/2026-09-24_rfa_hhs0016568_tnfp_rfa_STATE_GR_AND_TANF.pdf,session 64,2026-09-24
TX,TX-HHS0016121,Texas Workplace Violence Against Nurses Prevention Program grants (DSHS/HHSC RFA HHS0016121),source,HHS0016121,NOT_RHTP_STATE_APPROPRIATION,2025-09-24,"RFA 'Release Date : September 24, 2025', printed on HHSC's RFA page (archived); 'DEADLINE FOR SUBMISSION OF APPLICATIONS November 4, 2025' on the RFA cover.","RFA s1.3: 'State funds for this Grant Project are authorized under the Texas General Appropriations Act Article VIII, Rider 3, House Bill 1, 88th Legislature.' A state appropriation, released and closed before the 2025-12-29 NOA. Four grantees, all hospital districts or hospitals (Parkland, Midland Health, Shannon Medical Center, JPS Health Network; $667,000).",https://resources.hhs.texas.gov/rfa/hhs0016121,data/evidence/recheck/2026-09-24/TX/2026-09-24_rfa_hhs0016121_wvan_rfa_STATE_RIDER.pdf,session 64,2026-09-24
TX,TX-HHS0015358,Texas Healthy Outcomes through Prevention and Early Support (HOPES) grants (HHSC RFA HHS0015358),source,HHS0015358,NOT_RHTP_STATE_PROGRAM,2024-12-17,"RFA 'Release Date : December 17, 2024', printed on HHSC's RFA page (archived).","RFA s1.3: 'State funds for this Grant Project are authorized under the Texas General Appropriations Act, Article II', with federal Community-Based Child Abuse Prevention money, Assistance Listing 93.590. Family-support home visiting, released a year before the NOA. 'Rural Health Transformation' occurs zero times in the RFA.",https://resources.hhs.texas.gov/rfa/hhs0015358,data/evidence/recheck/2026-09-24/TX/2026-09-24_rfa_hhs0015358_hopes_rfa_STATE_GR_AND_CBCAP.pdf,session 64,2026-09-24
DE,DE-DSHA-DOWNTOWN-DEVELOPMENT,Delaware State Housing Authority Downtown Development Districts rebate reservations,source,Downtown Development District,NOT_RHTP_STATE_PROGRAM,2026-09-10,"news.delaware.gov release 'Date Posted: September 10, 2026' (archived).","DSHA's Downtown Development Districts rebate program: 'Since the inception of the DDD program in 2014 ... $47.4 million in state funds leveraging $693 million in private investment', and DSHA's director thanks 'the state appropriations'. Commercial and residential revitalisation rebates to real-estate investors, not health care. RHTP, 'Rural Health Transformation', 'federal' and 'CMS' occur zero times. RCJ files 7 reservations ($3,433,344) as Delaware RHTP Tier 3 candidates.",https://news.delaware.gov/,data/evidence/recheck/2026-09-24/DE/2026-09-10_de_dsha_downtown_development_districts_STATE_PROGRAM.html,session 64,2026-09-24
MI,MI-MDHHS-CVI-2026,"Michigan MDHHS community violence intervention (CVI) grants, 2026-09-21",source,community violence intervention,NOT_RHTP_STATE_PROGRAM,2026-09-21,"MDHHS newsroom release dated September 21, 2026 (archived).","MDHHS 'has awarded $1.5 million to five organizations through a competitive grant process' for firearm-violence intervention in Flint, Lansing, Saginaw, Benton Harbor and Detroit, $300,000 each, 2026-09-01 to 2028-09-30. THE RELEASE DOES NOT NAME ITS FUNDING SOURCE, so this row does not claim a state appropriation; it disqualifies on programme identity -- an MDHHS violence-prevention award to urban organisations whose release contains 'Rural Health Transformation', 'RHTP' and 'rural' zero times. RCJ files four of the five as Michigan RHTP Tier 3 candidates.",https://www.michigan.gov/mdhhs/inside-mdhhs/newsroom/2026/09/21/cvi-grants,data/evidence/recheck/2026-09-24/MI/2026-09-21_mi_mdhhs_cvi_grants.html,session 64,2026-09-24
GA,GA-SORH-DUAL-TRACK,Georgia DCH State Office of Rural Health Dual Track grants (Rural Hospital Support; Remote Critical Care Services),source,Dual Track,NOT_RHTP_STATE_PROGRAM,,"NOT TYPED. The series was first solicited 2023-11-15, but each round has its own date (FY26 RFGA 2026-01-21, RCCS26 RFGA 2026-05-12, both after the NOA); a series date is not an award-action date and would falsely mark the 2026 rounds as pre-NOA.","Every Dual Track RFGA reads 'Anticipated Award Amount: ... subject to the availability of appropriated funds' and 'Managing Division: State Office of Rural Health (SORH)'; the FY26 and RCCS26 RFGAs contain 'Rural Health Transformation', 'RHTP' and 'Centers for Medicare' zero times. A Georgia state grant series that predates the RHTP statute. The RCCS26 round (up to four awards of $225,000) is the '$900K to 4 rural hospitals' the spec's §0.2 table used as its Tier 3 example until session 64. None of the seven RCJ candidates' amounts is in ga_great_health_awards.csv.",https://dch.georgia.gov/grant-announcements,data/evidence/rcj_dispositions/2026-09-24/GA/dch_dual_track_rccs26_rfga_2026-05-12.pdf,session 64,2026-09-24
