state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,counties,award_pool,awardee_as_published,recipient_type_source,determination_confidence,flag_reason,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,round_amount,announcement_date,source_archive_path,basis_type,verified_by,verified_basis
NY,1,Adirondack Health,81235,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Franklin. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330079,NA,NA,NA,Franklin,Rural Community Health Integration (RCHI),Adirondack Health,machine: NONPROFIT_CBO/LOW,LOW,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: BRIDGE: Adirondack Health is the system whose hospital CMS enrols as ADIRONDACK MEDICAL CENTER, Saranac Lake -- in Franklin County, this row's only county [GENERAL_KNOWLEDGE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,GENERAL_KNOWLEDGE,session 52 (hand-read against CMS enrolment),"BRIDGE: Adirondack Health is the system whose hospital CMS enrols as ADIRONDACK MEDICAL CENTER, Saranac Lake -- in Franklin County, this row's only county"
NY,2,Alice Hyde Medical Center,500000,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Franklin Clinton Essex St. Lawrence. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,331321,NA,NA,NA,Franklin Clinton Essex St. Lawrence,Rural Community Health Integration (RCHI),Alice Hyde Medical Center,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS ORGANIZATION NAME, Malone [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS ORGANIZATION NAME, Malone"
NY,3,Bassett Medical Center,3122644,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Otsego Delaware Herkimer Madison Montgomery Oneida Schoharie. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330136,NA,NA,NA,Otsego Delaware Herkimer Madison Montgomery Oneida Schoharie,Rural Community Health Integration (RCHI),Bassett Medical Center,machine: HOSPITAL_OR_SYSTEM/HIGH,LOW,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: BRIDGE: CMS enrols MARY IMOGENE BASSETT HOSPITAL, Cooperstown (Otsego, an award county) with the DBA misspelt 'BASSET MEDICAL CENTER' -- one letter, CMS's typo not the roster's [GENERAL_KNOWLEDGE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,GENERAL_KNOWLEDGE,session 52 (hand-read against CMS enrolment),"BRIDGE: CMS enrols MARY IMOGENE BASSETT HOSPITAL, Cooperstown (Otsego, an award county) with the DBA misspelt 'BASSET MEDICAL CENTER' -- one letter, CMS's typo not the roster's"
NY,4,Canton-Potsdam Hospital,1059616,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: St. Lawrence. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330197,NA,NA,NA,St. Lawrence,Rural Community Health Integration (RCHI),Canton-Potsdam Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS ORGANIZATION NAME, Potsdam [ORG_WEBSITE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),"CMS ORGANIZATION NAME, Potsdam"
NY,5,Care Compass Collaborative,3350000,NONPROFIT_CBO,Unclear,"RCHI lead applicant; counties: Broome Chemung Chenango Cortland Delaware Otsego Schuyler Steuben Tioga Tompkins. The lead is NOT a hospital. RCHI required a hospital partner, and the roster names only the lead, so a hospital's presence is a fact about the APPLICATION and not about where a dollar went (§7, the third eligible class).",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,NA,NA,NA,NA,Broome Chemung Chenango Cortland Delaware Otsego Schuyler Steuben Tioga Tompkins,Rural Community Health Integration (RCHI),Care Compass Collaborative,machine: NONPROFIT_CBO/LOW,LOW,ELIGIBILITY_NOT_RECEIPT;RECIPIENT_TYPE_INFERRED,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Care Compass Collaborative,"§7 third eligible class: the lead is not a hospital and the roster names no partner hospital, so PASS_THROUGH_UNRESOLVED / Unclear -- a required partner is not a recipient. Form: REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,NA,session 52 (hand-read against CMS enrolment),REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).
NY,6,Cayuga Medical Center,2859386,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Broome Chemung Chenango Cortland Delaware Otsego Schuyler Steuben Tioga Tompkins. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330307,NA,NA,NA,Broome Chemung Chenango Cortland Delaware Otsego Schuyler Steuben Tioga Tompkins,Rural Community Health Integration (RCHI),Cayuga Medical Center,machine: HOSPITAL_OR_SYSTEM/HIGH,LOW,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: BRIDGE: CMS 'CAYUGA MEDICAL CENTER AT ITHACA' (Tompkins, an award county); the roster drops 'at Ithaca' [GENERAL_KNOWLEDGE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,GENERAL_KNOWLEDGE,session 52 (hand-read against CMS enrolment),"BRIDGE: CMS 'CAYUGA MEDICAL CENTER AT ITHACA' (Tompkins, an award county); the roster drops 'at Ithaca'"
NY,7,Champlain Valley Physicians Hospital,1369865,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Clinton Essex Franklin. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330250,NA,NA,NA,Clinton Essex Franklin,Rural Community Health Integration (RCHI),Champlain Valley Physicians Hospital,machine: HOSPITAL_OR_SYSTEM/HIGH,LOW,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: BRIDGE: CMS 'CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CENTER', Plattsburgh (Clinton, an award county); the roster's string is its prefix [GENERAL_KNOWLEDGE]",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,GENERAL_KNOWLEDGE,session 52 (hand-read against CMS enrolment),"BRIDGE: CMS 'CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CENTER', Plattsburgh (Clinton, an award county); the roster's string is its prefix"
NY,8,Chautauqua Health Network,1838750,NONPROFIT_CBO,Unclear,"RCHI lead applicant; counties: Chautauqua. The lead is NOT a hospital. RCHI required a hospital partner, and the roster names only the lead, so a hospital's presence is a fact about the APPLICATION and not about where a dollar went (§7, the third eligible class).",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,NA,NA,NA,NA,Chautauqua,Rural Community Health Integration (RCHI),Chautauqua Health Network,machine: NONPROFIT_CBO/LOW,LOW,ELIGIBILITY_NOT_RECEIPT;RECIPIENT_TYPE_INFERRED,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Chautauqua Health Network,"§7 third eligible class: the lead is not a hospital and the roster names no partner hospital, so PASS_THROUGH_UNRESOLVED / Unclear -- a required partner is not a recipient. Form: REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,NA,session 52 (hand-read against CMS enrolment),REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).
NY,9,Chenango Health Network,275896.2,NONPROFIT_CBO,Unclear,"RCHI lead applicant; counties: Chenango. The lead is NOT a hospital. RCHI required a hospital partner, and the roster names only the lead, so a hospital's presence is a fact about the APPLICATION and not about where a dollar went (§7, the third eligible class).",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,NA,NA,NA,NA,Chenango,Rural Community Health Integration (RCHI),Chenango Health Network,machine: NONPROFIT_CBO/LOW,LOW,ELIGIBILITY_NOT_RECEIPT;RECIPIENT_TYPE_INFERRED,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Chenango Health Network,"§7 third eligible class: the lead is not a hospital and the roster names no partner hospital, so PASS_THROUGH_UNRESOLVED / Unclear -- a required partner is not a recipient. Form: REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).",The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,NA,session 52 (hand-read against CMS enrolment),REFUSED: no CMS enrolment file carries the string and no bridge is available without guessing (§2).
NY,10,Clifton Springs Hospital & Clinic,950000,HOSPITAL_OR_SYSTEM,Yes,"RCHI lead applicant; counties: Ontario Seneca. The LEAD IS THE HOSPITAL, so §10.2's ordinary DIRECT row applies and the partnership rule adds nothing.",Yes,Yes,FY2026 (Year 1),Rural Community Health Integration Awardees List,https://www.health.ny.gov/facilities/transforming_rural_healthcare/awardees.htm,NOTICE_OF_AWARD,DIRECT_TEXT,R/03ag_ny_year1_probe.R,330265,NA,NA,NA,Ontario Seneca,Rural Community Health Integration (RCHI),Clifton Springs Hospital & Clinic,machine: HOSPITAL_OR_SYSTEM/HIGH,MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,§10.2 DIRECT: the RCHI lead applicant is itself a hospital. Form: CMS DBA 'CLIFTON SPRINGS HOSPITAL AND CLINIC' [ORG_WEBSITE],The roster's 'Total Dollar Award Amount' for this LEAD APPLICANT -- the lead's total across its awards (the Governor counts 90 awards to 56 organizations; DOH publishes no per-award or planning/ implementation split). Never divided (§6.2).,NA,2026-09-04,data/evidence/NY/2026-09-22_ny_rchi_awardees_list.html,ORG_WEBSITE,session 52 (hand-read against CMS enrolment),CMS DBA 'CLIFTON SPRINGS HOSPITAL AND CLINIC'
