state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,amount_basis,county,project_description,round_id,round_name,round_awards,round_amount,initiative,initiative_fund_use,source_archive_path
OK,1,CREOKS,49800,NONPROFIT_CBO,No,"Adair County. CREOKS will invest in two transportation vans for its Stilwell clinic. These vans will directly address barriers to rural transportation and help clients reach behavioral health, medical, wellness, and other supportive services more reliably. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,RECIPIENT_TYPE_INFERRED,MICROGRANTS,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,award amount as published per county by OSDH,Adair,"CREOKS will invest in two transportation vans for its Stilwell clinic. These vans will directly address barriers to rural transportation and help clients reach behavioral health, medical, wellness, and other supportive services more reliably.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,2,Great Salt Plains Health Center,100000,NONPROFIT_CBO,No,"Alfalfa County. Great Salt Plains Health Center will invest in a new digital X-ray machine to provide clearer, higher-quality images, enabling medical provider teams to diagnose conditions faster and with greater accuracy. Improving imaging quality is a top priority as it improves overall patient health, decreases hospital admissions, reduces the burden on emergency rooms, and leads to quicker referrals to specialists for advanced care. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,RECIPIENT_TYPE_INFERRED,MICROGRANTS,Budget Period 1,IN_KIND_BENEFIT,Yes,NOT_HOSPITAL,,award amount as published per county by OSDH,Alfalfa,"Great Salt Plains Health Center will invest in a new digital X-ray machine to provide clearer, higher-quality images, enabling medical provider teams to diagnose conditions faster and with greater accuracy. Improving imaging quality is a top priority as it improves overall patient health, decreases hospital admissions, reduces the burden on emergency rooms, and leads to quicker referrals to specialists for advanced care.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,3,Choctaw Nation of Oklahoma,38600,TRIBAL_ORG,No,"Atoka County. Choctaw Nation of Oklahoma will invest in vision, hearing, and wellness screening technology, in addition to a vaccine refrigerator and medical privacy tents. These investments directly support the project’s goal of delivering accessible, high-quality health screenings and ensuring safe immunization delivery. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,"OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Curated override: federally recognised tribe; the tribal name pattern does not reach the ""Nation"" styling.",HIGH,,MICROGRANTS,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,award amount as published per county by OSDH,Atoka,"Choctaw Nation of Oklahoma will invest in vision, hearing, and wellness screening technology, in addition to a vaccine refrigerator and medical privacy tents. These investments directly support the project’s goal of delivering accessible, high-quality health screenings and ensuring safe immunization delivery.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,4,Beaver County Memorial Hospital,67298.38,HOSPITAL_OR_SYSTEM,Yes,"Beaver County. Beaver County Memorial Hospital will invest in new health and wellness equipment to create an exercise space to support and allow employees, their families, and others to work towards a healthier lifestyle. The awardee will also expand its physical therapy department by purchasing specialized equipment for rehabilitation use for all patients in need. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient name rule: name states a hospital.,HIGH,,MICROGRANTS,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,award amount as published per county by OSDH,Beaver,"Beaver County Memorial Hospital will invest in new health and wellness equipment to create an exercise space to support and allow employees, their families, and others to work towards a healthier lifestyle. The awardee will also expand its physical therapy department by purchasing specialized equipment for rehabilitation use for all patients in need.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,5,Great Salt Plains Health Center,61776,NONPROFIT_CBO,No,"Blaine County. Great Salt Plains Health Center will invest in a vaccine management system to improve vaccine storage, guarantee temperature control, and enhance patient safety. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,RECIPIENT_TYPE_INFERRED,MICROGRANTS,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,award amount as published per county by OSDH,Blaine,"Great Salt Plains Health Center will invest in a vaccine management system to improve vaccine storage, guarantee temperature control, and enhance patient safety.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,6,Bryan County EMS,48164,EMS_OR_PSAP,No,"Bryan County. Bryan County EMS will invest in updated, modern communications equipment to better serve its community. This equipment will be helpful in daily EMS operations, crucial in disasters, and prospectively important in upcoming programs like their “treatment in place” (TIP) initiative. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient name rule: name states an EMS entity.,HIGH,,MICROGRANTS,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,award amount as published per county by OSDH,Bryan,"Bryan County EMS will invest in updated, modern communications equipment to better serve its community. This equipment will be helpful in daily EMS operations, crucial in disasters, and prospectively important in upcoming programs like their “treatment in place” (TIP) initiative.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,7,Avem Health Partners,50000,NONPROFIT_CBO,No,"Caddo County. Avem Health Partners will invest in the purchase and installation of a full outdoor basketball court at Rotary Park. This includes site preparation, concrete installation, goals, surfacing, and necessary safety features to create a functional and durable recreational space. This investment directly addresses the identified gap in safe and accessible opportunities for physical activity in an underserved area of the community. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient is named but the source does not state its organisational form; §8 settled fallback (session 10).,LOW,RECIPIENT_TYPE_INFERRED,MICROGRANTS,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,award amount as published per county by OSDH,Caddo,"Avem Health Partners will invest in the purchase and installation of a full outdoor basketball court at Rotary Park. This includes site preparation, concrete installation, goals, surfacing, and necessary safety features to create a functional and durable recreational space. This investment directly addresses the identified gap in safe and accessible opportunities for physical activity in an underserved area of the community.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,8,Southern Oklahoma Ambulance Services,54238.76,EMS_OR_PSAP,No,"Carter County. Southern Oklahoma Ambulance Services will invest in two cardiac monitors and two portable ventilators. Together, these investments equip each additional ambulance with the life‑saving technology necessary to maintain clinical readiness and meet the growing demands of its service area. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient name rule: name states an EMS entity.,HIGH,,MICROGRANTS,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,award amount as published per county by OSDH,Carter,"Southern Oklahoma Ambulance Services will invest in two cardiac monitors and two portable ventilators. Together, these investments equip each additional ambulance with the life‑saving technology necessary to maintain clinical readiness and meet the growing demands of its service area.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,9,Choctaw County City of Hugo Hospital Authority,49514.09,HOSPITAL_OR_SYSTEM,Yes,"Choctaw County. Choctaw County City of Hugo Hospital Authority will invest in four defibrillators, five rechargeable battery packs, and a charger for the batteries. These investments ensure that high-risk patients have immediate access to reliable defibrillation, while healthcare staff have standardized, easy-to-use equipment that meets FDA safety and effectiveness standards. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient name rule: name states a hospital.,HIGH,,MICROGRANTS,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,award amount as published per county by OSDH,Choctaw,"Choctaw County City of Hugo Hospital Authority will invest in four defibrillators, five rechargeable battery packs, and a charger for the batteries. These investments ensure that high-risk patients have immediate access to reliable defibrillation, while healthcare staff have standardized, easy-to-use equipment that meets FDA safety and effectiveness standards.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
OK,10,Cimarron Memorial Hospital and Rural Health Clinic,46060.95,HOSPITAL_OR_SYSTEM,Yes,"Cimarron County. Cimarron Memorial Hospital and Rural Health Clinic will invest in essential equipment required to establish and operate a safe, effective, and fully functional cardiac rehabilitation program. These investments include a recumbent bike and ergometer, cardiac rehabilitation exercise equipment system, a defibrillator, and a wireless stress system. Community-Led Wellness Hubs: Microgrants -- applicants were eligible for awards of up to $100,000 per county (a $50,000 base budget and a $50,000 supplemental request). OSDH's Q2 Legislative Quarterly Report states it 'issued 68 awards through the competitive Microgrant application' and that contracts were in progress at 2026-06-30.",Yes,Yes,FY2026 (Year 1),"Oklahoma RHTP Funding Recipients -- Community-Led Wellness Hubs: Microgrants, List of Funding Recipients",https://oklahoma.gov/health/rhtp/rhtp-funding-recipients.html,NOTICE_OF_AWARD,DIRECT_TEXT,R/03t_ok_year1_awardees.R,,,,,OSDH publishes NO organisation-type column; the type is derived from the recipient's own name. Recipient name rule: name states a hospital.,HIGH,,MICROGRANTS,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,award amount as published per county by OSDH,Cimarron,"Cimarron Memorial Hospital and Rural Health Clinic will invest in essential equipment required to establish and operate a safe, effective, and fully functional cardiac rehabilitation program. These investments include a recumbent bike and ergometer, cardiac rehabilitation exercise equipment system, a defibrillator, and a wireless stress system.",MG,Community-Led Wellness Hubs: Microgrants,68,,Moving Upstream,Community-Led Wellness Hub: Microgrants,data/evidence/OK/2026-08-31_ok_rhtp_funding_recipients.html
