state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,initiative,project,amount_low,amount_high,pool_amount,n_recipients,beds,counties_served,regions_served,entity_type_raw,budget_year2,flow_type,hospital_attribution,hospital_benefiting,intermediary_name,hospital_affiliation_signal,date_announced,classification_rule,determination_basis
OR,1,Adventist Columbia Gorge Med Ctr,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (49 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,49,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,2,Adventist Tillamook Med Ctr,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (25 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,25,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,3,Asante Ashland Comm Hosp,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (49 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,49,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,4,Bay Area Hosp,1394000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (78 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,78,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,5,Blue Mountain Hosp,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (25 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,25,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,6,Columbia Memorial Hosp,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (25 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,25,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,7,Coquille Valley Hosp,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (25 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,25,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,8,Curry General Hosp,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (25 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,25,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,9,Good Shepherd Med Ctr,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (25 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,25,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
OR,10,Grande Ronde Hosp,963000,HOSPITAL_OR_SYSTEM,Yes,"Transformation Fund, rural hospital tier (25 beds). OHA's bulletin heads this table 'Organizations Offered Funds' and prints an 'Eligible Award Total'; the 2026-07-07 release states the $35M has been awarded.",Yes,No,FY2026 (Year 1),Oregon Health Authority Announces Funding for Rural Hospitals and Rural Health Clinics,https://content.govdelivery.com/accounts/ORHA/bulletins/4164e4f,NOTICE_OF_INTENT_TO_AWARD,DIRECT_TEXT,AUTO,,,,,Hospital or Hospital System,HIGH,AMOUNT_PRELIMINARY,TRANSFORMATION_HOSPITAL,Transformation Fund - Rural Hospitals,,,,,,25,,,Hospital or Hospital System,,DIRECT,NAMED_HOSPITAL,Yes,,FALSE,2026-05-07,STATE_ORG_TYPE,The state's own Organization Type field states 'Hospital or Hospital System'. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.
