file,row,state,awardee,amount,determined_form,form_source,disclaims_form
fl_year1_awardees.csv,9,FL,Nuvita Health,439775.4,a private health-technology company RECEIVING A GRANT,the row's own determined-form clause,FALSE
fl_year1_awardees.csv,18,FL,Nuvita Health,769736,a private health-technology company RECEIVING A GRANT,the row's own determined-form clause,FALSE
fl_year1_awardees.csv,33,FL,Nuvita Health,1267676.66,a private health-technology company RECEIVING A GRANT,the row's own determined-form clause,FALSE
al_year1_awardees.csv,35,AL,TTC LLC DBA BHG Cullman Treatment Center,339580,for-profit opioid treatment programme,"session 49 verified basis, form read session 71",FALSE
al_year1_awardees.csv,79,AL,Touchstone Residential Services DBA Touchstone Transport,1120000,non-emergency medical transportation provider,"session 49 verified basis, form read session 71",FALSE
ak_year1_awardees.csv,66,AK,Compass Therapy,60047,private therapy clinic,"session 49 verified basis, form read session 71",FALSE
ak_year1_awardees.csv,161,AK,Optical Aleutians,64787.11,optical / eye-care provider,"session 49 verified basis, form read session 71",FALSE
ak_year1_awardees.csv,208,AK,Whale Tail Pharmacy,341274,retail pharmacy (Alaska's own type: Pharmacy),"session 49 verified basis, form read session 71",FALSE
ak_year1_awardees.csv,209,AK,White's Incorporated,18980,pharmacy business (Alaska's own type: Pharmacy),"session 49 verified basis, form read session 71",FALSE
mi_year1_awardees.csv,116,MI,Program of All-Inclusive Care for the Elderly (PACE) Central Michigan,500000,PACE organisation,"session 49 verified basis, form read session 71",FALSE
mi_year1_awardees.csv,117,MI,Program of All-Inclusive Care for the Elderly (PACE) Northeast Michigan,500000,PACE organisation,"session 49 verified basis, form read session 71",FALSE
or_year1_awardees.csv,193,OR,Oregon Northwest Workforce Investment Board (DBA Northwest Oregon Works),222308.14,regional workforce investment board,"session 49 verified basis, form read session 71",FALSE
or_year1_awardees.csv,197,OR,Outback Strong LLC,291000,private behavioural health practice (OHA's type: Behavioral Health Clinic),"session 49 verified basis, form read session 71",FALSE
or_year1_awardees.csv,206,OR,"Ravenseed AZN, LLC (DBA Acadia Northwest)",472982,private behavioural health practice (OHA's type: Behavioral Health Clinic),"session 49 verified basis, form read session 71",FALSE
