state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,flow_type,hospital_benefiting,determination_basis,source_archive_path,recipient_names_source_url,amount_basis,amount_precision,disbursement_status,classification_rule,activity_type_raw,region,initiative_raw,project_description
PA,1,Fulton County Medical Center,872891,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Southern Alleghenies region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Southern Alleghenies,Tech & Infrastructure,"Installed 20 years ago, the Medical Center's existing HVAC system has reached the end of its useful life and no longer providers the reliability, efficiency, and environmental control needed to support safe and sustainable patient care. Replacing this system is an essential investment in the Medical Center's ability to remain a stable, trusted source of care for the community."
PA,2,Geisinger Bloomsburg Hospital,700000,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Central region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Central,Tech & Infrastructure,"Program payments will be used to replace a high-volume radiographic (X-ray) unit to reduce equipment downtime that currently contributes to delays in accessing essential diagnostic imaging services. The existing system is aging and increasingly unable to meet demand, resulting in service interruptions that negatively impact patient care."
PA,3,Geisinger Jersey Shore Hospital,1000000,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Central region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Central,Tech & Infrastructure,"Program payments will be used to support this technology and infrastructure project focused on expanding availability of advanced diagnostic imaging through the deployment of a portable Computed Tomography (CT) unit at Geisinger Jersey Shore Hospital (GJSH) which serves rural and underserved communities across the region. Portable CT scanners can be utilized in various locations within a hospital, including bedside imaging in the Intensive Care Unit (ICU), operating rooms, emergency departments, and specialty care suites."
PA,4,Geisinger Lewistown Hospital,1000000,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Central region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Central,Tech & Infrastructure,"Funding will support the purchase, deployment, and installation of a CT imaging unit to ensure consistent, local access to advanced diagnostic imaging services. This investment will allow the community to maintain uninterrupted access to CT services, reducing reliance on external facilities and minimizing delays caused by equipment outages."
PA,5,Geisinger Medical Center,1000000,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Central region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a medical center. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Central,Tech & Infrastructure,"This project is an access and technology project aimed at ensuring rural Montour and surrounding counties maintain access to an advanced pharmacy. Funding will be used to purchase and install a new modular compounding suite, upgrade and replace the pharmacy’s HVAC system, add non-sterile hazardous drug compounding capacity, and improve the overall workflow layout of the facility."
PA,6,GSL Hospital dba Geisinger St. Luke's Hospital,948927,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Northeast region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Northeast,Tech & Infrastructure,"Geisinger St. Luke’s Hospital will use this one-time program payment to fully equip a fourth operating room (OR 4) in response to sustained growth in surgical demand. y. Expanding operating room capacity will enable the hospital to perform approximately 1,700 additional surgical procedures annually, serving as a primary benchmark for project success."
PA,7,"Hyndman Area Health Center, Inc.",63579,FQHC_OR_RHC,No,EMS & Transportation | Southern Alleghenies region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,MEDIUM,,NON_HOSPITAL,No,"Curated override: federally qualified health center. §10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not state that hospitals receive or use the funded activity. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,OVERRIDE,EMS & Transportation,Southern Alleghenies,EMS & Transportation,"Hyndman Area Health Center (HAHC) will use the RHTP/RRS program payment to purchase a wheelchair-accessible van to establish non-emergency transportation services for patients who lack safe, reliable, wheelchair-accessible transportation to and from medical appointments at HAHC."
PA,8,Lehigh Valley Hospital - Pocono,996328,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Northeast region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Northeast,Tech & Infrastructure,"The program payment for Lehigh Valley Hospital-Pocono will be used to modify the behavioral health unit, purchase supplies and equipment that stabilize and enhance rural health access. Equipment includes one GE Volusun Expert 22 BT25 ultrasound machine to support both telehealth and in person Maternal Fetal Medicine specialty care. Nine Teladoc TV Pro 300 carts will allow the hospital to connect bedside patients with remote clinicians and have these visits integrated with the electronic medical record. Two Retina Vue Scanners will provide retinal screening for more than 3743 patients with diabetes. And there will be an update to install anti-ligature door upgrades to 12 rooms in our behavioral health unit. These upgrades are essential for patient and staff safety."
PA,9,St. Luke's Hospital - Monroe Campus,823050,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | Northeast region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,Northeast,Tech & Infrastructure,"St. Luke’s Hospital – Monroe Campus plans to use this one-time payment to equip a sixth operating room to meet increased patient demand. With high utilization rates in its other ORs, SLMO has finished the OR space and now it needs to be outfitted for use."
PA,10,Wellspan Chambersburg Hospital,940153,HOSPITAL_OR_SYSTEM,Yes,Tech & Infrastructure | South Central region,Yes,Yes,FY2026 (Year 1),"Supporting Rural Health Care: Shapiro Administration Announces $42 Million to Support Technology and Infrastructure Improvements, Upgrades for Rural Hospitals, Emergency Medicine, and Health Care Providers",https://www.pa.gov/agencies/dhs/newsroom/supporting-rural-health-care,NOTICE_OF_INTENT_TO_AWARD,MODEL_ASSISTED,AI-assisted - CONFIRM,,,,,,HIGH,,DIRECT,Yes,"Recipient name rule: name states a hospital. §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount. Source: PA DHS announced 66 authorized projects on 2026-07-23; the names and amounts are from the DHS Rural Health Selected Projects page it links to. Distribution is pending approval of selected projects, so this is an intent to award.",data/evidence/PA/2026-07-23_dhs_supporting_rural_health_care.html,https://www.pa.gov/agencies/dhs/programs-services/healthcare/rural-health/rural-health-selected-projects,PER_RECIPIENT,EXACT_AS_PUBLISHED,PENDING_APPROVAL,PATTERN,Tech & Infrastructure,South Central,Tech & Infrastructure,"WCH is using the funding for the Neuro Navigation and 3D imaging Project, which requires the purchasing of eqipment. Using existing navigation and visualization equipment, WCH neurosurgical team completed 707 cases with an average operative time of 145.4 minutes per case in CY2025. With the addition of enhanced navigation and visualization technology and related tools, we anticipate an immediate increase 35 cases per year with an annual increase of 3.9%, providing access to 193 additional procedures in 3 years"
