state,record_id,awardee_name_raw,amount_announced,source_doc_title,solicitation_number,new_flags,state_program_basis,registry_program,registry_disposition,action_date,action_date_basis,prior_qa_status,prior_flag_reason
AZ,9f1f3b85-7b32-43c1-a729-1428201a06ca,Arizona Health Care Cost Containment System (AHCCCS),25000000,"AZ - 2025 - Arizona RHTP Application Overview Public Webinar (November 13, 2025)",,PROVENANCE_PREDATES_NOA,,,,2025-11-13,SOURCE_TEXT,QUARANTINED,PROVENANCE_PREDATES_NOA
AZ,e6977e1e-661d-4d4a-a110-1d99355c8f98,Arizona Health Care Cost Containment System (AHCCCS),20000000,"AZ - 2025 - Arizona RHTP Application Overview Public Webinar (November 13, 2025)",,PROVENANCE_PREDATES_NOA,,,,2025-11-13,SOURCE_TEXT,QUARANTINED,PROVENANCE_PREDATES_NOA
AZ,8b3a631b-3a1d-4b03-8887-d190f8a191a8,Arizona Health Care Cost Containment System (AHCCCS),10000000,"AZ - 2025 - Arizona RHTP Application Overview Public Webinar (November 13, 2025)",,PROVENANCE_PREDATES_NOA,,,,2025-11-13,SOURCE_TEXT,QUARANTINED,PROVENANCE_PREDATES_NOA
CA,f2267f46-0e9d-449c-a26d-71655d88433e,El Centro Regional Medical Center,11000000,CA - 2025 - Distressed Hospital Small Grant Program Reference Overview,,PROVENANCE_STATE_PROGRAM,REGISTRY,CA-DISTRESSED-HOSPITAL-SMALL-GRANT,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
CA,7cdd9cdd-d911-4268-8373-73166cac03cf,Watsonville Community Hospital,10600000,CA - 2025 - Distressed Hospital Small Grant Program Reference Overview,,PROVENANCE_STATE_PROGRAM,REGISTRY,CA-DISTRESSED-HOSPITAL-SMALL-GRANT,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
CA,42aa506a-b0eb-45ec-a10b-aa3c5459b2ed,Palo Verde Hospital,3000000,CA - 2025 - Distressed Hospital Small Grant Program Reference Overview,,PROVENANCE_STATE_PROGRAM,REGISTRY,CA-DISTRESSED-HOSPITAL-SMALL-GRANT,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
CA,77fc85fb-656b-46b1-8604-d9ab9dcbff5a,Southern Inyo Healthcare District,400000,CA - 2025 - Distressed Hospital Small Grant Program Reference Overview,,PROVENANCE_STATE_PROGRAM,REGISTRY,CA-DISTRESSED-HOSPITAL-SMALL-GRANT,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
DE,50d54c39-1773-48ad-a14b-8aa5142b6f43,"Office Partners XIX Brandywine LLC (two projects), Wilmington",973000,DE - 2026 - large projects awarded downtown development districts funding reservations,,PROVENANCE_STATE_PROGRAM,REGISTRY,DE-DSHA-DOWNTOWN-DEVELOPMENT,NOT_RHTP_STATE_PROGRAM,2026-09-10,"REGISTRY: news.delaware.gov release 'Date Posted: September 10, 2026' (archived).",FLAGGED,MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
DE,f7901bd7-78c6-4b27-80a5-e5c3b2ee9dc5,"Loockerman Plaza LLC, Dover",680000,DE - 2026 - large projects awarded downtown development districts funding reservations,,PROVENANCE_STATE_PROGRAM,REGISTRY,DE-DSHA-DOWNTOWN-DEVELOPMENT,NOT_RHTP_STATE_PROGRAM,2026-09-10,"REGISTRY: news.delaware.gov release 'Date Posted: September 10, 2026' (archived).",FLAGGED,MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
DE,8fc6e278-05d5-448f-9b96-ad11ddd9c0dd,"Little Living Org. Inc., Georgetown",620000,DE - 2026 - large projects awarded downtown development districts funding reservations,,PROVENANCE_STATE_PROGRAM,REGISTRY,DE-DSHA-DOWNTOWN-DEVELOPMENT,NOT_RHTP_STATE_PROGRAM,2026-09-10,"REGISTRY: news.delaware.gov release 'Date Posted: September 10, 2026' (archived).",FLAGGED,MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
DE,48867b8f-d701-4491-8e7a-1f40b50bf165,"Mach Investments LLC, Smyrna",412000,DE - 2026 - large projects awarded downtown development districts funding reservations,,PROVENANCE_STATE_PROGRAM,REGISTRY,DE-DSHA-DOWNTOWN-DEVELOPMENT,NOT_RHTP_STATE_PROGRAM,2026-09-10,"REGISTRY: news.delaware.gov release 'Date Posted: September 10, 2026' (archived).",FLAGGED,MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
DE,c4d83502-eea1-4991-ad07-9791f5068cc7,"Tatnall West II LLC, Wilmington",343844,DE - 2026 - large projects awarded downtown development districts funding reservations,,PROVENANCE_STATE_PROGRAM,REGISTRY,DE-DSHA-DOWNTOWN-DEVELOPMENT,NOT_RHTP_STATE_PROGRAM,2026-09-10,"REGISTRY: news.delaware.gov release 'Date Posted: September 10, 2026' (archived).",FLAGGED,MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
DE,9ba09cbc-9770-4147-afe2-d819eb76d2a4,"Leroy Tice Esquire, Wilmington",210000,DE - 2026 - large projects awarded downtown development districts funding reservations,,PROVENANCE_STATE_PROGRAM,REGISTRY,DE-DSHA-DOWNTOWN-DEVELOPMENT,NOT_RHTP_STATE_PROGRAM,2026-09-10,"REGISTRY: news.delaware.gov release 'Date Posted: September 10, 2026' (archived).",FLAGGED,MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
DE,f9080171-3e10-4176-9af3-b560ef2fdde9,"Nas Homes LLC, Wilmington",194500,DE - 2026 - large projects awarded downtown development districts funding reservations,,PROVENANCE_STATE_PROGRAM,REGISTRY,DE-DSHA-DOWNTOWN-DEVELOPMENT,NOT_RHTP_STATE_PROGRAM,2026-09-10,"REGISTRY: news.delaware.gov release 'Date Posted: September 10, 2026' (archived).",FLAGGED,MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
GA,5d08fca3-ca0a-48a4-959c-14b17d96c56b,Appling Hospital,500000,GA - 2026 - Dual Track FY26 Rural Hospital Support Grant for Hospital Stabilization or Graduate Medical Education – Track 1 – Option 1.1 & Track 2 – Option 2.1 & 2.2,,PROVENANCE_STATE_PROGRAM,REGISTRY,GA-SORH-DUAL-TRACK,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
GA,2a4b9c97-23c9-4543-a7d9-73902dfc2868,"Coffee Regional Medical Center, Inc.",500000,GA - 2025 - Dual Track FY25 Rural Hospital Support Grant for Hospital Stabilization or Graduate Medical Education – TRACK 2 – Option 2.1 & Option 2.2,,PROVENANCE_STATE_PROGRAM,REGISTRY,GA-SORH-DUAL-TRACK,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
GA,d6d30bb9-046f-40f9-89ed-9ad04a8d4466,Tift Regional Medical Center,500000,GA - 2025 - Dual Track FY25 Rural Hospital Support Grant for Hospital Stabilization or Graduate Medical Education – TRACK 2 – Option 2.1 & Option 2.2,,PROVENANCE_STATE_PROGRAM,REGISTRY,GA-SORH-DUAL-TRACK,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
GA,043bdb5d-4c46-4733-97a1-2447c151b288,Emanuel County Medical Center,225000,GA - 2026 - Notice of Intent to Award Dual Track Rural Hospital Remote Critical Care Services Grants,,PROVENANCE_STATE_PROGRAM,REGISTRY,GA-SORH-DUAL-TRACK,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
GA,7fea5943-108f-489a-a008-010f3bd3e66a,Memorial Hospital and Manor,225000,GA - 2026 - Notice of Intent to Award Dual Track Rural Hospital Remote Critical Care Services Grants,,PROVENANCE_STATE_PROGRAM,REGISTRY,GA-SORH-DUAL-TRACK,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
GA,d5dc3157-0c44-4530-a868-10175d216d9e,Upson Regional Medical Center,225000,GA - 2026 - Notice of Intent to Award Dual Track Rural Hospital Remote Critical Care Services Grants,,PROVENANCE_STATE_PROGRAM,REGISTRY,GA-SORH-DUAL-TRACK,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
GA,1a1fb1a6-8984-41af-95ad-2092469fb5a4,Wayne Memorial Hospital,225000,GA - 2026 - Notice of Intent to Award Dual Track Rural Hospital Remote Critical Care Services Grants,,PROVENANCE_STATE_PROGRAM,REGISTRY,GA-SORH-DUAL-TRACK,NOT_RHTP_STATE_PROGRAM,,REFUSED_RCJ_YEAR,PASS,
MI,a25a010d-ae53-4ffb-9cf4-c1178734c0dd,"Crim Fitness Foundation, Flint",300000,MI - 2026 - MDHHS awards $1.5 million for community violence intervention efforts,,PROVENANCE_STATE_PROGRAM,REGISTRY,MI-MDHHS-CVI-2026,NOT_RHTP_STATE_PROGRAM,2026-09-21,"REGISTRY: MDHHS newsroom release dated September 21, 2026 (archived).",FLAGGED,CONTENT_DUPLICATE;MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
MI,1f525537-d683-49fa-b2f7-5693dca0a5cd,Detroit Life is Valuable Everyday (DLIVE),300000,MI - 2026 - MDHHS awards $1.5 million for community violence intervention efforts,,PROVENANCE_STATE_PROGRAM,REGISTRY,MI-MDHHS-CVI-2026,NOT_RHTP_STATE_PROGRAM,2026-09-21,"REGISTRY: MDHHS newsroom release dated September 21, 2026 (archived).",FLAGGED,CONTENT_DUPLICATE;SOURCE_DOCUMENT_UNRESOLVED
MI,afd9f3e3-462b-4e13-a743-f0f62f90d81d,Detroit Peoples Community (The Peoples Action),300000,MI - 2026 - MDHHS awards $1.5 million for community violence intervention efforts,,PROVENANCE_STATE_PROGRAM,REGISTRY,MI-MDHHS-CVI-2026,NOT_RHTP_STATE_PROGRAM,2026-09-21,"REGISTRY: MDHHS newsroom release dated September 21, 2026 (archived).",FLAGGED,CONTENT_DUPLICATE;SOURCE_DOCUMENT_UNRESOLVED
MI,93f46e95-875b-4b10-9b31-80451e636f65,"Present Pillars, Benton Harbor",300000,MI - 2026 - MDHHS awards $1.5 million for community violence intervention efforts,,PROVENANCE_STATE_PROGRAM,REGISTRY,MI-MDHHS-CVI-2026,NOT_RHTP_STATE_PROGRAM,2026-09-21,"REGISTRY: MDHHS newsroom release dated September 21, 2026 (archived).",FLAGGED,CONTENT_DUPLICATE;MULTI_RECIPIENT_FIELD;SOURCE_DOCUMENT_UNRESOLVED
MS,b707707b-8e73-4759-bad1-105caa1e8591,Horne LLP,150000,MS - 2025 - Notice Of Contract Award RHTP - Consultant Quotation #20250728 Emergency Contract #8400003450,,PROVENANCE_PREDATES_NOA,,,,2025-07-28,SOURCE_TEXT,QUARANTINED,PROVENANCE_PREDATES_NOA
NV,1fae132b-af55-490a-8331-a894812f94eb,"University of Nevada, Las Vegas SOM - Ophthalmology",2995890,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
NV,0f10ead8-39b5-4576-9d7b-00d71f075ae8,Carson-Tahoe Health - Family Medicine,2707094,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,CONTENT_DUPLICATE;PROVENANCE_STATE_PROGRAM
NV,1f7704dd-d7b7-4f69-b18d-a9206935bf8b,University Medical Center of Southern Nevada - Diagnostic Radiology,2100000,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
NV,539bc63d-d5b3-43bf-afbc-40ace471d416,"University of Nevada, Reno SOM - Obstetrics & Gynecology",1957173,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
NV,16ee50fb-042c-416d-894d-92a0a86a27d4,Dignity Health - Internal Medicine,1722415,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
NV,f157706d-0aa9-4d0b-a153-87b5c26cb176,"University of Nevada, Reno SOM - General Surgery",1672444,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
NV,b7b7993a-c861-42c3-b863-e7a4bbbadd9a,Dignity Health - Pulmonary & Critical Care Medicine,1279352,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
NV,fdfab79b-cea2-44cf-b4d5-72bd1c90e2a3,"University of Nevada, Reno SOM - Pulmonary Disease and Critical Care Medicine",919303,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
NV,d643dd51-d3b4-4a37-95cd-2dcd2cad4fe6,"University of Nevada, Las Vegas SOM - Otolaryngology",401397,NV - 2026 - Nevada Invests Nearly $16 Million to Train the Next Generation of Physicians,,PROVENANCE_STATE_PROGRAM,REGISTRY,NV-GME-ROUNDVIII,NOT_RHTP_STATE_PROGRAM,2026-07-22,"REGISTRY: announcement dated 2026-07-22, printed on the release itself",QUARANTINED,PROVENANCE_STATE_PROGRAM
TX,60e9dfa4-6647-456a-9b5b-92181275eaa8,Any Baby Can of Austin,13435682,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
TX,9eb79a89-dc70-4a5d-8b45-b855eb45b782,Bexar County Hospital District,13297812,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,,PROVENANCE_STATE_PROGRAM,REGISTRY,TX-HHS0016568,NOT_RHTP_STATE_PROGRAM,2026-01-26,"REGISTRY: RFA 'Release Date : January 26, 2026', printed on HHSC's RFA page (archived); applications due 2026-03-11 per the RFA cover.",PASS,
