state,extraction_status,cms_fy2026_allotment,awards_old,awards_new,award_rows_new_id,documents_new_id,opportunities_new_id,activity_events_since_old_pull,cms_release_latest,on_routine,probe_without_routine,cms_release,exposed,rcj_signal_in_new_pull,old_pull,new_pull
MT,NOT_EXTRACTED,233509359,5,5,0,6,2,83,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
OK,EXTRACTED,223476949,49,52,3,16,0,11,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
GA,EXTRACTED,218862170,115,120,5,7,4,25,2026-08-27,FALSE,FALSE,TRUE,TRUE,TRUE,2026-08-27,2026-09-24
NE,EXTRACTED,218529075,39,52,13,22,0,13,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
FL,EXTRACTED,209938195,0,81,81,9,0,78,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
IA,EXTRACTED,209040064,15,15,0,3,2,37,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
IN,EXTRACTED,206927897,40,217,191,25,1,60,2026-09-03,FALSE,FALSE,TRUE,TRUE,TRUE,2026-08-27,2026-09-24
NH,EXTRACTED,204016550,27,26,6,11,3,42,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
AL,EXTRACTED,203404327,138,146,8,3,0,16,2026-08-24,FALSE,FALSE,TRUE,TRUE,TRUE,2026-08-27,2026-09-24
OR,EXTRACTED,197271578,394,396,2,0,0,17,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
UT,NOT_EXTRACTED,195743566,2,2,0,10,3,33,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
IL,EXTRACTED,193418216,1,0,0,0,0,4,,FALSE,FALSE,FALSE,TRUE,FALSE,2026-08-27,2026-09-24
PA,EXTRACTED,193294054,66,66,0,4,1,6,2026-08-19,FALSE,FALSE,TRUE,TRUE,TRUE,2026-08-27,2026-09-24
MN,INVESTIGATED_NO_PROBE,193090618,0,10,10,7,3,33,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
HI,INVESTIGATED_NO_PROBE,188892440,1,2,2,8,3,27,2026-09-01,FALSE,FALSE,TRUE,TRUE,TRUE,2026-08-27,2026-09-24
NV,EXTRACTED,179931608,35,54,19,26,0,14,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
MI,EXTRACTED,173128201,31,158,149,71,24,42,2026-09-04,FALSE,FALSE,TRUE,TRUE,TRUE,2026-08-27,2026-09-24
MD,EXTRACTED,168180838,42,42,0,1,1,20,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
AZ,NOT_EXTRACTED,166988956,6,6,0,1,2,19,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
MA,INVESTIGATED_NO_PROBE,162005238,0,1,1,5,5,6,,FALSE,FALSE,FALSE,TRUE,TRUE,2026-08-27,2026-09-24
RI,NOT_EXTRACTED,156169931,3,1,1,2,2,65,2026-09-04,FALSE,FALSE,TRUE,TRUE,TRUE,2026-08-27,2026-09-24
TX,INVESTIGATED_NO_LIST,281319361,72,89,26,11,1,31,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
AK,EXTRACTED,272174856,161,250,250,14,1,27,2026-08-25,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
CA,INVESTIGATED_NO_LIST,233639308,12,5,4,4,0,22,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
KS,EXTRACTED,221898008,55,95,40,9,0,8,2026-09-14,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
MO,EXTRACTED,216276818,30,31,3,11,1,29,2026-09-22,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
NC,EXTRACTED,213008356,0,1,1,9,1,24,2026-09-14,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
KY,INVESTIGATED_NO_LIST,212905591,0,0,0,13,0,14,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
NY,EXTRACTED,212058208,0,0,0,1,0,32,2026-09-04,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
NM,INVESTIGATED_NO_LIST,211484741,7,11,4,7,1,19,2026-09-21,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
AR,EXTRACTED,208779396,0,33,33,15,0,7,2026-08-31,TRUE,FALSE,TRUE,FALSE,TRUE,2026-08-27,2026-09-24
LA,INVESTIGATED_NO_LIST,208374448,7,13,6,3,0,42,,TRUE,FALSE,FALSE,FALSE,TRUE,2026-08-27,2026-09-24
