filed_under,foreign_states_named,award_tier,amount_announced,awardee_name_clean,source_doc_title,record_id,misattributed,verdict,note
AL,WA,SUBAWARD,457073,AltaPointe Health Systems Inc.,AL - 2026 - Governor Ivey Announces First Grants in Major NEW Rural Healthcare Program Totaling More Than 144 Million,433cfe02-58ef-4e84-afe1-31289cd5cc41,TRUE,COUNTY_WITHOUT_THE_WORD,"A bare county name in a county list -- Alabama's ""(Clarke, Washington)"". The generic ""<State> County"" exclusion cannot reach it, and widening the rule to bare county names would start suppressing real findings."
AL,WA,SUBAWARD,158215,City of Jackson Healthcare Authority DBA Jackson Medical Center,AL - 2026 - Governor Ivey Announces First Grants in Major NEW Rural Healthcare Program Totaling More Than 144 Million,7805f79e-f93c-43c5-be6f-1d5e12dfbda9,TRUE,COUNTY_WITHOUT_THE_WORD,"A bare county name in a county list -- Alabama's ""(Clarke, Washington)"". The generic ""<State> County"" exclusion cannot reach it, and widening the rule to bare county names would start suppressing real findings."
AL,WA,SUBAWARD,98300,City of Jackson Healthcare Authority DBA Jackson Medical Center,AL - 2026 - Governor Ivey Announces First Grants in Major NEW Rural Healthcare Program Totaling More Than 144 Million,dbd1a5b3-faca-4655-b6ba-4ce72ec0e0ba,TRUE,COUNTY_WITHOUT_THE_WORD,"A bare county name in a county list -- Alabama's ""(Clarke, Washington)"". The generic ""<State> County"" exclusion cannot reach it, and widening the rule to bare county names would start suppressing real findings."
AL,WA,SUBAWARD,3500000,Infirmary Health System Inc.,AL - 2026 - Governor Ivey Announces First Grants in Major NEW Rural Healthcare Program Totaling More Than 144 Million,f9428b95-815a-4150-8b4e-d17063d101f3,TRUE,COUNTY_WITHOUT_THE_WORD,"A bare county name in a county list -- Alabama's ""(Clarke, Washington)"". The generic ""<State> County"" exclusion cannot reach it, and widening the rule to bare county names would start suppressing real findings."
FL,WA,SOLICITATION,,,FL - 2026 - AHCA RFA 034-25/26 RHTP Specialty and Acute Care Bundle (Bundle Two) Addendum No. 1,af2cdc8b-c03b-422d-8c0e-3e7e6d6b722c,TRUE,COUNTY_WITHOUT_THE_WORD,"A bare county name in a county list -- Alabama's ""(Clarke, Washington)"". The generic ""<State> County"" exclusion cannot reach it, and widening the rule to bare county names would start suppressing real findings."
FL,WA,SOLICITATION,,,FL - 2026 - AHCA RFA 037-25/26 RHTP Workforce Development (Initiative 8) Addendum No. 1,ea68853d-ffc2-409b-abc2-8b622925a03f,TRUE,COUNTY_WITHOUT_THE_WORD,"A bare county name in a county list -- Alabama's ""(Clarke, Washington)"". The generic ""<State> County"" exclusion cannot reach it, and widening the rule to bare county names would start suppressing real findings."
CA,AK,UNASSIGNED,,,CA - 2015 - Tribal Consultation Handbook Background Materials for Tribal Consultations on the 2020 Census,2cb57b93-01af-444d-a5f4-944b367bb6af,TRUE,ETHNONYM,"""Alaska Native"" in a Census tribal-consultation handbook."
AR,MS,UNASSIGNED,104115146,,"AR - 2026 - Governor Tate Reeves announced 167 awards totaling $104,115,146 through the Mississippi RHTP",0b2d4ebd-6740-43d3-881d-870b5fa3b571,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
AR,GA,UNASSIGNED,93300000,,AR - 2026 - Trump Administration Announces $93.3M RHTP Investment to Expand Telehealth and Surgical Robotics in Rural Georgia,8dfc67c9-12d7-466a-8751-8a08a2b23bf4,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
ME,AR,UNASSIGNED,149300000,,ME - 2026 - Cotton Praises Nearly $150 Million Investment for Arkansas from RHTP,a5fd66ae-ead2-4851-ba22-86f45f695837,TRUE,MISFILED,"Another state's document, filed under this one. Read the source_doc_title and the description together: the title's state prefix is RCJ's filing and the description names the state the document is actually about."
