state,rural_class,rows,dollars,rural_rows,rural_dollars
AK,NOT_RECORDED,43,62396425.47,0,0
AL,NOT_RECORDED,62,68323619,0,0
AR,NOT_RECORDED,30,111276895.52,0,0
CT,FEDERAL_RECORD_CCN,2,33350000,0,0
DE,SITE_NOT_RECIPIENT,4,0,0,0
FL,STATE_SOURCE_NOT_RURAL,2,8048917.2,0,0
FL,NOT_RECORDED,13,41296296.26,0,0
GA,STATE_SOURCE_RURAL,87,60000000,87,60000000
GA,NOT_RECORDED,38,30277580,0,0
IA,GENERAL_KNOWLEDGE_ONLY,33,0,0,0
IA,NOT_RECORDED,183,0,0,0
IN,FEDERAL_RECORD_CCN,43,0,21,0
IN,NOT_RECORDED,1,0,0,0
KS,FEDERAL_RECORD_CCN,7,10176973,4,3573154
KS,NOT_RECORDED,30,52239500,0,0
MD,NOT_RECORDED,8,23661116,0,0
MI,NOT_RECORDED,2,259121,0,0
MO,FEDERAL_RECORD_CCN,20,0,6,0
MS,FEDERAL_RECORD_CCN,16,21443392.49,6,7924406
MS,NOT_RECORDED,68,47454812.18,0,0
NC,NOT_RECORDED,1,0,0,0
NE,FEDERAL_RECORD_CCN,6,1825002.28,3,554850.55
NE,GENERAL_KNOWLEDGE_ONLY,13,5615597.53,0,0
NE,NOT_RECORDED,41,6990996.01,0,0
NJ,FEDERAL_RECORD_CCN,23,23154399,0,0
NJ,NOT_RECORDED,12,12120677,0,0
NV,GENERAL_KNOWLEDGE_ONLY,1,0,0,0
NV,NOT_RECORDED,41,0,0,0
NY,FEDERAL_RECORD_CCN,35,47358790.79,9,10302718.79
OK,NOT_RECORDED,26,1314902.66,0,0
OR,STATE_SOURCE_RURAL,35,34998000,35,34998000
OR,NOT_RECORDED,15,15660518.01,0,0
PA,NOT_RECORDED,27,24149111,0,0
SC,FEDERAL_RECORD_CCN,37,45837567.18,5,6874536.6
SC,NOT_RECORDED,77,70148147.77,0,0
SD,FEDERAL_RECORD_CCN,3,323300,3,323300
SD,NOT_RECORDED,2,393500,0,0
TN,FEDERAL_RECORD_CCN,2,0,1,0
VT,FEDERAL_RECORD_CCN,25,20167134.61,9,4705216.17
VT,NOT_RECORDED,2,2474684.82,0,0
WV,FEDERAL_RECORD_CCN,2,1224000,0,0
WY,STATE_SOURCE_RURAL,18,48200174,18,48200174
WY,GENERAL_KNOWLEDGE_ONLY,2,752302,0,0
WY,NOT_RECORDED,14,26161149.9,0,0
