state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,initiative,award_pool,row_in_pool,awardee_as_published,recipient_type_source,determination_confidence,flag_reason,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,round_amount,announcement_date,source_archive_path,basis_type,verified_by,verified_basis
SC,1,Morphis Pediatric Group,34750,PHYSICIAN_PRACTICE,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,1,Morphis Pediatric Group,"§8's STANDING FALLBACK. The award list publishes a recipient and an amount and NOTHING about the recipient's organisational form -- no type column, no county, no project description -- so Kansas's, Maryland's, Nebraska's, Oklahoma's, Nevada's, Michigan's, Missouri's, Iowa's, North Carolina's, Arkansas's, Wyoming's and Mississippi's shape a THIRTEENTH time. NOTHING WAS PROMOTED (§0.4), and the refusal runs BOTH ways: Self Regional Healthcare, McLeod Health, AnMed, Prisma Health and Tidelands Health read as hospital systems to anyone who knows South Carolina and are NOT promoted, while the nineteen SCDBHDD rows are the state's own behavioral health department and are NOT demoted to STATE_AGENCY. Both would be this pipeline asserting a form the document has not.",LOW,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"RECIPIENT TYPE DETERMINED (session 50): PHYSICIAN_PRACTICE -- physician practice. Basis (GENERAL_KNOWLEDGE): A paediatric group practice. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3). flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because §2.1 says a correction shows what moved: §10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,GENERAL_KNOWLEDGE,session 50 unstated-form typing,"physician practice. A paediatric group practice. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3)"
SC,2,"Oh the Blood Mobile Phlebotomy, LLC",124995,OTHER,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,2,"Oh the Blood Mobile Phlebotomy, LLC","§8's STANDING FALLBACK. The award list publishes a recipient and an amount and NOTHING about the recipient's organisational form -- no type column, no county, no project description -- so Kansas's, Maryland's, Nebraska's, Oklahoma's, Nevada's, Michigan's, Missouri's, Iowa's, North Carolina's, Arkansas's, Wyoming's and Mississippi's shape a THIRTEENTH time. NOTHING WAS PROMOTED (§0.4), and the refusal runs BOTH ways: Self Regional Healthcare, McLeod Health, AnMed, Prisma Health and Tidelands Health read as hospital systems to anyone who knows South Carolina and are NOT promoted, while the nineteen SCDBHDD rows are the state's own behavioral health department and are NOT demoted to STATE_AGENCY. Both would be this pipeline asserting a form the document has not.",LOW,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"RECIPIENT TYPE DETERMINED (session 50): OTHER -- mobile phlebotomy company. Basis (GENERAL_KNOWLEDGE): A mobile phlebotomy company. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3). flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because §2.1 says a correction shows what moved: §10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,GENERAL_KNOWLEDGE,session 50 unstated-form typing,"mobile phlebotomy company. A mobile phlebotomy company. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3)"
SC,3,Presbyterian College School of Pharmacy (PCSP),148920,UNIVERSITY_OR_AHC,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,3,Presbyterian College School of Pharmacy (PCSP),DERIVED FROM THE RECIPIENT'S OWN NAME by rhtp_classify_recipient_type().,HIGH,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"§10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,NA,NA,NA
SC,4,Bluffton Jasper County Volunteers in Medicine,208200,NONPROFIT_CBO,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,4,Bluffton Jasper County Volunteers in Medicine,"§8's STANDING FALLBACK. The award list publishes a recipient and an amount and NOTHING about the recipient's organisational form -- no type column, no county, no project description -- so Kansas's, Maryland's, Nebraska's, Oklahoma's, Nevada's, Michigan's, Missouri's, Iowa's, North Carolina's, Arkansas's, Wyoming's and Mississippi's shape a THIRTEENTH time. NOTHING WAS PROMOTED (§0.4), and the refusal runs BOTH ways: Self Regional Healthcare, McLeod Health, AnMed, Prisma Health and Tidelands Health read as hospital systems to anyone who knows South Carolina and are NOT promoted, while the nineteen SCDBHDD rows are the state's own behavioral health department and are NOT demoted to STATE_AGENCY. Both would be this pipeline asserting a form the document has not.",LOW,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"RECIPIENT TYPE DETERMINED (session 50): NONPROFIT_CBO -- charitable free clinic. Basis (GENERAL_KNOWLEDGE): A volunteer-staffed charitable free clinic. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3). flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because §2.1 says a correction shows what moved: §10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,GENERAL_KNOWLEDGE,session 50 unstated-form typing,"charitable free clinic. A volunteer-staffed charitable free clinic. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3)"
SC,5,"Careteam Plus, Inc",225626.8,FQHC_OR_RHC,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,5,"Careteam Plus, Inc","§8's STANDING FALLBACK. The award list publishes a recipient and an amount and NOTHING about the recipient's organisational form -- no type column, no county, no project description -- so Kansas's, Maryland's, Nebraska's, Oklahoma's, Nevada's, Michigan's, Missouri's, Iowa's, North Carolina's, Arkansas's, Wyoming's and Mississippi's shape a THIRTEENTH time. NOTHING WAS PROMOTED (§0.4), and the refusal runs BOTH ways: Self Regional Healthcare, McLeod Health, AnMed, Prisma Health and Tidelands Health read as hospital systems to anyone who knows South Carolina and are NOT promoted, while the nineteen SCDBHDD rows are the state's own behavioral health department and are NOT demoted to STATE_AGENCY. Both would be this pipeline asserting a form the document has not.",MEDIUM,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"RECIPIENT TYPE DETERMINED (session 50): FQHC_OR_RHC -- federally qualified health center. Basis (ORG_WEBSITE): CMS FQHC Enrollments carries 'CARETEAM PLUS INC' against CCNs 421057, 421095, 421113. Source: https://data.cms.gov/data-api/v1/dataset/4bcae866-3411-439a-b762-90a6187c194b/data (FQHC Enrollments, 2026-07-17). flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because §2.1 says a correction shows what moved: §10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,ORG_WEBSITE,session 50 unstated-form typing,"federally qualified health center. CMS FQHC Enrollments carries 'CARETEAM PLUS INC' against CCNs 421057, 421095, 421113. Source: https://data.cms.gov/data-api/v1/dataset/4bcae866-3411-439a-b762-90a6187c194b/data (FQHC Enrollments, 2026-07-17)"
SC,6,Lexington Health,250804.9,HOSPITAL_OR_SYSTEM,Yes,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,6,Lexington Health,"§8's STANDING FALLBACK. The award list publishes a recipient and an amount and NOTHING about the recipient's organisational form -- no type column, no county, no project description -- so Kansas's, Maryland's, Nebraska's, Oklahoma's, Nevada's, Michigan's, Missouri's, Iowa's, North Carolina's, Arkansas's, Wyoming's and Mississippi's shape a THIRTEENTH time. NOTHING WAS PROMOTED (§0.4), and the refusal runs BOTH ways: Self Regional Healthcare, McLeod Health, AnMed, Prisma Health and Tidelands Health read as hospital systems to anyone who knows South Carolina and are NOT promoted, while the nineteen SCDBHDD rows are the state's own behavioral health department and are NOT demoted to STATE_AGENCY. Both would be this pipeline asserting a form the document has not.",MEDIUM,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"RECIPIENT TYPE DETERMINED (session 50): HOSPITAL_OR_SYSTEM -- health system (Lexington Medical Center, CCN 420073). Basis (ORG_WEBSITE): CMS Hospital Enrollments carries ORGANIZATION NAME 'LEXINGTON HEALTH INC', West Columbia SC, against CCN 420073, plus RHC enrolments. Source: https://data.cms.gov/provider-data/dataset/xubh-q36u (Hospital Enrollments, 2026-07-31). flow re-run: §10.2 re-applied because the re-type crosses the DIRECT test. PRIOR BASIS, kept because §2.1 says a correction shows what moved: §10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,ORG_WEBSITE,session 50 unstated-form typing,"health system (Lexington Medical Center, CCN 420073). CMS Hospital Enrollments carries ORGANIZATION NAME 'LEXINGTON HEALTH INC', West Columbia SC, against CCN 420073, plus RHC enrolments. Source: https://data.cms.gov/provider-data/dataset/xubh-q36u (Hospital Enrollments, 2026-07-31)"
SC,7,Carolina Pines Regional Medical Center,268713,HOSPITAL_OR_SYSTEM,Yes,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,7,Carolina Pines Regional Medical Center,DERIVED FROM THE RECIPIENT'S OWN NAME by rhtp_classify_recipient_type().,HIGH,NA,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,NA,"§10.2 DIRECT -- the named recipient is itself a hospital or health system, so recipient identity IS the flow test and no description decides it (§0.3a). The award is MADE: SCDHHS issued Notices of Award Determination on its own published date of 2026-07-31 (MB# 26-026) and posted this list, headed 'Year 1 Awards', on 2026-09-15.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,NA,NA,NA
SC,8,Infinity Family Healthcare,277500,PHYSICIAN_PRACTICE,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,8,Infinity Family Healthcare,"§8's STANDING FALLBACK. The award list publishes a recipient and an amount and NOTHING about the recipient's organisational form -- no type column, no county, no project description -- so Kansas's, Maryland's, Nebraska's, Oklahoma's, Nevada's, Michigan's, Missouri's, Iowa's, North Carolina's, Arkansas's, Wyoming's and Mississippi's shape a THIRTEENTH time. NOTHING WAS PROMOTED (§0.4), and the refusal runs BOTH ways: Self Regional Healthcare, McLeod Health, AnMed, Prisma Health and Tidelands Health read as hospital systems to anyone who knows South Carolina and are NOT promoted, while the nineteen SCDBHDD rows are the state's own behavioral health department and are NOT demoted to STATE_AGENCY. Both would be this pipeline asserting a form the document has not.",LOW,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"RECIPIENT TYPE DETERMINED (session 50): PHYSICIAN_PRACTICE -- clinician practice (primary care). Basis (GENERAL_KNOWLEDGE): A primary-care practice. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3). flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because §2.1 says a correction shows what moved: §10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,GENERAL_KNOWLEDGE,session 50 unstated-form typing,"clinician practice (primary care). A primary-care practice. Source: no citable source for the FORM; the answer is this project's own knowledge (§0.4, session 49 policy 3)"
SC,9,Able South Carolina,298597,NONPROFIT_CBO,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,9,Able South Carolina,"§8's STANDING FALLBACK. The award list publishes a recipient and an amount and NOTHING about the recipient's organisational form -- no type column, no county, no project description -- so Kansas's, Maryland's, Nebraska's, Oklahoma's, Nevada's, Michigan's, Missouri's, Iowa's, North Carolina's, Arkansas's, Wyoming's and Mississippi's shape a THIRTEENTH time. NOTHING WAS PROMOTED (§0.4), and the refusal runs BOTH ways: Self Regional Healthcare, McLeod Health, AnMed, Prisma Health and Tidelands Health read as hospital systems to anyone who knows South Carolina and are NOT promoted, while the nineteen SCDBHDD rows are the state's own behavioral health department and are NOT demoted to STATE_AGENCY. Both would be this pipeline asserting a form the document has not.",MEDIUM,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"RECIPIENT TYPE DETERMINED (session 50): NONPROFIT_CBO -- community-based nonprofit (centre for independent living). Basis (ORG_WEBSITE): The IRS Business Master File carries Able South Carolina, Columbia SC, as a 501(c)(3). A centre for independent living, not a provider. Source: https://projects.propublica.org/nonprofits/ (IRS Business Master File / Form 990). flow unchanged: the re-type does not cross §10.2's DIRECT test. PRIOR BASIS, kept because §2.1 says a correction shows what moved: §10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,ORG_WEBSITE,session 50 unstated-form typing,"community-based nonprofit (centre for independent living). The IRS Business Master File carries Able South Carolina, Columbia SC, as a 501(c)(3). A centre for independent living, not a provider. Source: https://projects.propublica.org/nonprofits/ (IRS Business Master File / Form 990)"
SC,10,"Family Medicine Associates, LLC",299086,PHYSICIAN_PRACTICE,No,Connections to Care / Expand Remote Patient Monitoring (RPM) & Assistive Technology,Yes,Yes,FY2026 (Year 1),SC RHTP Year 1 Award List,https://www.scdhhs.gov/sites/dhhs/files/SC%20RHTP%20Year%201%20Award%20List%20to%20CMS.pdf,NOTICE_OF_AWARD,PDF_TEXT,R/03ao_sc_year1_awardees.R,NA,NA,NA,NA,Connections to Care,Expand Remote Patient Monitoring (RPM) & Assistive Technology,10,"Family Medicine Associates, LLC",DERIVED FROM THE RECIPIENT'S OWN NAME by rhtp_classify_recipient_type().,MEDIUM,NA,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,NA,"§10.2 -- the named recipient is not a hospital on the only evidence the document offers, which is its name. Where recipient_type is §8's standing fallback this is the CONSERVATIVE answer and the row is queued as SC_RECIPIENT_FORM_NOT_STATED: resolving it could only RAISE South Carolina's hospital figure, never lower it.","EXACT and per-recipient, published by SCDHHS for every one of the 228 rows. The document carries NO total of any kind, so the $167,299,900.69 this file reports is the SUM OF THE ROWS, corroborated from outside by CMS's own '228 grants' and '$167 Million' (2026-09-17) and by each project numbering 1..n with no gap.",NA,2026-09-15,data/evidence/SC/2026-09-21_sc_rhtp_year1_award_list_THE_ROSTER.pdf,NA,NA,NA
