state,url_host,n_references,example_url,last_seen_activity,lead_agency,program_page_url,award_posting_url,pass_through_admin,pass_through_admin_url,fy2026_allotment,last_verified,verified_by,note
AK,https://health.alaska.gov,5,https://health.alaska.gov/media/tcvker5a/ak_rhtp_awardsnotice_2026.xlsx,2026-08-22,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AK,https://www.alaskahha.org,2,https://www.alaskahha.org/rhtp,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AK,https://www.grantinterface.com,2,https://www.grantinterface.com/Opportunity/Catalog?urlkey=alaska,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AK,https://aws.state.ak.us,1,https://aws.state.ak.us/OnlinePublicNotices/Notices/View.aspx?id=222690,2026-08-21,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AL,https://governor.alabama.gov,4,https://governor.alabama.gov/newsroom/category/press-releases,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AL,https://alabamarhtp.com,3,https://alabamarhtp.com/resources,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AL,https://adeca.alabama.gov,2,https://adeca.alabama.gov/alruralhealth,2026-07-09,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AR,https://governor.arkansas.gov,6,https://governor.arkansas.gov/news_post/arkansas-awarded-209-million-for-fy26-through-president-trumps-rural-health-transformation-program,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AR,https://humanservices.arkansas.gov,3,https://humanservices.arkansas.gov/divisions-shared-services/shared-services/office-of-procurement/procurement-announcements,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AR,https://arkansasrhtp.com,1,https://arkansasrhtp.com,2026-06-23,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AZ,https://crh.arizona.edu,9,https://crh.arizona.edu/arizona-rural-health-transformation-program-toolkit,2026-08-19,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AZ,https://www.azahcccs.gov,7,https://www.azahcccs.gov/shared/News/GeneralNews/RHTP_Launch.html,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AZ,https://gn.ecivis.com,6,https://gn.ecivis.com/GO/gn_redir/T/iyka3c9jbpfk,2026-08-25,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
AZ,https://azgovernor.gov,1,https://azgovernor.gov/office-arizona-governor/news/2025/11/governor-katie-hobbs-submits-state-application-federal-rural,2026-04-23,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
CA,https://hcai.ca.gov,9,https://hcai.ca.gov/facilities/health-facility-financing/distressed-hospital-loan-program,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
CA,https://calruralhealth.submittable.com,2,https://calruralhealth.submittable.com/submit,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
CO,https://hcpf.colorado.gov,4,https://hcpf.colorado.gov/rhtp-program-history,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
CO,https://docs.google.com,3,https://docs.google.com/document/d/1FkFmT2zzr_GmDCA2IfBGhutYo0H_AejTTz_iJXbgF_8/export?format=docx,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
CO,https://governorsoffice.colorado.gov,2,https://governorsoffice.colorado.gov/governor/news,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
CT,https://portal.ct.gov,11,https://portal.ct.gov/opm/root/rfp/request-for-proposals,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
DE,https://news.delaware.gov,9,https://news.delaware.gov/2026/07/29/governor-meyer-announces-funding-to-establish-four-new-school-based-health-centers-in-sussex-county,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
DE,https://www.ruralhealthinfo.org,5,https://www.ruralhealthinfo.org/states/delaware/rhtp,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
DE,https://mmp.delaware.gov,3,https://mmp.delaware.gov/Vendor,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
DE,https://dhss.bonfirehub.com,2,https://dhss.bonfirehub.com/portal?tab=openOpportunities,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
DE,https://dhss.delaware.gov,1,https://dhss.delaware.gov/dph/rural-health-transformation-program,2026-06-17,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
FL,https://www.floridahealth.gov,3,https://www.floridahealth.gov/funding-grants,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
FL,https://ahca.myflorida.com,2,https://ahca.myflorida.com/procurements,2026-08-27,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
FL,https://vendor.myfloridamarketplace.com,2,https://vendor.myfloridamarketplace.com/search/bids,2026-06-30,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
FL,https://www.ruralcenter.org,2,https://www.ruralcenter.org/resources/flex-program-funding-guidance,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
GA,https://greathealth.georgia.gov,5,https://greathealth.georgia.gov/about-program/georgias-application/4-proposed-initiatives-and-use-funds/initiative-five,2026-08-13,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
GA,https://dch.georgia.gov,4,https://dch.georgia.gov/grant-announcements,2026-08-26,NA,NA,NA,NA,NA,NA,NA,NA,Candidate from /activity. Load the URL and set last_verified before use.
