queue_rank,state,state_name,trigger_source,queue_status,rcj_tier3_candidates,rcj_distinct_awardees,rcj_federal_amount_sum,cms_announced_date,cms_source,cms_release_url,cms_fy2026_allotment,extraction_status,first_queued
1,AZ,Arizona,RCJ_ONLY,QUEUED,4,2,67000000,,,,166988956,NOT_EXTRACTED,2026-08-28
2,CO,Colorado,RCJ_ONLY,QUEUED,4,4,6572000,,,,200105604,NOT_EXTRACTED,2026-08-28
3,WV,West Virginia,BOTH,QUEUED,4,4,948542,2026-08-20,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-4-2-million-expand-medical-transportation-improve-patient-access-care,199476099,NOT_EXTRACTED,2026-08-28
4,RI,Rhode Island,RCJ_ONLY,QUEUED,3,3,22250349,,,,156169931,NOT_EXTRACTED,2026-08-28
5,MT,Montana,RCJ_ONLY,QUEUED,2,2,3184710.4,,,,233509359,NOT_EXTRACTED,2026-08-28
6,UT,Utah,RCJ_ONLY,QUEUED,2,2,6000000,,,,195743566,NOT_EXTRACTED,2026-08-28
7,WA,Washington,RCJ_ONLY,QUEUED,2,2,30200001,,,,181257515,NOT_EXTRACTED,2026-08-28
8,ND,North Dakota,BOTH,QUEUED,1,1,630000,2026-08-20,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-delivers-critical-funding-launch-coordinating-connecting-care-initiative-north,198936970,NOT_EXTRACTED,2026-08-28
9,VA,Virginia,BOTH,QUEUED,1,1,127500,2026-08-28,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-122-million-expand-healthcare-access-workforce-innovation-across,189544888,NOT_EXTRACTED,2026-08-28
10,VT,Vermont,RCJ_ONLY,QUEUED,1,1,323927,,,,195053740,NOT_EXTRACTED,2026-08-28
11,OR,Oregon,RCJ_ONLY,EXTRACTED,386,258,306924976.78,,,,197271578,EXTRACTED,2026-08-28
12,AK,Alaska,BOTH,EXTRACTED,159,101,158435446.87,2026-08-25,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-160-million-bring-cutting-edge-technology-drones-prescription,272174856,EXTRACTED,2026-08-28
13,AL,Alabama,BOTH,EXTRACTED,138,94,143745821,2026-08-24,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-144-million-improve-mental-health-substance-abuse-emergency-maternal,203404327,EXTRACTED,2026-08-28
14,GA,Georgia,BOTH,EXTRACTED,112,100,112677580,2026-08-27,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-93-3-million-expand-telehealth-services-advance-surgical-robotics,218862170,EXTRACTED,2026-08-28
15,PA,Pennsylvania,BOTH,EXTRACTED,66,66,42198309.8,2026-08-19,BOTH,https://www.cms.gov/newsroom/press-releases/trump-administration-announces-35-million-investment-advance-screening-technology-secure-additional,193294054,EXTRACTED,2026-08-28
16,KS,Kansas,RCJ_ONLY,EXTRACTED,54,50,98763865.8,,,,221898008,EXTRACTED,2026-08-28
