state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,county,project,tdh_class,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,basis_type,round_amount,announcement_date,source_archive_path
TN,1,Appalachian Conservation Institute,,NONPROFIT_CBO,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Healthy Access: Trail Navigation and Interpretation Improvements. County(ies): Marion. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Marion,Healthy Access: Trail Navigation and Interpretation Improvements,NONPROFIT,"TYPED FROM TDH'S SPLIT (session 59): One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess.","NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,2,Boys and Girls Clubs of South Central Tennessee,,NONPROFIT_CBO,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Pulaski Boys and Girls Club - Natural Playscapes Project. County(ies): Giles. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Giles,Pulaski Boys and Girls Club - Natural Playscapes Project,NONPROFIT,"TYPED FROM TDH'S SPLIT (session 59): One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess.","NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,3,Boys and Girls Clubs of the Cumberland Plateau,,NONPROFIT_CBO,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Healthy Active Scott County. County(ies): Scott. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Scott,Healthy Active Scott County,NONPROFIT,"TYPED FROM TDH'S SPLIT (session 59): One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess.","NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,4,Bridge Bedford Inc,,NONPROFIT_CBO,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Riverview Active Living Corridor. County(ies): Bedford. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Bedford,Riverview Active Living Corridor,NONPROFIT,"TYPED FROM TDH'S SPLIT (session 59): One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: One of TDH's 22 'community-based nonprofit organizations' (the release): this file's partition reproduces TDH's 31/22 exactly, so the form is the state's, not a guess.","NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,5,City of Altamont,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: City of Altamont Healthy Lifestyles Project. County(ies): Grundy. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Grundy,City of Altamont Healthy Lifestyles Project,GOVERNMENT,TYPED FROM TDH'S SPLIT (session 59): One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name. Classifier said LOCAL_GOVT_OR_PUBLIC_HEALTH/MEDIUM.,MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name.,"NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,6,City of Clifton,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: 2026 Clifton Ferry Loop Riverbank Restoration & Park Improvements. County(ies): Wayne. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Wayne,2026 Clifton Ferry Loop Riverbank Restoration & Park Improvements,GOVERNMENT,TYPED FROM TDH'S SPLIT (session 59): One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name. Classifier said LOCAL_GOVT_OR_PUBLIC_HEALTH/MEDIUM.,MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name.,"NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,7,City of Dayton,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Dayton Active Living Enhancement Project. County(ies): Rhea. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Rhea,Dayton Active Living Enhancement Project,GOVERNMENT,TYPED FROM TDH'S SPLIT (session 59): One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name. Classifier said LOCAL_GOVT_OR_PUBLIC_HEALTH/MEDIUM.,MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name.,"NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,8,City of Gatlinburg Recreation Department,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Mills Park Access. County(ies): Sevier. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Sevier,Mills Park Access,GOVERNMENT,TYPED FROM TDH'S SPLIT (session 59): One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name. Classifier said LOCAL_GOVT_OR_PUBLIC_HEALTH/MEDIUM.,MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name.,"NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,9,"City of Jefferson City, Tennessee",,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Centennial Park Outdoor Exercise Equipment Installation. County(ies): Jefferson. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Jefferson,Centennial Park Outdoor Exercise Equipment Installation,GOVERNMENT,TYPED FROM TDH'S SPLIT (session 59): One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name. Classifier said LOCAL_GOVT_OR_PUBLIC_HEALTH/MEDIUM.,MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name.,"NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
TN,10,City of Lawrenceburg TN,,LOCAL_GOVT_OR_PUBLIC_HEALTH,No,"HART award, 'initial recipients' announced 2026-09-03 by TDH. Project: Connecting Healthy Spaces. County(ies): Lawrence. NO AMOUNT PUBLISHED.",Yes,No,FY2026 (Year 1),"2026 Healthy Active Rural Tennessee (HART) Grant Awards (TDH, sheet 'Sept. 2, 2026')",https://www.tn.gov/content/dam/tn/health/xlsx/2026-RHTP-HART-Grant-Awards-FINAL.xlsx,AGENCY_PRESS_RELEASE,DIRECT_TEXT,R/03ay_tn_year1_awardees.R,,,,,Lawrence,Connecting Healthy Spaces,GOVERNMENT,TYPED FROM TDH'S SPLIT (session 59): One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name. Classifier said LOCAL_GOVT_OR_PUBLIC_HEALTH/MEDIUM.,MEDIUM,AMOUNT_MISSING,Healthy Active Rural Tennessee (HART),Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: One of TDH's 31 'county and municipal governments' (the release); typed LOCAL_GOVT_OR_PUBLIC_HEALTH from its own name.,"NOT PUBLISHED. TDH's release and workbook name 53 recipients and price none; the release's only award figure is the $206,888,882.11 ALLOTMENT in its CMS footer (§0.2), never divided.",STATE_SOURCE,,2026-09-03,data/evidence/recheck/2026-09-23/TN/tn_2026_RHTP_HART_Grant_Awards_FINAL.xlsx
