state,group,rcj_rows,rcj_rows_withdrawn,rcj_amount_sum,rcj_source_document,disposition,why,state_source_url,source_archive_path,as_of
TX,HHS0015180 Rural Hospital Debt Reduction,21,0,5250000,TX - 2026 - HHSC PCS Grant Awards - HHS0015180,NOT_RHTP_STATE_APPROPRIATION,"A real, executed, recipient-level HHSC award list -- 21 rural Texas hospitals at $250,000 each -- funded by STATE money. HHSC: 'The 88th Texas Legislature appropriated $50 million to HHSC for the 2024-2025 biennium to establish grant programs for rural hospitals ... House Bill 1 ... Article II Rider 88 appropriated the grant funding.' The RFA was released 2025-03-24 and closed 2025-04-24 -- before OBBBA created RHTP, and nine months before CMS issued Texas its RHTP Notice of Award on 2025-12-29. Unchanged by the 2026-09-24 re-pull; R/02b's registry catches these rows by solicitation number.",https://www.hhs.texas.gov/providers/medicaid-business-resources/medicaid-supplemental-payment-directed-payment-programs/rural-hospital-finance/rural-hospital-financial-assistance,data/evidence/TX/2026-08-29_hhsc_rural_hospital_financial_assistance.html,2026-08-29
TX,HHS0015677 Rural Hospital Improvement,32,0,11200000,TX - 2026 - HHSC PCS Grant Awards - HHS0015677,NOT_RHTP_STATE_APPROPRIATION,"The same appropriation and the same page: 33 rural Texas hospitals at $350,000 each, RFA released 2025-03-11, closed 2025-04-09. RCJ captured 32 of the 33 rows, which is a second, smaller §0.1 defect sitting inside the first -- still 32 after the 2026-09-24 re-pull.",https://www.hhs.texas.gov/providers/medicaid-business-resources/medicaid-supplemental-payment-directed-payment-programs/rural-hospital-finance/rural-hospital-financial-assistance,data/evidence/TX/2026-08-29_hhsc_rural_hospital_financial_assistance.html,2026-08-29
TX,ATLIS incentive payments to Medicaid MCOs,0,5,0,TX - 2025 - ATLIS Incentive Payments for Medicaid Managed Care Organizations,NOT_RHTP_MEDICAID,"Molina, Superior Health Plan, UnitedHealthcare Community Plan, Community First and Wellpoint. Medicaid managed care incentive payments, not RHTP, and not to hospitals. HOLDS 0 LIVE ROWS SINCE 2026-09-24: RCJ dropped all five at the re-pull (change_status WITHDRAWN, counted in rcj_rows_withdrawn), so R/02b's TX-ATLIS-MCO registry entry now matches no candidate. The group is kept so the history closes.",,,2026-09-24
TX,Suggested Intergovernmental Transfers,0,4,0,TX - 2025 - Suggested Intergovernmental Transfer (IGT),NOT_RHTP_MEDICAID,"Medicaid IGT figures. Not an RHTP award action in any tier. HOLDS 0 LIVE ROWS SINCE 2026-09-24: RCJ dropped all four at the re-pull (WITHDRAWN), so R/02b's TX-IGT registry entry now matches no candidate.",,,2026-09-24
TX,Budget Period 1 narrative line items,5,0,41981750,TX - 2026 - Rural Texas Strong Program (RHTP); TX - 2026 - Texas RHTP,RHTP_BUT_NOT_A_SUBAWARD,"Genuinely RHTP, and genuinely not Tier 3 award actions: two DSHS AMBUS interagency contracts at $20,000,000, two DSHS BRFSS oversampling contracts at $115,875, and Deloitte grants-management support at $1,750,000. Planned state-agency and vendor spend read out of the budget narrative. Every one is NON_HOSPITAL on its recipient (§0.3a) whatever its status.",https://pfd.hhs.texas.gov/rural-health-transformation-program,data/evidence/TX/2026-08-29_pfd_rhtp_programme.html,2026-08-29
TX,'80 Rural Hospital Districts' pool,1,0,250000000,TX - 2026 - Texas RHTP,RHTP_BUT_A_CLASS_NOT_A_RECIPIENT,"$250,000,000 against an awardee named '80 Rural Hospital Districts with a publicly owned and operated hospital', whose own RCJ description reads 'Estimated 80 direct awards averaging $3,125,000 each'. A CLASS and an ESTIMATE, not a recipient and not an award -- North Dakota's '15 selected CAHs' (session 11) at a thousand times the size. §0.3: eligibility is not receipt, and a plan is not an award action.",https://pfd.hhs.texas.gov/rural-health-transformation-program,data/evidence/TX/2026-08-29_pfd_rhtp_programme.html,2026-08-29
TX,HHS0015358 HOPES (Family Support Services),5,0,10013000,TX - 2026 - HHSC PCS Grant Award - HHS0015358,NOT_RHTP_PREDATES_NOA,"NEW AT THE 2026-09-24 RE-PULL. BCFS Health and Human Services, Easter Seals Rio Grande Valley, El Paso Center for Children, and two United Ways, $1.6M-$2.25M each. HHSC's own RFA index -- archived 2026-08-29 -- lists HHS0015358 under 'Awarded Grant Opportunities' as 'HHSC Family Support Services Healthy Outcomes through Prevention and Early Support (HOPES)', released 2024-12-17, submission deadline 2025-02-12: before OBBBA created RHTP and ten months before Texas's 2025-12-29 Notice of Award. Money the state did not have cannot have funded it. None is a hospital.",https://resources.hhs.texas.gov/rfa,data/evidence/TX/2026-08-29_hhsc_rfa_index.html,2026-09-24
TX,HHS0016121 Workplace Violence Against Nurses,4,0,667000,TX - 2026 - HHSC PCS Grant Award - HHS0016121,NOT_RHTP_PREDATES_NOA,"NEW AT THE 2026-09-24 RE-PULL, AND FOUR NAMED HOSPITALS: Parkland ($200,000), Midland Health ($82,737), Shannon Medical Center ($184,595), JPS Health Network ($199,668). HHSC's archived RFA index (2026-08-29) lists HHS0016121 as 'DSHS Workplace Violence Against Nurses Prevention Program -- Texas Center for Nursing Workforce Studies (TCNWS)', released 2025-09-24, submission deadline 2025-11-04 -- CLOSED BEFORE the 2025-12-29 NOA, so the date test disposes of it (the Rider 88 shape a second time). RCJ's activity feed saw its documents while crawling the pfd.hhs RHTP page; that is where RCJ looked, not a statement that HHSC funds it from RHTP, and the archived programme page does not name it.",https://resources.hhs.texas.gov/rfa,data/evidence/TX/2026-08-29_hhsc_rfa_index.html,2026-09-24
TX,HHS0016568 Texas Nurse-Family Partnership,14,0,133864170,TX - 2026 - HHSC PCS Grant Award HHS0016568 - Texas Nurse-Family Partnership (TNFP) Program,NOT_RHTP_STATE_AND_TANF,"NEW AT THE 2026-09-24 RE-PULL: 14 awards, $133,864,170 by RCJ's rows (RCJ's own document field says $111,284,483 -- the two do not agree), including five hospitals/hospital districts (Bexar, Dallas, El Paso County Hospital Districts, Doctors Hospital at Renaissance, Hillcrest Baptist). Released 2026-01-26, AFTER the NOA, so the date test does NOT catch it -- the funding clause does. RFA HHS0016568 §1.3: 'State funds for this Grant Project are authorized under the Texas General Appropriations Act, Article II' and federal funds under PRWORA, 'Temporary Assistance for Needy Families (TANF) Grant', ALN 93.558, ACF -- not CMS ALN 93.798; 'RHTP' / 'Rural Health Transformation' occur 0 times. HHSC's award notice matches all 14 RCJ names and amounts to the dollar and says each is 'the total potential award, inclusive of the initial grant term and any allowable renewals'. READ LIVE 2026-09-24, NOT ARCHIVED (RFA pdf sha256 2ee70502..., award notice 02b65496...): archive with a deliberate --fetch before anything relies on it.",https://resources.hhs.texas.gov/rfa/hhs0016568,,2026-09-24
TX,HHS0016736 Mobile Stroke Unit ('Sheet1'),3,0,3250000,TX - 2026 - Sheet1,NOT_RHTP_STATE_APPROPRIATION,"NEW AT THE 2026-09-24 RE-PULL: Dell Seton ($1,500,000), UMC El Paso ($750,000), Memorial Hermann ($1,000,000), under a document RCJ titles only 'Sheet1'. It is HHSC's 'Awarded Grants' workbook for RFA HHS0016736, Comprehensive Rehabilitation Services Mobile Stroke Unit (released 2026-01-09; listed as awarded on the archived 2026-08-29 RFA index): its one sheet is named Sheet1 and carries exactly these three grantees and amounts. The RFA: 'State funds for this Grant Project are authorized under General Appropriations Act' -- STATE money, three urban hospitals. The worksheet name as a document title is §0.1's page-chrome defect. READ LIVE 2026-09-24, NOT ARCHIVED (xlsx sha256 d605b36e..., RFA 217f919d...).",https://resources.hhs.texas.gov/rfa/hhs0016736,,2026-09-24
