state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,initiative,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,basis_type,round_amount,announcement_date,source_archive_path
VA,1,Virginia Hospital Research and Education Foundation (d/b/a VHHA Foundation),,NONPROFIT_CBO,Unclear,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Remote Patient Monitoring; Attract and Retain Physicians (GME); Food is Medicine,"TYPED (session 60): The state hospital ASSOCIATION's foundation ('The Virginia Hospital Research and Education Foundation (d/b/a VHHA Foundation) is proud to serve as a subrecipient partner'). Not a hospital: the classifier's HOSPITAL_OR_SYSTEM/HIGH on the name is overridden. Eligible class is hospitals AMONG OTHERS (RPM 'May include participation from health systems, hospitals, free clinics, Federally Qualified Health Centers, Rural Health Clinics ...'); §0.3, New Hampshire's FHC, not Illinois's ICAHN. The flow classifier's PASS_THROUGH_DESIGNATED/Yes is overridden. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",MEDIUM,ELIGIBILITY_NOT_RECEIPT,Remote Patient Monitoring; Attract and Retain Physicians (GME); Food is Medicine,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Virginia Hospital Research and Education Foundation (d/b/a VHHA Foundation),"§10.2 PASS_THROUGH_UNRESOLVED: The state hospital ASSOCIATION's foundation ('The Virginia Hospital Research and Education Foundation (d/b/a VHHA Foundation) is proud to serve as a subrecipient partner'). Not a hospital: the classifier's HOSPITAL_OR_SYSTEM/HIGH on the name is overridden. Eligible class is hospitals AMONG OTHERS (RPM 'May include participation from health systems, hospitals, free clinics, Federally Qualified Health Centers, Rural Health Clinics ...'); §0.3, New Hampshire's FHC, not Illinois's ICAHN. The flow classifier's PASS_THROUGH_DESIGNATED/Yes is overridden.",NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,2,Virginia Health Care Foundation,,NONPROFIT_CBO,Unclear,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Provider Productivity Fund; Provider Interoperability Fund,"TYPED (session 60): Navigator target audience: 'independent practices, federally recognized Tribes, free clinics, FQHCs, RHCs, and hospitals/health systems' -- hospitals among others (§0.3). Classifier said NONPROFIT_CBO/LOW.",LOW,ELIGIBILITY_NOT_RECEIPT;RECIPIENT_TYPE_INFERRED,Provider Productivity Fund; Provider Interoperability Fund,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Virginia Health Care Foundation,"§10.2 PASS_THROUGH_UNRESOLVED: Navigator target audience: 'independent practices, federally recognized Tribes, free clinics, FQHCs, RHCs, and hospitals/health systems' -- hospitals among others (§0.3).",NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,3,Virginia Foundation for Community College Education,,NONPROFIT_CBO,No,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Allied Health Degrees,"TYPED (session 60): A foundation, not a college: the classifier's UNIVERSITY_OR_AHC on 'College' is overridden to the §8 fallback. Navigator places Allied Health Degrees under 'Educational Institutions' only. Classifier said UNIVERSITY_OR_AHC/HIGH.",LOW,RECIPIENT_TYPE_INFERRED,Allied Health Degrees,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: A foundation, not a college: the classifier's UNIVERSITY_OR_AHC on 'College' is overridden to the §8 fallback. Navigator places Allied Health Degrees under 'Educational Institutions' only.",NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,4,Virginia Innovation Partnership Corporation,,NONPROFIT_CBO,No,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Tech Innovation Fund,TYPED (session 60): Navigator: 'Virginia-based companies or companies operating in or providing direct services to rural Virginia communities' -- health technology companies. Form not stated. Classifier said NONPROFIT_CBO/LOW.,LOW,RECIPIENT_TYPE_INFERRED,Tech Innovation Fund,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: Navigator: 'Virginia-based companies or companies operating in or providing direct services to rural Virginia communities' -- health technology companies. Form not stated.,NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,5,Virginia Works,,STATE_AGENCY,Unclear,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Earn to Learn,"TYPED (session 60): Virginia's state workforce agency (general knowledge; the release does not state the form). Navigator lists Earn to Learn for health systems and hospitals, RHCs/FQHCs and educational institutions -- hospitals among others. Classifier said NONPROFIT_CBO/LOW.",LOW,ELIGIBILITY_NOT_RECEIPT,Earn to Learn,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Virginia Works,"§10.2 PASS_THROUGH_UNRESOLVED: Virginia's state workforce agency (general knowledge; the release does not state the form). Navigator lists Earn to Learn for health systems and hospitals, RHCs/FQHCs and educational institutions -- hospitals among others.",NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,GENERAL_KNOWLEDGE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,6,Virginia Department of Education,,STATE_AGENCY,No,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Build Career Pipelines,TYPED (session 60): A state department by name; the classifier's SCHOOL_OR_DISTRICT is overridden. Navigator: Educational Institutions only. Classifier said SCHOOL_OR_DISTRICT/HIGH.,MEDIUM,,Build Career Pipelines,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,§10.2 NON_HOSPITAL: A state department by name; the classifier's SCHOOL_OR_DISTRICT is overridden. Navigator: Educational Institutions only.,NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,7,Virginia Department of Health,,STATE_AGENCY,Unclear,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Community Paramedicine; Innovative Maternal Care,"TYPED (session 60): Navigator lists both sub-initiatives for health systems and hospitals among RHCs, FQHCs, CBOs, technology companies and local government (§0.3). Classifier said STATE_AGENCY/MEDIUM.",MEDIUM,ELIGIBILITY_NOT_RECEIPT,Community Paramedicine; Innovative Maternal Care,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Virginia Department of Health,"§10.2 PASS_THROUGH_UNRESOLVED: Navigator lists both sub-initiatives for health systems and hospitals among RHCs, FQHCs, CBOs, technology companies and local government (§0.3).",NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,8,Virginia Foundation for Healthy Youth,,NONPROFIT_CBO,Unclear,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Active Kids; Consumer Technology,TYPED (session 60): Consumer Technology is listed for health systems and hospitals among others (§0.3); Active Kids for schools and CBOs. Form not stated. Classifier said NONPROFIT_CBO/LOW.,LOW,ELIGIBILITY_NOT_RECEIPT;RECIPIENT_TYPE_INFERRED,Active Kids; Consumer Technology,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Virginia Foundation for Healthy Youth,§10.2 PASS_THROUGH_UNRESOLVED: Consumer Technology is listed for health systems and hospitals among others (§0.3); Active Kids for schools and CBOs. Form not stated.,NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,9,Virginia Department for Aging and Rehabilitative Services,,STATE_AGENCY,No,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Integrated Care for Duals,"TYPED (session 60): A state department by name. Navigator: CBOs and non-profits, local government agencies -- no hospital. Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Integrated Care for Duals,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: A state department by name. Navigator: CBOs and non-profits, local government agencies -- no hospital.",NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,STATE_SOURCE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
VA,10,Northern Shenandoah Valley Regional Commission,,LOCAL_GOVT_OR_PUBLIC_HEALTH,Unclear,Key implementation partner named in the Governor's 2026-08-28 release; no per-partner amount published.,Yes,No,FY2026 (Year 1),"Virginia Invests $122 Million in Rural Health (Governor's release, 2026-08-28)",https://www.ruralhealthtransformationva.virginia.gov/news-updates/,GOVERNOR_PRESS_RELEASE,PDF_TEXT,R/03be_va_year1_awardees.R,,,,,Mobile and Hybrid Care,"TYPED (session 60): A regional planning commission (local government). Navigator lists Mobile and Hybrid Care for every audience including health systems and hospitals (§0.3). NB the Ways to Apply table names the KIP 'Commonwealth of VA', not this commission -- recorded, not resolved. Classifier said NONPROFIT_CBO/LOW.",LOW,ELIGIBILITY_NOT_RECEIPT,Mobile and Hybrid Care,Budget Period 1,PASS_THROUGH_UNRESOLVED,Unclear,NOT_HOSPITAL,Northern Shenandoah Valley Regional Commission,"§10.2 PASS_THROUGH_UNRESOLVED: A regional planning commission (local government). Navigator lists Mobile and Hybrid Care for every audience including health systems and hospitals (§0.3). NB the Ways to Apply table names the KIP 'Commonwealth of VA', not this commission -- recorded, not resolved.",NO PER-PARTNER FIGURE PUBLISHED; the release's 'more than $122 million' is a round-level lower bound and is in va_year1_status.csv.,GENERAL_KNOWLEDGE,,2026-08-28,data/evidence/recheck/2026-09-23/VA/gov_release_2026-08-28_122M.pdf
