queue_row,state,recipient_name,match_name,queue_code,queue_source,direction,dollars_at_stake,award_rows,classifier_assigned,current_coding,verified_type,verified_by,verified_date,basis,basis_type
1,NH,Foundation for Healthy Communities (FHC),Foundation for Healthy Communities (FHC),NH_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,66547394,1,NONPROFIT_CBO / LOW,PASS_THROUGH_UNRESOLVED / distributed_to_hospital = Unclear,NONPROFIT_CBO,IN,46274,"FHC self-describes as ""the statewide leader and unified voice for New Hampshire's hospitals and health systems""",GENERAL_KNOWLEDGE
2,WY,Wyoming Innovation Partnership (WIP),Wyoming Innovation Partnership (WIP),WY_FISCAL_AGENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,38618260,2,NONPROFIT_CBO / LOW,PASS_THROUGH_UNRESOLVED / distributed_to_hospital = Unclear,NONPROFIT_CBO,IN,46274,Flow settled — no action needed,GENERAL_KNOWLEDGE
3,AR,Baxter Health,Baxter Health,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,19738729.91,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,IN,46274,Verified on website: https://www.baxterhealth.org/,ORG_WEBSITE
4,AR,Mercy Health Fort Smith Communities,Mercy Health Fort Smith Communities,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,19056249,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,IN,46274,Verified on website: https://www.mercy.net/practice/mercy-hospital-fort-smith/,ORG_WEBSITE
5,AR,Arkansas Rural Health Partnership,Arkansas Rural Health Partnership,AR_ARHP_CONSORTIUM_FLOW,COMMITTED_QUEUE,UP,18833521,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46274,Verified on website: https://arruralhealth.org/,ORG_WEBSITE
6,AR,Arkansas Rural Health Partnership,Arkansas Rural Health Partnership,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,18833521,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46274,Verified on website: https://arruralhealth.org/,ORG_WEBSITE
7,AR,Baptist Health,Baptist Health,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,16926432,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,IN,46274,Verified on website: https://www.baptist-health.org/,ORG_WEBSITE
8,AR,St. Bernards Development Foundation,St. Bernards Development Foundation,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,14551090,2,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,IN,46274,"It's the fundraising/development arm of St. Bernards Healthcare in Jonesboro, Arkansas (St. Bernards Medical Center). Separate 501(c)(3) on paper, but the affiliation is with the hospital system rather than an independent community organization",GENERAL_KNOWLEDGE
9,MI,Michigan Health and Hospital Association (MHA),Michigan Health and Hospital Association (MHA),MI_MHA_FLOW,COMMITTED_QUEUE,UP,8625000,2,HOSPITAL_AFFILIATED_ENTITY / HIGH,PASS_THROUGH_UNRESOLVED / distributed_to_hospital = Unclear,NONPROFIT_CBO,IN,46274,State Hospital Association,GENERAL_KNOWLEDGE
10,MI,Michigan Center for Rural Health (MCRH),Michigan Center for Rural Health (MCRH),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,7275000,5,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,IN,46274,"Non-profit state office of rural health, located at MSU but not an university entity",GENERAL_KNOWLEDGE
11,MD,Community Education Group,Community Education Group,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,5745751,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website https://communityeducationgroup.org/about-us/,ORG_WEBSITE
12,KS,Stormont Vail Health,Stormont Vail Health,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,5465969,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,Verified on website: https://www.stormontvail.org/we-are-stormont/about-us/,ORG_WEBSITE
13,KS,Great Plains Health Alliance,Great Plains Health Alliance,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,5000000,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,VENDOR_OR_CONTRACTOR,MPB,46282,Hospital management organization. Verified on website: https://gpha.com/,ORG_WEBSITE
14,MD,TidalHealth,TidalHealth,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,4911052,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,Verified on website: https://www.tidalhealth.org/,ORG_WEBSITE
15,KS,Recovery Unlimited,Recovery Unlimited,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,4290000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://recovery-unlimited.com/,ORG_WEBSITE
16,MD,Meritus Health Center,Meritus Health Center,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,3583406,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,Verified on website: https://www.meritushealth.com/,ORG_WEBSITE
17,AR,River Valley Wellness,River Valley Wellness,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,3500000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,PHYSICIAN_PRACTICE,MPB,46282,Verified on website: https://www.rvmwellness.com/,ORG_WEBSITE
18,FL,Empower Health Care,Empowerq Health Care,FL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,3204031.91,1,NONPROFIT_CBO / LOW,NA / distributed_to_hospital = Unclear,PHYSICIAN_PRACTICE,MPB,46282,Verified on website: https://empowerhealthcare4all.org/,ORG_WEBSITE
19,MI,Northern Michigan Public Health Alliance (NMPHA),Northern Michigan Public Health Alliance (NMPHA),MI_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,3000000,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,LOCAL_GOVT_OR_PUBLIC_HEALTH,MPB,46282,Verified on website: https://nmpublichealthalliance.org/about/,ORG_WEBSITE
20,KS,Citizen’s Foundation (Citizens Health),Citizen’s Foundation (Citizens Health),KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2832423,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,"Fundraising arm of Citizens Medical Center, a hospital in Colby, KS, that supports the health system's operations and capital projects. Verified on website: https://www.cmciks.com/citizens-foundation/",ORG_WEBSITE
21,AR,ARCARE,ARCARE,AR_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2571095,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,FQHC_OR_RHC,MPB,46282,Verified on website: https://www.arcare.net/fqhc-mission/,ORG_WEBSITE
22,KS,Special Olympics Kansas,Special Olympics Kansas,KS_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2546981,1,NONPROFIT_CBO / LOW,IN_KIND_BENEFIT / distributed_to_hospital = No,NONPROFIT_CBO,MPB,46282,Verified on website: https://soks.org/,ORG_WEBSITE
23,MD,MedStar St. Mary's Inc,MedStar St. Mary's Inc,MD_RECIPIENT_FORM_NOT_STATED,COMMITTED_QUEUE,UP,2522586,1,NONPROFIT_CBO / LOW,NON_HOSPITAL / distributed_to_hospital = No,HOSPITAL_OR_SYSTEM,MPB,46282,Verified on website: https://www.medstarhealth.org/locations/medstar-st-marys-hospital,ORG_WEBSITE
24,FL,Nuvita Health,Nuvita Health,FL_RECIPIENT_FORM_NOT_STATED,DERIVED_FROM_STATE_FILE,UP,2477188.06,3,NONPROFIT_CBO / LOW,NA / distributed_to_hospital = Unclear,VENDOR_OR_CONTRACTOR,MPB,46282,Connects patients to wellness providers. Double check on website: https://nuvitahealth.net/how-it-works,ORG_WEBSITE
