state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,initiative,activity,awardee_legal_as_published,dba_as_published,facility_state,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,basis_type,round_amount,announcement_date,source_archive_path,page_row
VT,1,GMS - AGATE IGX,323927,VENDOR_OR_CONTRACTOR,No,"Executed agreement, Administration: Admin costs. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Administration,Admin costs,GMS - AGATE IGX,,,TYPED (session 54): Grants-management software (Agate IntelliGrants) for programme administration. Classifier said NONPROFIT_CBO/LOW.,LOW,,Administration,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",GENERAL_KNOWLEDGE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,1
VT,2,National Opinion Research Center (NORC),815989,VENDOR_OR_CONTRACTOR,No,"Executed agreement, Evaluator: Independent evaluator. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Evaluator,Independent evaluator,National Opinion Research Center (NORC),National Opinion Research Center (NORC),,"TYPED (session 54): The programme's independent evaluator, contracted by the State. Classifier said NONPROFIT_CBO/LOW.",LOW,,Evaluator,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",GENERAL_KNOWLEDGE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,2
VT,3,Northern Counties Health Care,125500,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Northern Counties Health Care,,VT,TYPED (session 54): CMS FQHC Enrollment: NORTHERN COUNTIES HEALTH CARE INC (St. Johnsbury Community Health Center and others). Classifier said NONPROFIT_CBO/LOW.,MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,3
VT,4,Clara Martin Center,252442.25,OTHER,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Clara Martin Center,,VT,"TYPED (session 54): COMMUNITY MENTAL HEALTH DESIGNATED AGENCY (Orange County), by general knowledge. Classifier said NONPROFIT_CBO/LOW.",LOW,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Determined form: COMMUNITY MENTAL HEALTH DESIGNATED AGENCY (Orange County), by general knowledge.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",GENERAL_KNOWLEDGE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,4
VT,5,Brattleboro Memorial Hospital,759000,HOSPITAL_OR_SYSTEM,Yes,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Brattleboro Memorial Hospital,,VT,"TYPED (session 54): CMS Hospital Enrollment: BRATTLEBORO MEMORIAL HOSPITAL, CCN 470011. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",HIGH,,Regionalization,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: the recipient is a hospital (CMS Hospital Enrollment: BRATTLEBORO MEMORIAL HOSPITAL, CCN 470011.) and AHS lists the agreement as EXECUTED. §0.3a judges the recipient, not the activity.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,5
VT,6,Northern Counties Health Care,69549.85,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Northern Counties Health Care,,VT,TYPED (session 54): CMS FQHC Enrollment: NORTHERN COUNTIES HEALTH CARE INC (St. Johnsbury Community Health Center and others). Classifier said NONPROFIT_CBO/LOW.,MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,6
VT,7,1248 Hospital Drive Opco LLC DBA St. Johnsbury Center for Living and Rehabilitation,1486000,OTHER,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,1248 Hospital Drive Opco LLC,St. Johnsbury Center for Living and Rehabilitation,VT,"TYPED (session 54): NURSING FACILITY. CMS SNF Enrollment: 1248 HOSPITAL DRIVE OPCO LLC dba ST JOHNSBURY CENTER FOR LIVING AND REHABILITATION, CCN 475019B. 'Hospital' is the STREET in the LLC's name; §8's name rule returns HOSPITAL_OR_SYSTEM at HIGH and is wrong. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work. Determined form: NURSING FACILITY. CMS SNF Enrollment: 1248 HOSPITAL DRIVE OPCO LLC dba ST JOHNSBURY CENTER FOR LIVING AND REHABILITATION, CCN 475019B. 'Hospital' is the STREET in the LLC's name; §8's name rule returns HOSPITAL_OR_SYSTEM at HIGH and is wrong.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,7
VT,8,"Richford Health Center, Inc. (NOTCH)",599742.8,FQHC_OR_RHC,No,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,"Richford Health Center, Inc. (NOTCH)",,VT,"TYPED (session 54): CMS FQHC Enrollment: THE RICHFORD HEALTH CENTER, INC. (NOTCH Primary Care). Classifier said NONPROFIT_CBO/LOW.",MEDIUM,,Regionalization,Budget Period 1,NON_HOSPITAL,No,NOT_HOSPITAL,,"§10.2 NON_HOSPITAL: the named recipient is not a hospital (§0.3a -- judged on the recipient, not the activity), and the source does not mention hospitals anywhere in the funded work.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,8
VT,9,Rutland Regional Medical Center,644107,HOSPITAL_OR_SYSTEM,Yes,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Rutland Regional Medical Center,,VT,"TYPED (session 54): CMS Hospital Enrollment: RUTLAND HOSPITAL, INC. dba RUTLAND REGIONAL MEDICAL CENTER, CCN 470005. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",HIGH,,Regionalization,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: the recipient is a hospital (CMS Hospital Enrollment: RUTLAND HOSPITAL, INC. dba RUTLAND REGIONAL MEDICAL CENTER, CCN 470005.) and AHS lists the agreement as EXECUTED. §0.3a judges the recipient, not the activity.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,9
VT,10,Rutland Regional Medical Center,2000000,HOSPITAL_OR_SYSTEM,Yes,"Executed agreement, Regionalization: Facility upgrades to support regionalization. Vermont's list is 'partial and ongoing'.",Yes,Yes,FY2026 (Year 1),"RHT Year 1 Awards and Contracts -- Updated as of September 18, 2026",https://healthcarereform.vermont.gov/rht-year-1-executed-agreements-and-contracts,NOTICE_OF_AWARD,DIRECT_TEXT,R/03at_vt_year1_awardees.R,,,,,Regionalization,Facility upgrades to support regionalization,Rutland Regional Medical Center,,VT,"TYPED (session 54): CMS Hospital Enrollment: RUTLAND HOSPITAL, INC. dba RUTLAND REGIONAL MEDICAL CENTER, CCN 470005. Classifier said HOSPITAL_OR_SYSTEM/HIGH.",HIGH,,Regionalization,Budget Period 1,DIRECT,Yes,NAMED_HOSPITAL,,"§10.2 DIRECT: the recipient is a hospital (CMS Hospital Enrollment: RUTLAND HOSPITAL, INC. dba RUTLAND REGIONAL MEDICAL CENTER, CCN 470005.) and AHS lists the agreement as EXECUTED. §0.3a judges the recipient, not the activity.","EXACT, as printed on AHS's list; the 112 rows sum to the table's own total ($87,175,011.33) to the cent.",ORG_WEBSITE,,2026-09-18,data/evidence/recheck/2026-09-23/VT/vt_year1_awards.html,10
