state,row_no,awardee,amount,recipient_type,distributed_to_hospital,note,recipient_confirmed,amount_confirmed,fiscal_year,source_document_title,state_source_url,validation_source_type,extraction_method,validator,ccn,aha_id,rural_designation,reviewer,recipient_type_source,determination_confidence,flag_reason,award_pool,budget_period,flow_type,hospital_benefiting,hospital_attribution,intermediary_name,determination_basis,amount_basis,ein,score,requested_amount,recommended_amount,approval_condition,county,round_amount,award_source,approval_date,source_archive_path
WY,1,Memorial Hospital of Converse County (MHCC),3058000,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-6000097,39.7,2750000,3058000,,,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,2,Sheridan Memorial Hospital,6662685,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). CONDITION AS PUBLISHED: Swing bed authorized condition upon approval by WDH re: costs, allowability ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-6000241,37.3,2750000,3750000,"Swing bed authorized condition upon approval by WDH re: costs, allowability",,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,3,Powell Valley Health Care Inc,3128331,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-0300467,30,2000000,3128331,,,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,4,Cody Regional Health,2750000,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-0207671,27.7,2750000,2750000,,,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,5,Johnson County Hospital District,3048158,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",84-1379990,26.7,2500000,3048158,,,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,6,North Lincoln County Hospital District dba Star Valley,2500000,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-0327251,26,2500000,2500000,,,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,7,Crook County Medical Services District,1647000,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-0210617,23.7,1500000,1647000,,,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,8,Hot Springs County Hospital District,1750000,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-6000182,23,1750000,1750000,,,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,9,Memorial Hospital of Sweetwater County,1500000,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). CONDITION AS PUBLISHED: ""N/A"" sustainability plan Conditional to timely submission of sustainability plan ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-0449421,20.7,1500000,0,"""N/A"" sustainability plan Conditional to timely submission of sustainability plan",,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
WY,10,"South Big Horn County Hospital District, DBA as Thre",2656000,HOSPITAL_OR_SYSTEM,Yes,"Initiative 1.1 Critical Access Hospital - Basic. APPROVED BY THE RURAL HEALTH TRANSFORMATION ADVISORY COMMITTEE ON 2026-08-11, NOT EXECUTED: Wyoming's Year 1 obligation deadline for executed contracts is End of October 2026 (the minutes' own words) and WDH's programme-page timeline gives 2026-10-01. `round_amount` is this INITIATIVE's approved pool and repeats on every row of it -- never sum that column (Georgia's trap); use wy_reconcile(). CONDITION AS PUBLISHED: Swing bed authorized condition upon approval by WDH re: costs, allowability ",Yes,No,2026,"Wyoming Rural Health Transformation Advisory Committee, Award Approvals - 8.11.26",https://health.wyo.gov/admin/rural-health-transformation-program/,NOTICE_OF_INTENT_TO_AWARD,PARSED_PDF_RUNS,R/03aj_wy_year1_awardees.R,,,,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent).",MEDIUM,AMOUNT_PRELIMINARY,1.1 Critical Access Hospital - Basic,Budget Period 1 (2025-12-29 to 2026-10-30),DIRECT,Yes,NAMED_HOSPITAL,,"Recipient form STATED BY WYOMING, not inferred from the name: the award table's first column is headed ""Hospital"", the initiative is ""1.1. Critical Access Hospital - Basic"", and the Year 1 Revised Budget Narrative's Eligible Applicants block for Initiative 1.1 gives one Facility Type -- ""Critical Access Hospital (18 Total)"". §8's name rule reaches only 15 of the 18 approved; typing the other three from this pipeline's own knowledge would be the §0.4 failure, and leaving them on §8's standing fallback would assert the form is undetermined where the state has stated it (session 38's UNC precedent, session 39's MCO precedent). §10.2 DIRECT: the named recipient is a hospital or hospital system and the state's award document names both the recipient and the amount.","The figure in the committee document's own APPROVED column for this row, read with session 32's run model. Six of this document's rows carry the recipient name in a SEPARATE PAINTED RUN from the rest of the row, so the line model splits them and loses $5,156,000 of Initiative 1.1 in silence; the runs keep the name and the money together. Every table reconciles to the document's own Total row, to the budget summary's Approved award column, and thence to the $205,004,742 allotment.",83-0181409,20.3,1000000,2000000,"Swing bed authorized condition upon approval by WDH re: costs, allowability",,48200174,APPROVALS_TABLE,2026-08-11,data/evidence/WY/2026-09-03_wy_advisory_committee_award_approvals_2026-08-11.pdf
